Adsorbent,O2_30C_0.001bar,O2_30C_0.5bar,O2_30C_1bar,O2_30C_5bar
UKAJOH_clean,0.0003449522,0.149018497,0.279903096,0.871611391
UKAZEM_clean,0.0001130717,0.046954749,0.090854254,0.453119786
UKEXEP_clean,7.74802e-05,0.035859069,0.069292207,0.316460179
UKIQIP_clean,0.0001680934,0.076932658,0.153153056,0.739539854
UKIQOV_clean,0.0002353419,0.133513622,0.264928548,1.2134866
UKIQUB_clean,0.0003080685,0.174429837,0.34586389,1.535721445
UKOLOV_clean,0.0007258678,0.317873069,0.570320376,1.566343986
UKOZOK_clean,6.73331e-05,0.03366917,0.065444269,0.309446281
UKOZOL_clean,0.0002251501,0.107637073,0.214426007,0.947458057
UKUBIM_clean,0.0004391547,0.212138472,0.404103692,1.486948842
UKUBOS_clean,0.00054272,0.248622236,0.466383106,1.685143105
UKUBUY_clean,0.0006264385,0.28617452,0.526910795,1.84789186
UKUCAF_clean,0.0006242614,0.285940961,0.523917435,1.826015659
UKUPIB_clean,0.0001611038,0.070806382,0.140899304,0.686897851
UKUPUL_clean,4.10766e-05,0.023252402,0.046103166,0.226035436
ULAQAB_clean,0.0004329367,0.195104821,0.382399347,1.380566915
ULAQEF_clean,0.000357209,0.160300485,0.31428979,1.191700602
ULASAD_clean,0.000120933,0.07308652,0.141115353,0.710129222
ULEGOH_clean,0.0001838313,0.08324689,0.159914645,0.592447676
ULILEI_clean,0.0002805874,0.121985701,0.237680771,0.930203249
ULIMIN_clean,0.0003611684,0.174858755,0.323125865,1.106157219
ULOGAE_clean,0.0001358452,0.062343223,0.121998652,0.568498111
ULOJUC_clean,0.0001429646,0.078290113,0.154725091,0.685688637
ULOJUC01_clean,0.0001987633,0.088083151,0.172444776,0.741577383
ULOKAJ_clean,9.47981e-05,0.06522108,0.129107086,0.610221172
ULOKEN_clean,0.0001371244,0.06567708,0.131085397,0.60696541
ULOKOX_clean,0.0001316394,0.067712006,0.135171703,0.625179181
ULOKUD_clean,0.0001767044,0.072606412,0.14369253,0.648414471
ULOKUD01_clean,0.0001643121,0.082030097,0.161625636,0.702471364
ULOLAK_clean,0.0001444377,0.071635591,0.141894453,0.658571704
ULOLEO_clean,0.0001204726,0.066267809,0.133374975,0.621472519
ULOLIS_clean,0.0001520719,0.065011734,0.13314588,0.614814929
ULOMAL_clean,0.0001204726,0.064587118,0.128850342,0.606255452
ULUVUT_clean,0.000343462,0.154544516,0.297268586,1.252563518
UMABIV_clean,0.0002286936,0.106416676,0.208854084,0.921698091
