Adsorbent,CO2_20C_0.5bar,CO2_20C_1bar,CO2_20C_5bar
ABAYIO_clean,10.67714801,11.01344849,12.08219644
ABAYOU_clean,10.01814681,10.32347382,11.08638329
ABETIN_clean,0.681629244,1.45553297,9.78663162
ABEXIQ_clean,4.328635132,4.548918473,4.79859236
ABIYIV_clean,2.098319414,2.100076075,2.110586544
ABULOB_clean,8.646625905,8.646637915,8.646699462
ABUWOJ_clean,7.707031281,7.969943292,8.878954861
ac403674p_si_001_clean,0.049406396,0.09958758,0.522460187
ACAJIZ_clean,1.712657465,2.52604161,3.373661497
ACAJOF_clean,1.486937524,2.251843426,3.480542621
ACIBIY_clean,2.294911747,2.35394865,2.545895212
ACIBOE_clean,10.41926775,10.90390371,11.50510999
ACOGAB_clean,4.802278143,5.105036586,5.965686486
ACOGEF_clean,4.39160928,4.635057559,5.24401051
ACOLIP_clean,4.519935248,4.831572128,6.334489805
ACOLOV_clean,8.546278993,9.117753294,11.33639233
acs.cgd.5b01554_VAGNUP1452791_clean,0.888666403,1.357212506,2.896927697
acs.cgd.5b01686_WAHFUJ1434675_clean,3.234080728,3.621223591,4.337031124
acs.chemmater.5b03723_cm5b03723_si_004_clean,11.10804977,11.81942695,13.99256053
acs.chemmater.5b03723_cm5b03723_si_005_clean,12.29576706,13.85843784,17.95013461
acs.chemmater.6b02817_cm6b02817_si_004_clean,13.4414953,14.02590648,14.62703273
acs.chemrev.6b00346_cr6b00346_si_001_clean,7.238263284,7.711883427,10.11150726
acs.inorgchem.5b02973_ic5b02973_si_002_clean,0.971878814,1.181804368,2.227794411
acs.inorgchem.6b00081_ic6b00081_si_001_clean,0.476731831,0.901849436,2.555972497
acs.inorgchem.6b00136_ic6b00136_si_002_clean,7.858598008,8.167873006,9.032641418
acs.inorgchem.6b00276_ic6b00276_si_006_clean,11.53522066,12.32508645,14.02037385
acs.inorgchem.6b00433_ic6b00433_si_002_clean,1.356848551,2.26262603,4.176877245
acs.inorgchem.6b00894_ic6b00894_si_002_clean,4.455310128,4.889863197,5.77014768
acs.inorgchem.6b01211_ic6b01211_si_002_clean,15.07540149,15.72765497,17.50398359
acs.inorgchem.6b01416_ic6b01416_si_004_clean,3.036066997,3.505285246,4.284339633
acs.inorgchem.6b01569_ic6b01569_si_002_clean,3.253732925,3.754225634,4.917144442
acs.inorgchem.6b01740_ic6b01740_si_002_clean,0.773600456,1.570984335,8.312818592
