Adsorbent,CO2_10C_0.5bar,CO2_10C_1bar,CO2_10C_5bar
AJIGIL_clean,3.53700155,3.84074311,4.775095473
AJOTEY_clean,12.52691643,12.58421437,12.70446736
AJOVEB_clean,2.977413981,2.984945727,3.110885908
AKEDIF_clean,4.032864618,4.604630871,6.549475335
AKOBAF_clean,2.812042356,3.058712693,3.922404939
AKOXIJ_clean,5.450041125,5.597935404,6.083403966
AKUKUO_clean,2.615163912,3.160592249,4.15053624
ALAMUW_clean,18.6217569,20.14246574,22.44016904
ALANAD_clean,16.16771627,17.40504929,20.12336537
ALEJEI_clean,14.84364547,15.44092806,16.98301571
ALEJIM_clean,14.35861135,14.86782253,17.04160494
ALICAA_clean,2.516979281,2.667027513,2.784695615
ALIXAU_clean_h,2.36215598,2.366930655,2.371592309
ALIXOJ_clean,13.84177613,14.21168969,14.8459361
ALIXUP_clean,5.748509045,6.071998922,6.975362492
ALOLES_ion_b,1.333340015,1.415714797,1.597509493
ALOLIY_clean,7.72940258,7.926911195,8.584547801
ALONEV_clean,1.874171612,2.231876593,3.55755048
ALUJIB_clean,4.868003972,5.082357251,5.506704034
ALUKIC_clean,15.1009203,17.67594768,25.28705969
ALULEZ_clean,14.50045859,17.75393201,26.30709648
ALULID_clean,5.931568366,6.688710617,9.968974828
ALURAB_clean,2.371742423,2.849841124,4.246515813
ALUREF_clean,2.403442041,2.808775478,4.159562598
ALURIJ_clean,2.352294149,2.729669476,3.907385855
am301365h_si_002_clean,0.65941639,1.305713091,6.058783475
AMAFOK_clean,1.487414985,1.972315759,2.84661307
AMAGAX_clean,1.496727948,2.116883197,3.145288955
AMILOY_clean,4.841579401,5.343161206,6.219563145
AMILUE_clean,4.199756186,4.532468895,5.44500398
AMIMAL_clean,3.741174002,4.131176342,5.175215583
AMIMEP_clean,3.88280509,4.186970543,5.208280413
AMIZIG_clean,2.881947924,2.886990823,2.89015648
AMOYOR_clean,3.730273259,3.791630854,4.17509506
AMUFOF_clean,5.252124639,5.520855422,6.144733912
AMUPOP_clean,2.367586585,2.378949872,2.390721435
AMUWUB_clean,5.19050409,5.716060653,7.428516825
AMUXAI_clean,3.029228725,3.347471049,4.476062195
ANEHEI_clean,4.106608378,4.942896335,5.910576634
ANIDIL_clean,2.16432732,2.401338898,2.735087675
ANOMOG_clean,14.9877362,15.59869678,16.9877563
ANOMUM_clean,11.92384541,12.91604957,15.66145988
ANONAT_manual,12.16967301,13.15202816,16.77879765
ANUGEW_clean,24.71327517,26.40158622,30.72225918
ANUGIA_clean,17.78355063,18.82558021,23.18498016
ANUGOG_clean,19.46007148,21.03947632,26.62464977
APACAX_clean,12.9823864,13.5102604,14.23356381
APARAM_clean,1.104330009,1.382246493,2.61416593
APEBED_clean,4.234465725,4.240581693,4.245132186
APEBEE_clean,4.689228216,5.006528573,5.899980796
APEBII_clean,6.541753177,6.650912433,7.26362338
APEBUU_clean,2.520190163,2.688934303,3.382123251
APUPEH_clean,39.15674284,41.89134452,51.44498498
AQEGUY_clean,5.49852211,5.536624445,5.745921475
AQEQES_clean,5.465121926,6.457683505,8.477941029
AQEQIW_clean,4.766080182,5.786819018,8.152324521
AQERUL_clean,3.079322322,3.185977017,3.454360291
AQIQAU_clean,10.84146588,11.69831193,13.44718552
AQIXUU_clean,1.041904025,1.270598373,1.643193386
AQIXUV_clean,3.536048164,4.043632653,5.207279191
