Adsorbent,O2_20C_0.001bar,O2_20C_0.5bar,O2_20C_1bar,O2_20C_5bar,O2_20C_15bar
ic402692p_si_005_clean,0.0001779179,0.101920366,0.202796504,0.90040271,2.376103862
ic403134c_si_002_clean,0.0004215547,0.232848904,0.451113808,1.597396509,2.855213628
ic5008457_si_002_clean,0.0003273405,0.175730923,0.34155434,1.471443992,3.479326302
ic5011133_si_002_clean,0.000235296,0.096394226,0.19309318,0.86782962,2.139186146
ic5011133_si_003_clean,0.0001540019,0.09104908,0.180973162,0.851776904,2.21649512
ic5011133_si_004_clean,0.0001865176,0.085311087,0.173741163,0.819610231,2.152614356
ic501477u_si_002_clean,0.0002835747,0.13568011,0.270042635,1.281307988,3.390968742
ic501801f_si_002_clean,0.0002259693,0.106877593,0.213651043,0.928812496,2.36065431
ic501801f_si_003_clean,0.0001594422,0.084645256,0.170121093,0.787840869,2.094777259
ic501849g_si_002_clean,0.0001529494,0.084985965,0.167775022,0.758731381,1.909162602
ic5021302_si_002_clean,0.0003156697,0.164725589,0.32298248,1.368723759,3.143918737
ic502254c_si_002_clean,0.0001963431,0.100805268,0.198189765,0.931695516,2.653768586
ic502478u_si_003_clean,4.16021e-05,0.02159348,0.042523307,0.196275815,0.492091628
ic502488c_si_002_clean,0.0005063437,0.251922351,0.477389688,1.709876437,3.287106228
ic502643m_si_003_clean,0.0002980632,0.140274156,0.282469413,1.283188978,3.34958676
ic502643m_si_006_clean,0.0002711756,0.137288332,0.268024153,1.230333531,3.254525598
ic502643m_si_007_clean,0.0002428781,0.144743002,0.285110081,1.315374309,3.34903386
ic502643m_si_008_clean,0.0003451869,0.166405603,0.322789016,1.417161066,3.458580949
ic502643m_si_009_clean,0.0003414652,0.141615664,0.279953261,1.313335437,3.408272676
ic502643m_si_010_clean,0.0002578836,0.137368617,0.270726152,1.256309476,3.331907059
ic502643m_si_011_clean,0.0003349611,0.182939709,0.363083222,1.667785665,4.417153301
ic502725y_si_004_clean,0.0001031306,0.049124532,0.09873034,0.44999198,1.22784383
ic502730y_si_002_clean,0.0001391498,0.067869183,0.135941854,0.638966812,1.744416055
ic502921j_si_002_clean,0.0001746102,0.088552163,0.173578685,0.786911419,2.033825486
ic502921j_si_003_clean,0.0001328515,0.070109375,0.135473535,0.572186704,1.380461444
ic5029383_si_002_clean,0.000313324,0.151998303,0.302360693,1.395271032,3.750654234
ic5b00096_auto,0.0002195684,0.114067268,0.224443134,1.049980607,2.747521536
ic5b00096_si_002_clean,0.0006694839,0.291084094,0.549849383,1.898362739,3.453682269
ic5b00130_si_002_clean,0.0001032658,0.055733408,0.109940776,0.436543221,0.871108615
ic5b00194_si_002_clean,0.0004442374,0.202172448,0.40536294,1.774095437,4.418514904
ic5b00535_si_002_clean,0.0004156425,0.219570096,0.417404067,1.68534537,3.792227481
ic5b00561_si_002_clean,0.0005418498,0.205957898,0.335921837,0.870707389,1.466704619
ic5b01023_si_002_clean,0.0004995792,0.237907263,0.443560248,1.779716124,3.60189328
ic7014034-file001_clean,0.00042639,0.191956354,0.378357385,1.530624817,3.463470154
ic7025158-file001_clean,8.45285e-05,0.049077823,0.095774989,0.451961614,1.162379621
ic800131r-file003_clean,0.0002363077,0.135413607,0.269729077,1.329434955,3.827995543
ic8008859_si_001_clean,0.00022676,0.111717114,0.217097357,0.945045603,2.193902279
ic9002115_si_001_clean,0.0003497332,0.151373045,0.289221497,1.100212666,2.080480228
ICAGOK_clean,0.0002823404,0.130733843,0.259033011,1.158217676,3.030108042
ICAQIO_clean,0.0003437316,0.153622434,0.309004968,1.476731952,4.275967626
ICAQOU_clean,0.0002821779,0.148973032,0.297521592,1.443526713,4.162763895
ICAREL_clean,0.0003101239,0.14563216,0.294158809,1.352084671,3.600039085
ICAROV_clean,0.0003158741,0.151817126,0.305284358,1.474137924,4.260543557
ICAWUF_clean,0.0001335679,0.079603564,0.15763356,0.702894912,1.810527962
ICEGED_clean,0.000254838,0.130079603,0.257333166,1.194302255,3.154683778
ICIKAH_clean,5.89256e-05,0.031331932,0.062659151,0.276518308,0.700769438
ICISAP_clean,0.0001696189,0.087031956,0.171040704,0.838733024,2.311498995
ICITIY_clean,0.0002512415,0.117168126,0.225692709,0.961593995,2.22715581
ICIVAS_clean,0.0001546377,0.07611741,0.148941335,0.622293133,1.465306235
ICIVEW_clean,0.000224621,0.109680145,0.21539624,0.878437919,1.896553098
ICODIP_clean,0.0001737256,0.09660905,0.191038833,0.868955874,2.358596086
ICODIP01_clean,0.0001781238,0.093226898,0.181807184,0.867308779,2.279535525
IDEYOF_clean,0.0003410819,0.154463774,0.315959731,1.511119078,4.364167987
IDIWIB_clean,0.0001821347,0.079443172,0.156917127,0.729685557,1.909126514
