Adsorbent,O2_40C_0.001bar,O2_40C_0.5bar,O2_40C_1bar,O2_40C_5bar,RMSE_Langmuir,RMSE_Freundlich,RMSE_Quadratic,RMSE_Sips,best_model,best_params
MAGBAZ_clean,0.0001603495,0.0801996079,0.1591073859,0.766145538,0.00011415718173860906,0.00026479463409732407,0.00011303743268682807,3.7271374238775843e-06,Sips,[2.30609862e+01 6.94735554e-03 9.93300674e-01]
MAGBON_clean,0.0002342425,0.124884538,0.2442770086,1.1054292769,0.00048634485413569445,0.0010494494152147214,0.0005289158060259435,2.446880316710907e-05,Sips,[13.02532715  0.0191125   0.9813596 ]
MAGNEQ_clean,6.33036e-05,0.0301483165,0.0592792544,0.2929914452,0.00020272272812626185,0.0001463667771662644,0.00018840322841717294,,Freundlich,[0.05945016 1.00907132]
MAGNEQ01_clean,6.10427e-05,0.0300759695,0.0591797774,0.2977708634,,0.00023030733710064616,0.00020633776940768848,,Quadratic,[7.69026740e-05 5.91382707e-02 1.52764951e-04]
MAHCEG_clean,0.0001788181,0.1024952968,0.2016865224,0.9895591719,0.0006142338547486466,0.00033624501574472187,0.0005788687816402085,,Freundlich,[0.20207892 1.01313188]
MAHCIK_clean,0.0002555707,0.1015427076,0.2056492356,0.9842474483,0.0008086487561719593,0.0013077512859630861,0.0007519195144612887,4.6006068919493864e-05,Sips,[8.16194261 0.02584724 1.03681868]
MAHCOQ_clean,0.000195956,0.1042730697,0.204165707,1.0033843712,0.0008565331682436244,0.0005795613978000353,0.0008017634992388925,,Freundlich,[0.20484331 1.01295958]
MAHTAR_clean,0.0001592149,0.0830974855,0.1630374441,0.6715472208,0.0002840763858941957,0.0021809259350179795,8.591951054002112e-05,2.2625848479698556e-06,Sips,[2.73395959 0.06341591 1.01649969]
MAHTAR01_clean,0.0001690777,0.0840612287,0.1658117281,0.6794769671,0.0005116311251785715,0.0024726477112304674,0.00028906468423183494,1.2040283306065788e-05,Sips,[2.52086619 0.07040661 1.02925119]
MAJHUC_clean,6.25503e-05,0.0283018351,0.0550908254,0.2410034507,0.00011027127539222285,0.00034901207086540924,0.0001311230868408935,1.005313986019067e-06,Sips,[1.94885761 0.02909063 0.98118577]
MAJJUF_clean,0.0001812343,0.080124845,0.1575851601,0.7751160052,0.0005090375904305167,0.0003138184197590456,0.00047133049776135194,,Freundlich,[0.15795203 1.01178456]
MAJKAM_clean,0.0002870779,0.1470710337,0.2901475835,1.2340874027,0.000542127386960573,0.0033630333365974045,0.00028586753702142167,8.286772651254573e-06,Sips,[5.74156616 0.05322419 1.01764474]
MAKHAJ_clean,0.0002354524,0.1196165603,0.2355573719,0.9425470119,0.0008384133096147761,0.003943576612873052,0.00044516563755081333,1.6980394730210032e-05,Sips,[3.15539726 0.0806746  1.03382717]
MAKRAU_clean,0.0001450144,0.0617491923,0.1241550925,0.5855328264,0.0003470341767644223,0.000770247419435947,0.000315427076266911,1.9371840485213123e-05,Sips,[4.94624138 0.02574708 1.02617604]
MAKRIC_clean,0.0005229602,0.2293320234,0.4374063131,1.5406307922,0.0006255805483104342,0.009634398573227473,0.0010243308349836928,3.810871274804995e-05,Sips,[3.985085   0.12329329 1.01374485]
