Adsorbent,O2_40C_0.001bar,O2_40C_0.5bar,O2_40C_1bar,O2_40C_5bar
ABAYIO_clean,0.0001362103,0.0752126153,0.1442114173,0.657037656
ABAYOU_clean,0.0001613154,0.0783292913,0.1541352282,0.6849089753
ABETIN_clean,0.000239586,0.120539559,0.2412466546,1.156021767
ABEXIQ_clean,5.35383e-05,0.0237194505,0.0475420118,0.2227788214
ABIYIV_clean,7.64716e-05,0.0438291261,0.0845655241,0.3549176012
ABULOB_clean,0.0004473428,0.2411898236,0.4538187611,1.7309674395
ABUWOJ_clean,0.0002458771,0.1169343853,0.2307873755,1.0194599549
ac403674p_si_001_clean,8.14568e-05,0.0305804017,0.0610471428,0.2959155395
ACAJIZ_clean,7.01702e-05,0.0312175157,0.0627421396,0.288308192
ACAJOF_clean,6.58209e-05,0.0301833081,0.061384171,0.2980403765
ACIBIY_clean,1.63159e-05,0.0091252729,0.0176993002,0.0905336626
ACIBOE_clean,0.0001371797,0.0704854283,0.1423975256,0.6781067343
ACOGAB_clean,0.0003558843,0.1619971878,0.3137052646,1.2588776891
ACOGEF_clean,0.000300561,0.1495587465,0.2881664404,1.1450372372
ACOLIP_clean,0.0002454679,0.1296281623,0.2518731095,1.0506084965
ACOLOV_clean,0.0001658884,0.0726224232,0.1456149052,0.6906156539
acs.cgd.5b01554_VAGNUP1452791_clean,3.22968e-05,0.0147891603,0.0291907591,0.1434134225
acs.cgd.5b01686_WAHFUJ1434675_clean,0.000121984,0.060891653,0.1207253516,0.5172643999
acs.chemmater.5b03723_cm5b03723_si_004_clean,0.000540833,0.1992526384,0.3680457382,1.3443380059
acs.chemmater.5b03723_cm5b03723_si_005_clean,0.0003315437,0.149994587,0.2977262565,1.3610080024
acs.chemmater.6b02817_cm6b02817_si_004_clean,0.0002043621,0.0926372383,0.1842187877,0.8608355281
acs.chemrev.6b00346_cr6b00346_si_001_clean,0.0002458397,0.1240144888,0.2472968418,1.125743272
acs.inorgchem.5b02973_ic5b02973_si_002_clean,0.0002395144,0.1116330125,0.2152511329,0.7928570511
acs.inorgchem.6b00081_ic6b00081_si_001_clean,9.38541e-05,0.0441583476,0.0885416689,0.4153222743
acs.inorgchem.6b00136_ic6b00136_si_002_clean,0.0005509002,0.2489929137,0.4558854507,1.6469577778
acs.inorgchem.6b00276_ic6b00276_si_006_clean,0.0007305785,0.3026545663,0.5364327042,1.8901617332
acs.inorgchem.6b00433_ic6b00433_si_002_clean,0.0001897049,0.0976912766,0.1891276745,0.8095621336
acs.inorgchem.6b00894_ic6b00894_si_002_clean,0.0002822701,0.1422348707,0.2790897415,1.1180863237
acs.inorgchem.6b01211_ic6b01211_si_002_clean,0.00034203,0.1410369635,0.2761256738,1.1689885123
acs.inorgchem.6b01416_ic6b01416_si_004_clean,0.000200408,0.0933594208,0.1848736439,0.7630596641
acs.inorgchem.6b01569_ic6b01569_si_002_clean,6.39102e-05,0.0234523095,0.0461240992,0.2270252093
acs.inorgchem.6b01740_ic6b01740_si_002_clean,0.0003064057,0.1418693653,0.2801323003,1.350520144
acs.inorgchem.6b01762_ic6b01762_si_002_clean,2.07553e-05,0.0103669058,0.0214833098,0.1008148147
acs.inorgchem.6b02407_ic6b02407_si_002_clean,0.0003358663,0.1805234552,0.3569815291,1.543116585
acs.inorgchem.6b02407_ic6b02407_si_003_clean,0.0003102098,0.1685232333,0.3265832993,1.3511853387
