,Adsorbent,O2_40C_0.5bar,O2_40C_1bar,O2_40C_5bar
0,ABAYIO_clean,0.0752126153,0.1442114173,0.657037656
1,ABAYOU_clean,0.0783292913,0.1541352282,0.6849089753
2,ABETIN_clean,0.120539559,0.2412466546,1.156021767
3,ABEXIQ_clean,0.0237194505,0.0475420118,0.2227788214
4,ABIYIV_clean,0.0438291261,0.0845655241,0.3549176012
5,ABULOB_clean,0.2411898236,0.4538187611,1.7309674395
6,ABUWOJ_clean,0.1169343853,0.2307873755,1.0194599549
7,ac403674p_si_001_clean,0.0305804017,0.0610471428,0.2959155395
8,ACAJIZ_clean,0.0312175157,0.0627421396,0.288308192
9,ACAJOF_clean,0.0301833081,0.061384171,0.2980403765
10,ACIBIY_clean,0.0091252729,0.0176993002,0.0905336626
11,ACIBOE_clean,0.0704854283,0.1423975256,0.6781067343
12,ACOGAB_clean,0.1619971878,0.3137052646,1.2588776891
13,ACOGEF_clean,0.1495587465,0.2881664404,1.1450372372
14,ACOLIP_clean,0.1296281623,0.2518731095,1.0506084965
15,ACOLOV_clean,0.0726224232,0.1456149052,0.6906156539
16,acs.cgd.5b01554_VAGNUP1452791_clean,0.0147891603,0.0291907591,0.1434134225
17,acs.cgd.5b01686_WAHFUJ1434675_clean,0.060891653,0.1207253516,0.5172643999
18,acs.chemmater.5b03723_cm5b03723_si_004_clean,0.1992526384,0.3680457382,1.3443380059
19,acs.chemmater.5b03723_cm5b03723_si_005_clean,0.149994587,0.2977262565,1.3610080024
20,acs.chemmater.6b02817_cm6b02817_si_004_clean,0.0926372383,0.1842187877,0.8608355281
21,acs.chemrev.6b00346_cr6b00346_si_001_clean,0.1240144888,0.2472968418,1.125743272
22,acs.inorgchem.5b02973_ic5b02973_si_002_clean,0.1116330125,0.2152511329,0.7928570511
23,acs.inorgchem.6b00081_ic6b00081_si_001_clean,0.0441583476,0.0885416689,0.4153222743
24,acs.inorgchem.6b00136_ic6b00136_si_002_clean,0.2489929137,0.4558854507,1.6469577778
25,acs.inorgchem.6b00276_ic6b00276_si_006_clean,0.3026545663,0.5364327042,1.8901617332
26,acs.inorgchem.6b00433_ic6b00433_si_002_clean,0.0976912766,0.1891276745,0.8095621336
27,acs.inorgchem.6b00894_ic6b00894_si_002_clean,0.1422348707,0.2790897415,1.1180863237
28,acs.inorgchem.6b01211_ic6b01211_si_002_clean,0.1410369635,0.2761256738,1.1689885123
29,acs.inorgchem.6b01416_ic6b01416_si_004_clean,0.0933594208,0.1848736439,0.7630596641
30,acs.inorgchem.6b01569_ic6b01569_si_002_clean,0.0234523095,0.0461240992,0.2270252093
31,acs.inorgchem.6b01740_ic6b01740_si_002_clean,0.1418693653,0.2801323003,1.350520144
32,acs.inorgchem.6b01762_ic6b01762_si_002_clean,0.0103669058,0.0214833098,0.1008148147
33,acs.inorgchem.6b02407_ic6b02407_si_002_clean,0.1805234552,0.3569815291,1.543116585
34,acs.inorgchem.6b02407_ic6b02407_si_003_clean,0.1685232333,0.3265832993,1.3511853387
35,acs.inorgchem.6b02514_ic6b02514_si_002_clean,0.0471123818,0.0927211264,0.4314928321
36,acs.inorgchem.6b02696_ic6b02696_si_002_clean,0.1150490491,0.228491714,1.0326099802
37,acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean,0.0515457668,0.099811945,0.4649442
38,acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,0.0579978948,0.1174708355,0.5731411373
39,acscombsci.5b00188_24205_clean,0.1474722772,0.2909650055,1.1858610112
40,acscombsci.5b00188_3001288_clean,0.1575515542,0.3160025465,1.5720377154
41,acscombsci.5b00188_34903_clean,0.3256309323,0.5840628555,1.8897945985
42,acscombsci.5b00188_5013797_clean,0.0887566296,0.1778135243,0.8489680825
43,acscombsci.5b00188_5020072_clean,0.0968077267,0.1915015051,0.9419392849
44,acscombsci.5b00188_5024922_clean,0.1162267687,0.227380909,1.1394019799
45,acscombsci.5b00188_5036495_clean,0.1167896305,0.2297126302,1.1438015471
46,acscombsci.5b00188_5040209_clean,0.1921907292,0.3699665481,1.3632356373
47,acscombsci.5b00188_8372_clean,0.1956397844,0.3570344709,1.2008488177
48,ACUBAB_clean,0.0463772369,0.0900359706,0.3862060702
49,ACUFEK_clean,0.113760178,0.2286943789,1.0865888778
50,ACUJOZ_manual,0.0829002808,0.1640926767,0.7808807295
51,ACUTOI_clean,0.026727181,0.0532701295,0.2439974138
52,ADARAA_clean,0.1208521261,0.2405829238,1.0996605808
53,ADASEF_clean,0.1323589218,0.2576338716,1.2145671264
54,ADASIJ_clean,0.1046903404,0.2082344024,0.9616997952
55,ADASOP_clean,0.1225330456,0.2436702056,1.1419299623
