,Adsorbent,O2_40C_0.5bar,O2_40C_1bar,O2_40C_5bar
56,ADASUV_clean,0.100884477,0.2042511407,0.955586559
57,ADATAC_clean,0.1529554191,0.3005316309,1.4645576762
58,ADATEG_manual,0.1441737682,0.2956964399,1.4345912399
59,ADATIK_clean,0.1213336562,0.2418170446,1.1619708876
60,ADAXEK_clean,0.11186788,0.2201271188,0.8714868718
61,ADAXIO_clean,0.0649653969,0.1275774036,0.5545970367
62,ADIQEL_clean,0.2506782895,0.4789911716,1.7299447113
63,ADOBIF_clean,0.0939946355,0.1753015518,0.6069508548
64,ADOCEC_clean,0.0517535913,0.1021419952,0.4520211692
65,ADOGEH_clean,0.1654499744,0.2961229842,1.1141467355
66,ADUROI_clean,0.0838015229,0.1672097158,0.8005377642
67,ADUWIH_clean,0.085930212,0.1704597512,0.8058105833
68,ADUWON_clean,0.1260080163,0.2487228221,1.1961836302
69,AFEJOK_ion_b,0.1684026579,0.3330533456,1.3975540171
70,AFITEP_clean,0.1923554271,0.3806944978,1.4801958653
71,AFITUF_clean,0.0753632397,0.1494186973,0.6450109715
72,AFIXAO_clean,0.0757543138,0.1476456486,0.6335026654
73,AFIXES_clean,0.0764449022,0.1464317236,0.6278657373
74,AFOVEX_clean,0.0874680272,0.1742470675,0.7905593469
75,AFOYAW_clean,0.1151664926,0.2275001449,1.0049981815
76,AFOYEB_clean,0.0073400937,0.0143213807,0.0683099205
77,AFOYIE_clean,0.0954502717,0.1886737199,0.9175136476
78,AFOYOK_clean,0.0902378213,0.1762422459,0.8132247947
79,AFUKET_clean,0.1204706001,0.2298526281,0.887774055
80,AFUKIX_clean,0.0888821242,0.1765838625,0.8104185271
81,AGABIU_clean,0.0532165673,0.1055105944,0.5192537004
82,AGIREP_clean,0.0771388257,0.1531670118,0.7155460078
83,AGOFEJ_clean,0.0956960759,0.191909318,0.9198090537
84,AGONAM_clean,0.0346909009,0.0688330855,0.3215720722
85,AGONEQ_clean,0.0577212781,0.1149694153,0.5483301132
86,AGUBUA_clean,0.5449281991,0.9420934186,2.4037242073
87,AHAMAY_clean,0.0368969142,0.0725567411,0.2889268409
88,AHEQAH_clean,0.1067468042,0.2124827704,0.9928728533
89,AHIYOH_clean,0.0876261425,0.1699387914,0.6553059671
90,AHOKIR_clean,0.0627586098,0.122578191,0.5214100678
91,AHOKIR01_clean,0.1036000638,0.2047768976,0.7903052122
92,AHOKOX_clean,0.0683300644,0.1348045036,0.5880624606
93,AJAKON_clean,0.0794363527,0.1588150417,0.6871211128
94,AJAYIT_clean,0.0105981723,0.0204339623,0.0990631036
95,AJIGIL_clean,0.0341563316,0.0686374346,0.3236925416
96,AJOTEY_clean,0.0845301246,0.1671867653,0.7546606304
97,AJOVEB_clean,0.0579100469,0.1134115398,0.470209611
98,AKEDIF_clean,0.1409718636,0.279304488,1.1836902943
99,AKOBAF_clean,0.0963037508,0.189512948,0.7701945515
100,AKOXIJ_clean,0.4247909004,0.711864566,1.9502926285
101,AKUKUO_clean,0.0969301005,0.1899104529,0.7702433601
102,ALAMUW_clean,0.1218491084,0.2365689967,1.1015269269
103,ALANAD_clean,0.109678478,0.2160162229,1.0249182784
104,ALEJEI_clean,0.1144708672,0.2222489085,1.0862893822
105,ALEJIM_clean,0.1191723197,0.2382209438,1.1300459135
106,ALICAA_clean,0.0392641775,0.0776805687,0.3417303515
107,ALIXAU_clean_h,0.0316292102,0.0630768456,0.2884111134
108,ALIXOJ_clean,0.0773798665,0.1546808923,0.7169523964
109,ALIXUP_clean,0.0138936457,0.0284456007,0.1380845272
110,ALOLES_ion_b,0.0037173409,0.0072878654,0.0352768309
111,ALOLIY_clean,0.0093917365,0.0187697097,0.0929006007
112,ALONEV_clean,0.0176944226,0.0353681741,0.171083438
113,ALUJIB_clean,0.0649399709,0.1245461733,0.5650012943
114,ALUKIC_clean,0.0989774745,0.1962209278,0.9492470385
115,ALULEZ_clean,0.0849449805,0.170653622,0.8379209853
116,ALULID_clean,0.0770314476,0.1536308301,0.7259932372
117,ALURAB_clean,0.0630554482,0.1243094934,0.5654096603
118,ALUREF_clean,0.0644559756,0.1285009269,0.5778545641
119,ALURIJ_clean,0.0661417383,0.1318138912,0.5931231668
120,am301365h_si_002_clean,0.0747554667,0.1492364723,0.7146805889
121,AMAFOK_clean,0.0595464643,0.1179464533,0.493271389
122,AMAGAX_clean,0.0553951623,0.1081064961,0.4729886222
123,AMILOY_clean,0.0950969468,0.1840051298,0.7112833375
124,AMILUE_clean,0.0943343362,0.1843789877,0.6972107887
125,AMIMAL_clean,0.0972388102,0.1874592196,0.702115626
126,AMIMEP_clean,0.0954425047,0.1844638877,0.7033667841
127,AMIZIG_clean,0.0179552978,0.0351974469,0.1732589607
128,AMOYOR_clean,0.0935956268,0.185335241,0.7278091403
129,AMUFOF_clean,0.03820055,0.0747029619,0.3427165293
130,AMUPOP_clean,0.1016297779,0.1925198872,0.6889320667
131,AMUWUB_clean,0.0328197871,0.065393847,0.3277251387
132,AMUXAI_clean,0.0265092681,0.0536934114,0.2680952308
133,ANEHEI_clean,0.0732350131,0.142350796,0.6225971468
134,ANIDIL_clean,0.0188928241,0.0368267588,0.1721684191
135,ANOMOG_clean,0.1299263224,0.2555364806,1.1080859588
136,ANOMUM_clean,0.1156794808,0.2328659306,1.0549858308
137,ANONAT_manual,0.105537201,0.2052846207,0.9708278471
138,ANUGEW_clean,0.1087994001,0.2161914004,1.045682646
139,ANUGIA_clean,0.1131642303,0.2231389428,1.0870028162
140,ANUGOG_clean,0.1189643702,0.2367958939,1.1169815313
141,APACAX_clean,0.2126334495,0.4135563839,1.694868329
142,APARAM_clean,0.1074958603,0.2073201941,0.7826521009
143,APEBED_clean,0.1277336745,0.2393747899,0.8365462647
144,APEBEE_clean,0.1533975059,0.2945023379,1.118416294
145,APEBII_clean,0.3436790806,0.5634093002,1.4711998318
146,APEBUU_clean,0.0590092173,0.1151216854,0.5033172466
147,APUPEH_clean,0.1396726919,0.2784144349,1.3463443695
148,AQEGUY_clean,0.2088206122,0.365613939,1.0132779197
149,AQEQES_clean,0.0578337376,0.1158989181,0.539888659
150,AQEQIW_clean,0.0620742464,0.1236466871,0.5827020698
151,AQERUL_clean,0.5223992718,0.8581980918,1.8615104559
152,AQIQAU_clean,0.0957792616,0.1875103831,0.8832427093
153,AQIXUU_clean,0.0628150076,0.1212742578,0.4789903679
154,AQIXUV_clean,0.0336277383,0.0667688838,0.3242168313
155,AQOLEZ_clean,0.1409632335,0.2793967709,1.2420909722
156,AQOLID_clean,0.1182378392,0.2344331445,0.9892879363
157,AQOLOJ_clean,0.3148964805,0.595901902,2.1432792866
158,AQOLUP_clean,0.1423849016,0.2745083498,1.2226075266
159,AQOMAW_clean,0.1023826378,0.2007529573,0.8768848904
160,AQOMEA_clean,0.1317120805,0.2612122844,1.1575928263
161,AQOMEA01_clean,0.1356293759,0.2672174259,1.1799555184
162,AQUCOF_clean,0.0495734757,0.0975779237,0.4743229622
163,AQUCOG_clean,0.0300005654,0.0594366304,0.2939477532
164,AQUCUM_clean,0.0304562679,0.0620914767,0.2972946252
165,AQUDAS_clean,0.0493226543,0.0988306377,0.4734799233
166,AQUDAT_clean,0.0417249346,0.0864500264,0.358213078
167,AQUDEX_clean,0.0424500911,0.0841906663,0.3640285486
168,AQUDIB_clean,0.0288920757,0.0584396139,0.2872611434
169,AQUDOH_clean,0.0402774654,0.0777623675,0.3385442752
170,ARADEE_clean,0.0767380266,0.1531454357,0.7068389095
171,ARAFEF_clean,0.1200161589,0.2422874726,1.1134722348
172,ARAFIJ_clean,0.1235348802,0.2421269297,1.1169191839
173,ARAFOP_clean,0.1237161992,0.2411610285,0.9881543847
174,ARAGOR_clean,0.0819154098,0.1607063552,0.717415997
175,ARINOF_clean,0.0935589235,0.1823444178,0.7353304688
176,ARINUL_clean,0.0797504136,0.1585678793,0.6629759383
177,AROFAP_clean,0.1112125211,0.2201584963,0.9146794468
178,AROFET_clean,0.0806651535,0.1597529303,0.7492464677
179,ARUYES_clean,0.0902996745,0.1764811259,0.7403346066
180,ARUYUH_clean,0.1022845708,0.1998970927,0.851827528
181,ARUYUH01_clean,0.1255983974,0.2484914464,1.0486287576
182,ASACON_clean,0.0301371537,0.0582037558,0.2682584575
183,ASADAA_clean,0.0373299699,0.0733259804,0.3400471446
184,ASANAL_clean,0.0890944424,0.1729570272,0.7305589256
185,ASEJOZ_clean,0.0283879715,0.0561310284,0.2517030328
186,ASEJOZ01_clean,0.0284040401,0.0553480107,0.2456477834
187,ASEKAM_clean,0.0439407574,0.0862934484,0.3977489979
188,ASINAT_clean,0.1089643347,0.2140636317,0.9781004149
189,ASINEX_clean,0.1038452561,0.2070806443,0.9585446196
190,ASINIB_clean,0.1019705637,0.1994815169,0.9326782112
191,ASIQEA_clean,0.0690217835,0.1381787963,0.6541737348
192,ASIQIE_clean,0.0705056513,0.1408541442,0.6726508133
193,ASIVAB_clean,0.1045408657,0.2085627201,1.0146439261
194,ASIVEF_clean,0.1208616532,0.2455610739,1.1171148326
195,ASOHUL_clean,0.0441710989,0.0885807919,0.4227537749
196,ASOSUY_clean,0.1787403055,0.348910396,1.4922683136
197,ASOVEL_clean,0.0930189128,0.1824907674,0.7915292505
198,ASOYOY_clean,0.1089313637,0.212755874,0.9571895433
199,ASUWUI_clean,0.0929006371,0.1802367639,0.7687939379
200,ATAFIK_clean,0.0685920308,0.135290425,0.6220835614
201,ATAYAX_clean,0.1392523799,0.2757797688,1.2258319919
202,ATAYEB_clean,0.1234578245,0.2455575914,1.1273902366
203,ATEYED_clean,0.1347859068,0.2700736718,1.3009333732
204,ATEYUV_clean,0.1303235937,0.2597182241,1.1924615057
205,ATEZAC_clean,0.1069817541,0.2132580249,1.0306649913
206,ATEZEG_clean,0.1339573932,0.2672978992,1.2310117298
207,ATEZIK_clean,0.1211216599,0.236615752,1.1303310573
208,ATIBAG_clean,0.0087691937,0.0175367908,0.0865039767
209,ATIBOU_clean,0.0093871249,0.0183048137,0.0897580948
210,ATIBOU01_clean,0.0094893151,0.0184852432,0.0910386653
211,ATIBOU02_clean,0.0093072888,0.0187646695,0.0900119735
212,ATIBUA_clean,0.0085009445,0.0166138858,0.081063947
213,ATICAH_clean,0.008991138,0.0177268006,0.0875673931
214,ATICEL_clean,0.0084099314,0.0167304465,0.0807334257
215,ATIJUJ_manual,0.0360190873,0.0720935996,0.3565220969
216,ATIXUX_clean,0.0988213667,0.1987111128,0.8018225382
217,ATOGEV_clean,0.1073360344,0.2092310996,0.8534370135
218,ATOWIQ_clean,0.0669498984,0.1327880367,0.638884865
219,ATOWOW_clean,0.0658431237,0.1304997052,0.6376119079
220,ATULIM_clean,0.0552640921,0.105485545,0.409188373
221,ATUZEW_clean,0.129733647,0.2494340397,1.0910098418
222,AVAJUE_clean,0.1865356083,0.3745644686,1.8130116673
223,AVAKAL_clean,0.1627308877,0.3233842074,1.6228850902
224,AVAKEP_clean,0.155111089,0.3095804654,1.5191245754
225,AVAQIX_clean,0.140376679,0.2711257927,1.0955167434
226,AVAQIX01_clean,0.1418517762,0.2751961848,1.101104587
227,AVEHAM_clean,0.0594982822,0.114165927,0.4771953613
228,AVELOD_clean,0.0704667569,0.1383359591,0.6475411856
229,AVELUJ_clean,0.0732740556,0.1444139154,0.6763209307
230,AVEMAQ_clean,0.0666533907,0.1337312915,0.615232752
231,AVEQID_clean,0.1098963338,0.2203562092,1.0423159788
232,AVESOL_clean,0.1751883737,0.3431174607,1.533007656
233,AVESUR_clean,0.1096202451,0.2168498045,0.9718510431
234,AVETAY_clean,0.2267849401,0.434745484,1.7489021838
235,AVETEC_clean,0.4278999114,0.7567060255,2.1404647471
236,AVIHIY_clean,0.0375549756,0.0743875966,0.3517923145
237,AVIMIC_clean,0.0277200007,0.0544186092,0.2384209552
238,AVIMOI_clean,0.1150601234,0.2206417271,0.8601814932
239,AVIMUO_clean,0.062715126,0.1238508861,0.5383340194
240,AVIPAX_clean,0.0950939135,0.1857343863,0.832832519
241,AVIPOL_clean,0.0797164663,0.1592129493,0.7382439562
242,AVITUU_clean,0.1454081719,0.2873300152,1.3028538624
243,AVUCEA_clean,0.0952358443,0.1905630457,0.8816271787
244,AVUDAX_clean,0.0940478214,0.1822789648,0.8200415036
245,AWAGEL_clean,0.0758532552,0.1484433098,0.6810870463
246,AWAGOV_clean,0.0574726347,0.1158438504,0.510066847
247,AWAKEQ_clean,0.0487973013,0.0936185553,0.403862056
248,AWAREV_clean,0.0754363892,0.1458557297,0.5415000133
249,AWARIZ_clean,0.0744615838,0.1450302188,0.5312124916
250,AWAWUR_clean,0.0715193116,0.1401088025,0.6176171831
251,AWEJIW_clean,0.0780618813,0.1511130037,0.6318587645
252,AWEVIJ_clean,0.1043354536,0.2076940707,0.908971517
253,AWEWOP_clean,0.0641295099,0.1263288663,0.5912092076
254,AWIBAL_clean,0.0840076199,0.1650177336,0.6808340429
255,AWIBEO_clean,0.0169062467,0.033292573,0.1403173551
256,AWIBIS_clean,0.0178665527,0.0347241949,0.1467103127
257,AWOFOI_clean,0.0716765307,0.1426637487,0.6536271889
258,AXIGAR_clean,0.0768365015,0.1509272724,0.7107012888
259,AXINAX_clean,0.1381710606,0.2672642733,1.2815699764
260,AXINAX01_clean,0.1174748705,0.2384075902,1.1321274538
261,AXINIF_clean,0.1491853605,0.2982737634,1.3069599515
262,AXUBAW_manual,0.067226007,0.1334362135,0.650488635
263,AXUBOL_clean,0.082131765,0.1608730537,0.7249121351
264,AXUHAD_clean,0.0741845214,0.1479068905,0.6836344015
265,AXUHEH_clean,0.071607515,0.1352708942,0.5398733729
266,AYOQEM_clean,0.0870311627,0.1722362169,0.8231746229
267,AYOXUJ_clean,0.0238874423,0.0471511313,0.2291756703
268,AYUJIP_clean,0.0546655744,0.1130943685,0.4974792146
269,AZAFIS_clean,0.130624482,0.2481652212,0.9626066451
270,AZAVOO_clean,0.2891729677,0.5526119722,1.9118207714
271,AZAVUU_clean,0.2383826336,0.4498119725,1.5920325194
272,AZAWAB_clean,0.1972359932,0.3785700398,1.4537637473
273,AZEBUE_clean,0.0880550546,0.1698560582,0.6590108617
274,AZIVAI_clean,0.1522096719,0.2997583778,1.4008630506
275,AZIXUD_clean,0.0761454835,0.1480046776,0.6865807441
276,BABREE_clean,0.0823559418,0.1627117864,0.7579889807
277,BACGAQ_clean,0.0908824069,0.1782410344,0.7184132514
278,BAEDTA01_clean,0.0207087835,0.0402016893,0.1780018485
279,BAFHAU_clean,0.0451960733,0.0905732701,0.4452981349
280,BAKGIF_manual,0.0843233872,0.1661750916,0.7699455633
281,BAKJEE_clean,0.1189708346,0.2376214983,1.0654143442
282,BAKJII_clean,0.1376150795,0.2708324121,1.2206948382
283,BAKJOO_clean,0.0769474592,0.1523585607,0.6995518046
284,BAKYIY_clean,0.068104295,0.1312357047,0.6385776994
285,BAKYOE_clean,0.0600211533,0.1200339549,0.5674021123
286,BAMKIM_clean,0.0373533614,0.0757582684,0.3680879799
287,BAMKOS_clean,0.0405712358,0.0794332581,0.3848259861
288,BAPDAA_clean,0.0277631057,0.0555900328,0.2740777843
289,BARZUR_clean,0.1993000381,0.3907612651,1.6039133705
290,BASJUB_clean,0.0840258923,0.1666504761,0.7315092959
291,BAWROI_clean,0.0901162278,0.180135992,0.8805721378
292,BAXFIR01_clean,0.1043542716,0.2056347314,0.8643838072
293,BAXGAK_clean,0.104367097,0.2043122941,0.8597424512
294,BAXSIE_clean,0.030606614,0.060714877,0.2823578479
295,BAZFUF_clean,0.1219471141,0.2475287063,1.2047448078
296,BAZFUF01_clean,0.1234677362,0.2481984865,1.1920631441
297,BAZGAM_clean,0.2269230042,0.4558387281,2.2474171737
298,BAZGEQ_clean,0.1431022455,0.2813856122,1.3637139962
299,BAZJET_clean,0.1351760376,0.2668400304,1.2592672011
300,BAZJIX_clean,0.1329867759,0.2605816041,1.1611083265
301,BEDYEQ_clean,0.1315954674,0.2585940881,1.2089501057
302,BEFLUV_clean,0.1173929145,0.2222745951,0.9069203226
303,BEFMAC_clean,0.127166582,0.2502844698,1.0278216784
304,BEGDEY_clean,0.3900896578,0.6819870383,2.1623940575
305,BEJZAS_clean,0.0743678563,0.1473309228,0.6731380426
306,BELJIL_clean,0.0219344366,0.0429891724,0.207324623
307,BELTOD_clean,0.1253785846,0.2472117921,1.0839790558
308,BELTUJ_clean,0.1263626618,0.249436033,1.06521478
309,BENZOL_clean,0.1380325538,0.2676378522,1.0461912684
310,BENZUR_clean,0.1199190122,0.2313815537,0.9194185409
311,BEPBAB_clean,0.2094050924,0.3927660522,1.4717031366
312,BEPLUF_clean,0.0355647235,0.0721940891,0.3526179737
313,BEPMAM_clean,0.035346117,0.0709193577,0.3459376995
314,BEPMIU_clean,0.0232219096,0.046473575,0.2252364057
315,BEPNIV_clean,0.0352643065,0.0702492353,0.3485806854
316,BEPNOB_clean,0.0340983323,0.0684760422,0.3374939524
317,BEPNUH_clean,0.0266899422,0.0531466255,0.2659214467
318,BEPPAP_clean,0.0223143582,0.0442865249,0.217852012
319,BEPPIX_clean,0.032723111,0.0641931265,0.3227433978
320,BEPPOD_clean,0.0341329496,0.0679310118,0.3321597169
321,BEPREV_clean,0.1915296117,0.3842966062,1.7063175926
322,BEPREV01_clean,0.2040607597,0.4009997612,1.7769512749
323,BEPREV02_clean,0.1762620022,0.3451435758,1.5888327857
324,BEPREV03_clean,0.1941526212,0.3803030969,1.7076956558
325,BEPRIZ_clean,0.1112887207,0.2204726062,1.01149203
326,BEPROF_clean,0.1404208229,0.2768559168,1.2696978285
327,BEPVEZ_clean,0.0598933952,0.115520533,0.4915815209
328,BEPVID_clean,0.0619551187,0.1199410914,0.4956770624
329,BEPVOJ_clean,0.0611721234,0.117380352,0.4805621342
330,BEPVOJ01_clean,0.0622981921,0.1204975597,0.5008461446
331,BEPWEA_clean,0.0064860462,0.0130033367,0.0646431715
332,BERQIA_clean,0.1679606956,0.3134635745,1.1751347627
333,BETDAH_clean,0.1260714246,0.2472548273,1.0521000571
334,BETFOX_clean,0.1226086612,0.2329878394,0.8414865527
335,BETFUD_clean,0.1280913292,0.2524517981,1.074080687
336,BETGEO_clean,0.074865379,0.1448765576,0.6233530468
337,BETGIS_clean,0.0557207612,0.1110373304,0.5031071542
338,BETGOY_clean,0.0710700384,0.1409826677,0.6312931632
339,BETGUE_clean,0.1100336325,0.2170493843,1.0100039286
340,BETHEP_clean,0.0551542244,0.1096681502,0.4954410863
341,BETHIT_clean,0.0908781155,0.1823493846,0.8408493623
342,BETZOR_clean,0.1467524864,0.2816597904,1.1016569088
343,BEVWAB_clean,0.0865458193,0.1690946561,0.7518099565
344,BEWCUD_clean,0.1188995023,0.2339237899,1.1516729391
345,BEWVEG_clean,0.0526524595,0.1034196413,0.4893164181
346,BEWVOQ_clean,0.0544515102,0.1087794776,0.5382340717
347,BEWWEH_clean,0.0453872557,0.0920801347,0.4608028898
348,BEXPAX_clean,0.1909466396,0.382599574,1.7144656877
349,BEXQIF_clean,0.086429619,0.1735564992,0.8208322126
350,BEXQOL_clean,0.0743083935,0.1500208965,0.7218622276
351,BEXQUR_clean,0.0772170244,0.1532334584,0.7269858628
352,BEXRAY_clean,0.0762656574,0.1492403826,0.7359987879
353,BEXREC_clean,0.0776423938,0.1557133145,0.7578118888
354,BEXRIG_clean,0.0794853695,0.1596612813,0.7818459476
355,BEXRUT_clean,0.0449069383,0.0880961814,0.4197632594
356,BEXSAA_clean,0.0487872652,0.0971578295,0.4536681654
357,BEXSEE_clean,0.0437043073,0.0881554462,0.4203126665
358,BEXSII_clean,0.099047656,0.1968006878,0.9046447537
359,BEXTUV_clean,0.1035055283,0.2038072842,0.8535111681
360,BEXVAD_clean,0.1073733201,0.2077354783,0.849954324
361,BEXVAD01_clean,0.0888536652,0.1761113599,0.74207244
362,BEXVEH_clean,0.0952849344,0.1898317947,0.8803864376
363,BEXVIL_clean,0.0720383135,0.1451096176,0.7063303706
364,BEYSEF_clean,0.0413558205,0.0848546832,0.3949656023
365,BIBXIV_clean,0.1068897885,0.2083626663,0.9514654279
366,BIBXOB_clean,0.110686654,0.2217763113,1.0724630901
367,BIBXUH_clean,0.1009353403,0.202354643,0.9647293216
368,BICPOT_clean,0.0934234067,0.1812120998,0.8040766029
369,BICPUA_clean,0.1016443551,0.2050941054,0.9682862891
370,BIDPOV_clean,0.1704579638,0.333796192,1.5116356174
371,BIFGOO_clean,0.0196024366,0.0395340902,0.19296321
372,BIFKEI_clean,0.1255691693,0.2462855623,1.0740823049
373,BIHBEB_clean,0.3757315754,0.6576881236,2.0030996227
374,BIJDUV_clean,0.0757893314,0.1497289233,0.6916461181
375,BIJFAD_clean,0.0847709948,0.1684275191,0.7827880182
376,BIMDIL_clean,0.0842297284,0.1653440247,0.737273482
377,BINCUY_manual,0.0996196986,0.1975160014,0.9302270738
378,BINDAF_manual,0.1023896784,0.2032942318,0.9368668486
379,BINMIW_clean,0.215344938,0.3878299611,0.9969897781
380,BINROH_clean,0.149457322,0.2958075472,1.3831766863
381,BINRUN_clean,0.1645425024,0.3229876216,1.4700041317
382,BINSAU_clean,0.1442529567,0.2848709355,1.3653856967
383,BIPBAF_clean,0.0940828872,0.1888708084,0.8862892948
384,BIPLIX_clean,0.0519140923,0.1026290472,0.4853654711
385,BIPSUQ_clean,0.1133565224,0.2283655625,1.1024899398
386,BIQHEQ_clean,0.2069883157,0.3918664942,1.4657448016
387,BIQVII_clean,0.0268555348,0.054034018,0.24224735
388,BIRGIU_clean,0.0473367892,0.0935485535,0.4511734129
389,BIRMUM_clean,0.0489475699,0.0951060228,0.4225888724
390,BIRSEC_clean,0.0449015541,0.0905786658,0.4090638695
391,BIRSIG_clean,0.048571875,0.097204648,0.4251946884
392,BIWSEG_ion_b,0.9273103141,1.8041591061,9.1916620769
393,BIWSIK_ion_b,0.1052036281,0.2093720437,0.9821439385
394,BIWSOQ_clean,0.2509577752,0.4846035093,1.9198558758
395,BIXYEO_clean,0.0117585645,0.0231732451,0.1046744009
396,BIYTAG_clean,0.0224399726,0.0443661912,0.2207047263
397,BIYTOU_clean,0.0614762484,0.1217406031,0.5750266807
398,BIZMEE_clean,0.1011855122,0.1996557928,0.9182000642
399,BIZMII_clean,0.1015838281,0.2004932652,0.9097322183
400,BODPAN_clean,0.098814843,0.19964393,0.879120292
401,BOHJOZ_auto,0.0228169366,0.0441042654,0.2129890109
402,BOHWOM_clean,0.1327611139,0.2630555484,1.0273258099
403,BOKQEZ_clean,0.0344552226,0.0663856258,0.3212888048
404,BOLPAU_clean,0.1551585667,0.3061599221,1.2942467062
405,BOLZIN_clean,0.1202066719,0.2358834547,1.1245876955
406,BOMCOX_clean,0.090514849,0.1746843095,0.7585784376
407,BOPHIZ_clean,0.0976644401,0.1916433608,0.8182163281
408,BORBEQ_clean,0.040960904,0.0807555849,0.3872504682
409,BOSHIC_clean,0.2617558887,0.5020308542,1.9195330896
410,BOVHEB_clean,0.2535148452,0.4715195293,1.6342257926
411,BOWDIC_clean,0.0966239045,0.1901693219,0.8161870499
