,Adsorbent,CO2_20C_0.5bar,CO2_20C_1bar,CO2_20C_5bar
4351,TAPXIT01_clean,1.430201527,1.428325363,1.542487586
4352,TAQGEZ_clean,1.656798312,2.919642443,7.456881819
4353,TAQGOK_clean,1.92900525,2.307574416,3.155681006
4354,TARVOX_clean,0.232028392,0.430868662,1.483495011
4355,TARVUD_clean,0.256941123,0.472543002,1.56852748
4356,TARWAK_clean,0.227369005,0.417052556,1.332756081
4357,TARWEO_clean,0.243028846,0.464274401,1.573427795
4358,TASFAU_clean,0.357216036,0.710939266,4.488636514
4359,TASXIW_clean,8.287154915,8.847103843,9.713851068
4360,TATPOV_clean,12.23547407,13.13316356,14.9981332
4361,TATSAK_clean,4.366978439,5.01131483,6.519754623
4362,TAWHOO_clean,2.230170725,2.573505239,3.202043237
4363,TAWSUI_clean,5.938925615,6.057977197,6.646837405
4364,TAWTAP_clean,5.799335062,5.838329011,5.941894107
4365,TAWYUO_clean,10.22436986,10.49201365,10.89149918
4366,TEBSAW_clean,1.381483051,2.183655929,3.902332391
4367,TECTUS_clean,8.309634736,8.909382563,10.11236689
4368,TECVEE_clean,5.01066815,5.747014175,7.439021947
4369,TEDXOR_clean,3.648057984,3.648436689,3.651503059
4370,TEHWEK_clean,6.038560338,6.289380605,7.000865656
4371,TEJLOL_clean,5.917633379,6.282911069,7.122522966
4372,TEMPAE_clean,9.10929883,9.596271857,11.25837861
4373,TEMPEI_clean,13.15675255,14.02010261,16.76169734
4374,TENLIJ_clean,4.302780352,4.415074243,4.770840405
4375,TENQOS_clean,4.627942447,5.353907104,7.6606849
4376,TEPJAB_clean,4.910119009,5.633585013,6.838349848
4377,TEQLIM_clean,11.17897286,11.8944236,13.65593981
4378,TEQPAI_clean,9.002056447,9.353001463,9.922249996
4379,TEQPEM_SL,14.45340176,17.2073028,22.86444089
4380,TEQVAO_manual,4.322837408,5.064858647,5.362257346
4381,TEQVOC_clean,1.790026509,1.801558442,1.857555793
4382,TEQWER_clean,1.008283838,1.625441422,2.855769382
4383,TEQWER01_clean,1.018234433,1.619670508,2.860934665
4384,TERFED_clean,6.990167842,7.007613944,7.026153945
4385,TESGOO_clean,2.136198558,2.141945251,2.143471646
4386,TESGUU_clean,2.139136683,2.144235588,2.144383016
4387,TESHAB_clean,2.144122412,2.144262393,2.144931029
4388,TETZEZ_clean,7.183850005,8.53832885,12.10498792
4389,TETZID_clean,1.025642099,1.278380302,2.046728413
4390,TEVHEJ_clean,8.072258952,8.538463422,10.14436774
4391,TEVZEA_clean,2.120867592,2.131954434,2.14287598
4392,TEVZIE_clean,2.141969077,2.144192402,2.144399397
4393,TEVZOK_clean,2.130436974,2.1393496340000002,2.14241136
4394,TEVZUQ_clean,2.144399397,2.144223675,2.144144749
4395,TEWFOS_clean,1.030242134,1.800789762,3.563441312
4396,TEWFUY_clean,0.965855225,1.672816703,3.85045899
4397,TEWGEJ_clean,1.47057931,2.071319692,3.88335129
4398,TEZKAM_clean,3.885581819,4.228709496,5.489808679
4399,TIDLEZ_clean,0.954514906,1.824259636,5.710169115
4400,TIDLID_clean,3.221673918,3.361536527,4.009359196
4401,TIFZIR_clean,8.875110329,8.973055344,9.233357588
4402,TIGSOT_clean,1.369865316,1.412429472,1.715769413
