,Adsorbent,CO2_40C_0.5bar,CO2_40C_1bar,CO2_40C_5bar
0,ABAYIO_clean,10.0605249293,10.3999565424,11.4079865929
1,ABAYOU_clean,9.6540079984,9.9220980259,10.570657254
2,ABETIN_clean,0.4506170803,0.9340722059,5.6448486232
3,ABEXIQ_clean,4.0074598521,4.2281635686,4.5840961117
4,ABIYIV_clean,2.0978529375,2.0985095004,2.1033512423
5,ABULOB_clean,8.6450046629,8.6454985414,8.6465163213
6,ABUWOJ_clean,7.2122512256,7.5448495625,8.2519583657
7,ac403674p_si_001_clean,0.0321773341,0.0652374326,0.3411846878
8,ACAJIZ_clean,0.7443212233,1.4782791353,3.0534741853
9,ACAJOF_clean,0.7059233028,1.2788422317,2.9250021763
10,ACIBIY_clean,2.2514728838,2.2763581907,2.4038614458
11,ACIBOE_clean,9.7936384931,10.2822252248,11.0239958146
12,ACOGAB_clean,4.3926102498,4.6725177668,5.5049897382
13,ACOGEF_clean,3.9968622723,4.2198458229,4.8969218451
14,ACOLIP_clean,4.0951568294,4.3674574732,5.4931254604
15,ACOLOV_clean,7.9774270048,8.3485065485,10.0382232482
16,acs.cgd.5b01554_VAGNUP1452791_clean,0.5105568409,0.8630790423,2.1866392183
17,acs.cgd.5b01686_WAHFUJ1434675_clean,2.6527029303,3.0179730454,3.8676950173
18,acs.chemmater.5b03723_cm5b03723_si_004_clean,10.4003431574,11.0044270457,13.0339694603
19,acs.chemmater.5b03723_cm5b03723_si_005_clean,11.0141558834,12.188478461,16.0624088985
20,acs.chemmater.6b02817_cm6b02817_si_004_clean,12.7647889474,12.9758196077,14.1169099115
21,acs.chemrev.6b00346_cr6b00346_si_001_clean,6.2148467691,7.0612353373,8.9987450455
22,acs.inorgchem.5b02973_ic5b02973_si_002_clean,0.6522878024,0.8675148231,1.7053603994
23,acs.inorgchem.6b00081_ic6b00081_si_001_clean,0.2714688039,0.5315232946,1.9278360825
24,acs.inorgchem.6b00136_ic6b00136_si_002_clean,7.4479773606,7.7279286685,8.5129335241
25,acs.inorgchem.6b00276_ic6b00276_si_006_clean,10.5550680456,11.3316669701,13.0824663841
26,acs.inorgchem.6b00433_ic6b00433_si_002_clean,0.7845130193,1.4240054171,3.4093690466
27,acs.inorgchem.6b00894_ic6b00894_si_002_clean,3.7066939447,4.2799180845,5.2203935644
28,acs.inorgchem.6b01211_ic6b01211_si_002_clean,13.6397830263,14.5029111765,16.556608619
29,acs.inorgchem.6b01416_ic6b01416_si_004_clean,2.2919305396,2.8395101102,3.9088328727
30,acs.inorgchem.6b01569_ic6b01569_si_002_clean,2.7276965491,3.061277674,4.1917981096
31,acs.inorgchem.6b01740_ic6b01740_si_002_clean,0.5212735935,1.0539511145,5.4915052583
32,acs.inorgchem.6b01762_ic6b01762_si_002_clean,4.2479061329,4.3666697005,4.6469543647
33,acs.inorgchem.6b02407_ic6b02407_si_002_clean,7.8498408017,8.6245070234,11.3288369206
34,acs.inorgchem.6b02407_ic6b02407_si_003_clean,7.813610394,8.0423528168,8.7179699764
35,acs.inorgchem.6b02514_ic6b02514_si_002_clean,0.2492797794,0.4708283123,1.9077820659
36,acs.inorgchem.6b02696_ic6b02696_si_002_clean,8.4071677155,9.6240197755,11.9086019839
37,acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean,7.0029928712,7.3733912692,8.0514271342
38,acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,17.0089065934,19.0836057021,23.7483781382
39,acscombsci.5b00188_24205_clean,5.8396963121,5.9246588718,6.2796046502
40,acscombsci.5b00188_3001288_clean,44.3516869387,49.2767395296,64.0638898089
41,acscombsci.5b00188_34903_clean,5.1855269829,5.324295249,5.9842460001
42,acscombsci.5b00188_5013797_clean,11.7516859609,12.6708055749,15.3843540559
