,Adsorbent,O2_20C_0.5bar,O2_20C_1bar,O2_20C_5bar,O2_20C_15bar
0,ABAYIO_clean,0.107577674,0.207035731,0.909236519,2.19816193
1,ABAYOU_clean,0.114573175,0.218616597,0.954939269,2.278860175
2,ABETIN_clean,0.157023479,0.307883694,1.513493696,4.284861006
3,ABEXIQ_clean,0.034678939,0.068649983,0.312973013,0.778791929
4,ABIYIV_clean,0.067580099,0.128687427,0.497930336,1.007825192
5,ABULOB_clean,0.37634139,0.696500728,2.3864042,3.976254502
6,ABUWOJ_clean,0.179857109,0.353789373,1.488952345,3.388001899
7,ac403674p_si_001_clean,0.039870267,0.079437438,0.383578221,1.028045554
8,ACAJIZ_clean,0.043398872,0.088096347,0.389680367,0.997588082
9,ACAJOF_clean,0.042294345,0.083610272,0.398356692,1.034668217
10,ACIBIY_clean,0.012636697,0.024870156,0.119676265,0.334665598
11,ACIBOE_clean,0.100038926,0.201387294,0.928003268,2.327992028
12,ACOGAB_clean,0.250968266,0.477301679,1.745369293,3.278811729
13,ACOGEF_clean,0.226430801,0.436136507,1.609583916,3.006540345
14,ACOLIP_clean,0.198430139,0.386439396,1.530598022,3.111162193
15,ACOLOV_clean,0.097239302,0.197646433,0.893275426,2.457220022
16,acs.cgd.5b01554_VAGNUP1452791_clean,0.018201547,0.035813446,0.177216163,0.495662485
17,acs.cgd.5b01686_WAHFUJ1434675_clean,0.089362936,0.175583929,0.733831517,1.62927467
18,acs.chemmater.5b03723_cm5b03723_si_004_clean,0.292320249,0.504743501,1.778285578,3.794519954
19,acs.chemmater.5b03723_cm5b03723_si_005_clean,0.213640455,0.423997049,1.788804647,4.300958743
20,acs.chemmater.6b02817_cm6b02817_si_004_clean,0.126206175,0.251768664,1.167504381,3.09453095
21,acs.chemrev.6b00346_cr6b00346_si_001_clean,0.170817352,0.340267333,1.532959767,3.895000625
22,acs.inorgchem.5b02973_ic5b02973_si_002_clean,0.179142324,0.329134617,1.085559755,2.146226085
23,acs.inorgchem.6b00081_ic6b00081_si_001_clean,0.063279737,0.126785829,0.56080577,1.357056936
24,acs.inorgchem.6b00136_ic6b00136_si_002_clean,0.404352782,0.748397484,2.196252315,3.525545613
25,acs.inorgchem.6b00276_ic6b00276_si_006_clean,0.446741757,0.777758494,2.46159452,4.896260157
26,acs.inorgchem.6b00433_ic6b00433_si_002_clean,0.142824889,0.273052567,1.136461282,2.423638368
27,acs.inorgchem.6b00894_ic6b00894_si_002_clean,0.216023188,0.403609073,1.553783093,2.97598223
28,acs.inorgchem.6b01211_ic6b01211_si_002_clean,0.205991976,0.39891665,1.592972018,3.733792843
29,acs.inorgchem.6b01416_ic6b01416_si_004_clean,0.13614562,0.26658232,1.032099239,2.147291955
30,acs.inorgchem.6b01569_ic6b01569_si_002_clean,0.031084815,0.063050773,0.300324725,0.778437999
31,acs.inorgchem.6b01740_ic6b01740_si_002_clean,0.181103384,0.352944158,1.693314173,4.814686744
32,acs.inorgchem.6b01762_ic6b01762_si_002_clean,0.01574715,0.031024614,0.145875417,0.377381968
33,acs.inorgchem.6b02407_ic6b02407_si_002_clean,0.269642305,0.521971169,2.180705053,4.767952902
34,acs.inorgchem.6b02407_ic6b02407_si_003_clean,0.249316564,0.48048702,1.889470512,3.757163363
35,acs.inorgchem.6b02514_ic6b02514_si_002_clean,0.064328849,0.127997855,0.572936787,1.448135497
36,acs.inorgchem.6b02696_ic6b02696_si_002_clean,0.164673049,0.322741503,1.413214804,3.466305083
37,acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean,0.072660003,0.14425578,0.649406423,1.575713704
38,acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,0.071609482,0.141741632,0.702057873,2.017089986
39,acscombsci.5b00188_24205_clean,0.215882426,0.419198068,1.624438105,3.268040453
40,acscombsci.5b00188_3001288_clean,0.182066236,0.364842029,1.811897839,5.186559189
41,acscombsci.5b00188_34903_clean,0.48879992,0.88423405,2.423953643,3.600257312
42,acscombsci.5b00188_5013797_clean,0.11764722,0.234107543,1.098233342,2.998046721
43,acscombsci.5b00188_5020072_clean,0.119835532,0.241403182,1.168201182,3.255702616
44,acscombsci.5b00188_5024922_clean,0.142376648,0.28129531,1.36634378,3.879440047
45,acscombsci.5b00188_5036495_clean,0.139190022,0.28607855,1.401423432,3.96695474
46,acscombsci.5b00188_5040209_clean,0.293410049,0.549895519,1.821078629,3.452716263
47,acscombsci.5b00188_8372_clean,0.322700449,0.535160064,1.579544732,2.998646451
48,ACUBAB_clean,0.065659435,0.129699674,0.519081831,1.082470351
49,ACUFEK_clean,0.149976294,0.300754788,1.393778834,3.798932962
50,ACUJOZ_manual,0.106628693,0.214058376,1.016518118,2.841753249
51,ACUTOI_clean,0.039152534,0.076553512,0.327168015,0.755094088
52,ADARAA_clean,0.175855213,0.343690351,1.500736842,3.642867038
53,ADASEF_clean,0.169896865,0.342257721,1.548949555,3.993967068
54,ADASIJ_clean,0.139962434,0.27501436,1.26561516,3.470664583
55,ADASOP_clean,0.170261314,0.338054115,1.477537604,3.801786378
56,ADASUV_clean,0.135494938,0.272774985,1.266011115,3.369135088
57,ADATAC_clean,0.200626695,0.394009462,1.833406851,4.802874318
58,ADATEG_manual,0.174142304,0.347974454,1.67887551,4.9899485
59,ADATIK_clean,0.158430369,0.309247171,1.481231365,3.994118198
60,ADAXEK_clean,0.175443906,0.336214569,1.207320431,2.347210948
61,ADAXIO_clean,0.09381701,0.18306519,0.747893645,1.655926221
62,ADIQEL_clean,0.41736118,0.756367189,2.395421152,3.832441587
63,ADOBIF_clean,0.144986292,0.262480737,0.832176657,1.659056156
64,ADOCEC_clean,0.07707766,0.149253633,0.623429799,1.436227885
65,ADOGEH_clean,0.243684493,0.447376312,1.542368691,3.291897982
66,ADUROI_clean,0.101628041,0.200533882,0.968329697,2.845945141
67,ADUWIH_clean,0.113406389,0.226823469,1.063529047,2.982405453
68,ADUWON_clean,0.164124425,0.325556547,1.556145097,4.119470636
69,AFEJOK_ion_b,0.246634943,0.469080802,1.92541173,3.929500643
70,AFITEP_clean,0.296543984,0.566931478,2.078560928,3.812366159
71,AFITUF_clean,0.114062535,0.21930583,0.882863361,1.930043082
72,AFIXAO_clean,0.109308279,0.20975113,0.853858644,1.90106802
73,AFIXES_clean,0.108659774,0.211039509,0.849890997,1.905233132
74,AFOVEX_clean,0.127152422,0.248432843,1.08900098,2.684284494
75,AFOYAW_clean,0.163575948,0.321823849,1.395850556,3.224425724
76,AFOYEB_clean,0.009573725,0.019223489,0.092907195,0.243938712
77,AFOYIE_clean,0.126979941,0.248480649,1.195727774,3.29401888
78,AFOYOK_clean,0.122161519,0.244044192,1.118881385,2.87525372
79,AFUKET_clean,0.17755047,0.327912004,1.204346355,2.629011615
80,AFUKIX_clean,0.120803661,0.239915745,1.072545509,2.819765174
81,AGABIU_clean,0.067004415,0.13399806,0.667398573,1.854162125
82,AGIREP_clean,0.106099707,0.212975484,0.980480958,2.561919236
83,AGOFEJ_clean,0.125866038,0.249718615,1.167217854,3.157058201
84,AGONAM_clean,0.047361518,0.094435068,0.434018786,1.077019663
85,AGONEQ_clean,0.077018532,0.151640711,0.720105174,1.917638281
86,AGUBUA_clean,0.851294956,1.398866752,2.926626046,3.856635827
87,AHAMAY_clean,0.058556775,0.11192586,0.397531476,0.709966914
88,AHEQAH_clean,0.144054855,0.285932342,1.311242635,3.642053538
89,AHIYOH_clean,0.135496261,0.253589158,0.907021973,1.669261891
90,AHOKIR_clean,0.094415627,0.183436779,0.753457159,1.601305284
91,AHOKIR01_clean,0.169774066,0.323956265,1.121064947,1.964958998
92,AHOKOX_clean,0.101214891,0.198874806,0.866389698,1.967007332
93,AJAKON_clean,0.124603752,0.239472955,0.997675249,2.117055888
94,AJAYIT_clean,0.013775824,0.027524117,0.132313559,0.348307041
95,AJIGIL_clean,0.047309047,0.093026609,0.427531633,1.115198798
96,AJOTEY_clean,0.11517092,0.227313263,1.005254097,2.500844255
97,AJOVEB_clean,0.094970724,0.186486116,0.71597498,1.40239354
98,AKEDIF_clean,0.20020515,0.391930679,1.632545837,3.564186807
99,AKOBAF_clean,0.146974479,0.289212687,1.092368374,2.182851814
100,AKOXIJ_clean,0.648543,1.034988154,2.486202719,3.792426896
101,AKUKUO_clean,0.145895388,0.276938178,1.056071851,2.046334526
102,ALAMUW_clean,0.168922562,0.330790817,1.427385971,3.679601478
103,ALANAD_clean,0.15148071,0.293835515,1.336146558,3.602017961
104,ALEJEI_clean,0.150847554,0.301315063,1.381863413,3.742645117
105,ALEJIM_clean,0.161609928,0.322832054,1.475220061,3.877896101
106,ALICAA_clean,0.054862783,0.108616199,0.458836028,1.100477581
107,ALIXAU_clean_h,0.048450814,0.094374404,0.42974853,1.003780435
108,ALIXOJ_clean,0.109218332,0.214941397,0.959759568,2.429701089
109,ALIXUP_clean,0.018694048,0.037255328,0.186008339,0.531658069
110,ALOLES_ion_b,0.005027857,0.010070155,0.047578112,0.134054124
111,ALOLIY_clean,0.011299675,0.023137839,0.11312578,0.329209697
112,ALONEV_clean,0.024017589,0.048330013,0.226633089,0.596121659
113,ALUJIB_clean,0.091995914,0.181926107,0.746713337,1.701015522
114,ALUKIC_clean,0.125664696,0.248408632,1.201270615,3.45538884
115,ALULEZ_clean,0.106038039,0.208744299,1.032463651,2.883399563
116,ALULID_clean,0.106325462,0.208874675,0.971927576,2.543731465
117,ALURAB_clean,0.088682309,0.176073189,0.787308259,1.985678924
118,ALUREF_clean,0.091966698,0.179148261,0.80728734,2.009500575
119,ALURIJ_clean,0.093545219,0.185025532,0.811118671,2.016348946
120,am301365h_si_002_clean,0.099023717,0.196253231,0.93722537,2.455291892
121,AMAFOK_clean,0.085335433,0.163693361,0.662028972,1.374619449
122,AMAGAX_clean,0.077208836,0.151967586,0.640381496,1.456405779
123,AMILOY_clean,0.140637609,0.26669476,0.939983109,1.989494676
124,AMILUE_clean,0.139839252,0.265538928,0.919350917,1.934345418
125,AMIMAL_clean,0.144075315,0.268791939,0.917119685,1.923485664
126,AMIMEP_clean,0.142903099,0.262351454,0.921272338,1.907070173
127,AMIZIG_clean,0.024257227,0.048830906,0.226347285,0.569680336
128,AMOYOR_clean,0.14856251,0.278192768,1.026055149,1.953776995
129,AMUFOF_clean,0.055208806,0.108422174,0.477143229,1.092198455
130,AMUPOP_clean,0.163616885,0.30302097,0.964040852,1.621518187
131,AMUWUB_clean,0.041457682,0.083912314,0.408946155,1.110508888
132,AMUXAI_clean,0.035877997,0.069514291,0.337987795,0.926375767
133,ANEHEI_clean,0.104414447,0.205806466,0.859198304,1.947674263
134,ANIDIL_clean,0.028348855,0.054992751,0.239146384,0.581627967
135,ANOMOG_clean,0.189131514,0.362671447,1.474336148,3.638703523
136,ANOMUM_clean,0.161588323,0.320612766,1.395952843,3.504298487
137,ANONAT_manual,0.142006435,0.280769547,1.268987063,3.241740328
138,ANUGEW_clean,0.138040324,0.272819054,1.310835753,3.841400885
139,ANUGIA_clean,0.147041245,0.294168507,1.396076384,3.904843761
140,ANUGOG_clean,0.156596036,0.310263186,1.468587165,4.147431193
141,APACAX_clean,0.330756445,0.636903785,2.400889688,4.863364202
142,APARAM_clean,0.164862066,0.312610226,1.046295864,2.097565432
143,APEBED_clean,0.21041349,0.383989658,1.190606151,1.910010024
144,APEBEE_clean,0.237730707,0.442786806,1.543104799,2.715354802
145,APEBII_clean,0.505038947,0.762359414,1.873084838,3.51291787
146,APEBUU_clean,0.089066532,0.175417717,0.703849098,1.531099142
147,APUPEH_clean,0.180270159,0.355946288,1.670972322,4.496260565
148,AQEGUY_clean,0.319833714,0.535917323,1.33424273,2.274037236
149,AQEQES_clean,0.079575879,0.157801301,0.728276363,1.862835969
150,AQEQIW_clean,0.086807986,0.170255194,0.778338068,1.967426116
151,AQERUL_clean,0.829008022,1.253729768,2.19510895,2.699731478
152,AQIQAU_clean,0.126902357,0.253602256,1.186427745,3.121649385
153,AQIXUU_clean,0.105029041,0.198641772,0.691743124,1.208780268
154,AQIXUV_clean,0.044338343,0.089363476,0.422468274,1.119764203
155,AQOLEZ_clean,0.198846352,0.388100259,1.649727013,3.9022602
156,AQOLID_clean,0.167827979,0.324598441,1.320366819,2.960936343
157,AQOLOJ_clean,0.481366394,0.855442873,2.800015572,5.596843218
158,AQOLUP_clean,0.193452377,0.382278417,1.608412543,3.830149512
159,AQOMAW_clean,0.144893943,0.277552826,1.179124939,2.762399012
160,AQOMEA_clean,0.17802092,0.352515241,1.522535919,3.747171067
161,AQOMEA01_clean,0.18571701,0.363868162,1.558814829,3.770306882
162,AQUCOF_clean,0.064822029,0.131338497,0.618199748,1.699923199
163,AQUCOG_clean,0.037954403,0.07516684,0.36761015,1.064829675
164,AQUCUM_clean,0.039323294,0.078049091,0.375085099,1.086474208
165,AQUDAS_clean,0.065127196,0.130190292,0.610319772,1.696716864
166,AQUDAT_clean,0.071926991,0.141276121,0.556891732,1.051887805
167,AQUDEX_clean,0.073832304,0.139581246,0.542562072,1.045607382
168,AQUDIB_clean,0.037599472,0.074583612,0.356065983,1.037396561
169,AQUDOH_clean,0.067032896,0.129305352,0.514676251,1.003013681
170,ARADEE_clean,0.10612586,0.214623543,0.965381888,2.512302202
171,ARAFEF_clean,0.161251115,0.321720291,1.497052514,3.958123214
172,ARAFIJ_clean,0.170976233,0.337037966,1.512780046,3.779637354
173,ARAFOP_clean,0.182370619,0.3547109,1.353734223,2.690870962
174,ARAGOR_clean,0.11873669,0.231638621,0.991880783,2.317946684
175,ARINOF_clean,0.143798296,0.278211862,1.046533082,2.00623337
176,ARINUL_clean,0.125353487,0.240741065,0.93373189,1.900384548
177,AROFAP_clean,0.163785939,0.32018259,1.246045488,2.673675895
178,AROFET_clean,0.110043173,0.216409117,0.978931424,2.529739027
179,ARUYES_clean,0.13188773,0.252327274,1.025263201,2.161633353
180,ARUYUH_clean,0.158125141,0.307580251,1.23643705,2.470761083
181,ARUYUH01_clean,0.19580022,0.376268452,1.493066741,2.82606485
182,ASACON_clean,0.043556375,0.084997585,0.367284096,0.850634547
183,ASADAA_clean,0.052506571,0.103307923,0.475484203,1.118894609
184,ASANAL_clean,0.135909878,0.258886519,1.011658232,2.017927435
185,ASEJOZ_clean,0.042388483,0.084921583,0.355699759,0.758256803
186,ASEJOZ01_clean,0.042024117,0.083987434,0.338789966,0.763886452
187,ASEKAM_clean,0.062390603,0.121698614,0.543328135,1.339020653
188,ASINAT_clean,0.149066961,0.298919126,1.30739668,3.394181661
189,ASINEX_clean,0.138300886,0.275010399,1.258128883,3.414539814
190,ASINIB_clean,0.136553582,0.270219508,1.229031955,3.339076041
191,ASIQEA_clean,0.094101343,0.186170591,0.878128133,2.390505603
192,ASIQIE_clean,0.096043894,0.190044729,0.893271991,2.440918733
193,ASIVAB_clean,0.137078886,0.267926308,1.273700463,3.647225929
194,ASIVEF_clean,0.165342588,0.329328241,1.49782963,3.993248726
195,ASOHUL_clean,0.058193087,0.115248265,0.551978145,1.471251631
196,ASOSUY_clean,0.264481151,0.522491872,2.125749357,4.736701598
197,ASOVEL_clean,0.133898221,0.261643908,1.054555436,2.254619796
198,ASOYOY_clean,0.154799383,0.299296004,1.309293728,3.227735573
199,ASUWUI_clean,0.140367986,0.271455199,1.06943366,2.304614612
200,ATAFIK_clean,0.09690224,0.191057682,0.871256063,2.221609031
201,ATAYAX_clean,0.202411086,0.390696746,1.704359561,4.131178471
202,ATAYEB_clean,0.175714375,0.349140835,1.55468388,3.899612143
203,ATEYED_clean,0.172001227,0.34032216,1.63301183,4.71961921
204,ATEYUV_clean,0.174865785,0.344885656,1.585838338,4.090439236
205,ATEZAC_clean,0.141731237,0.281406292,1.317988126,3.565980477
206,ATEZEG_clean,0.180754591,0.361545665,1.611800296,4.238151237
207,ATEZIK_clean,0.16192318,0.320751528,1.458075715,3.924762361
208,ATIBAG_clean,0.012352237,0.024947175,0.117151447,0.322635116
209,ATIBOU_clean,0.012941427,0.025518801,0.126961703,0.341337513
210,ATIBOU01_clean,0.012762594,0.025555525,0.121734037,0.331025887
211,ATIBOU02_clean,0.012693935,0.025363919,0.123538332,0.333880824
212,ATIBUA_clean,0.011450089,0.023321712,0.108446122,0.299802
213,ATICAH_clean,0.012136679,0.02392687,0.116830506,0.315711732
214,ATICEL_clean,0.011628922,0.023182798,0.110148227,0.30387364
215,ATIJUJ_manual,0.043937708,0.088243725,0.437083204,1.222623275
216,ATIXUX_clean,0.165205089,0.309782982,1.178774464,2.332926142
217,ATOGEV_clean,0.160147341,0.308641805,1.171659042,2.326426054
218,ATOWIQ_clean,0.089311401,0.178074399,0.82311466,2.333813933
219,ATOWOW_clean,0.087270681,0.172267987,0.829951403,2.294623141
220,ATULIM_clean,0.086059694,0.160240178,0.542370909,0.935256577
221,ATUZEW_clean,0.186343514,0.37090239,1.564381521,3.624602983
222,AVAJUE_clean,0.217352121,0.435125129,2.12033502,6.315967953
223,AVAKAL_clean,0.189801957,0.382872502,1.917228121,5.436726842
224,AVAKEP_clean,0.183827725,0.367281118,1.839896813,5.185067906
225,AVAQIX_clean,0.214499585,0.413883074,1.545558686,2.942668552
226,AVAQIX01_clean,0.222200761,0.429542473,1.57395942,2.941251875
227,AVEHAM_clean,0.093270388,0.184522073,0.681721549,1.366952
228,AVELOD_clean,0.096185678,0.188312286,0.870815098,2.331095691
229,AVELUJ_clean,0.099963148,0.198463271,0.914033925,2.418988132
230,AVEMAQ_clean,0.089648927,0.17984093,0.825684995,2.180471638
231,AVEQID_clean,0.148500841,0.290836993,1.37144715,3.742455364
232,AVESOL_clean,0.251749891,0.495170135,2.136325794,4.804924543
233,AVESUR_clean,0.161693048,0.315579839,1.371020943,3.204176355
234,AVETAY_clean,0.356615566,0.683781944,2.503757995,4.954558436
235,AVETEC_clean,0.692780975,1.152708432,2.844816443,4.786319131
236,AVIHIY_clean,0.050611489,0.100760074,0.464524437,1.228333285
237,AVIMIC_clean,0.039291499,0.076486517,0.317609785,0.679219978
238,AVIMOI_clean,0.171257706,0.326984414,1.178709947,2.2440582
239,AVIMUO_clean,0.092618644,0.181790961,0.748677281,1.670726522
240,AVIPAX_clean,0.134282725,0.26245969,1.109207378,2.607988159
241,AVIPOL_clean,0.110022839,0.219066752,0.991195477,2.575158088
242,AVITUU_clean,0.207159875,0.408357871,1.80392923,4.434848165
243,AVUCEA_clean,0.133146424,0.265930029,1.179284218,2.911719916
244,AVUDAX_clean,0.133670676,0.261421637,1.138931242,2.625142579
245,AWAGEL_clean,0.100910477,0.198331493,0.924754825,2.404034539
246,AWAGOV_clean,0.085336669,0.168176388,0.720416815,1.669963762
247,AWAKEQ_clean,0.069787771,0.138159309,0.559035787,1.112808755
248,AWAREV_clean,0.115801112,0.216478312,0.72590384,1.245516523
249,AWARIZ_clean,0.116494892,0.222968232,0.727287637,1.234853883
250,AWAWUR_clean,0.103144253,0.200531083,0.842147752,2.044775885
251,AWEJIW_clean,0.112385432,0.214907689,0.850818272,1.879712343
252,AWEVIJ_clean,0.156064856,0.306515586,1.218195767,2.902342599
253,AWEWOP_clean,0.089724747,0.178093927,0.801748825,2.095054878
254,AWIBAL_clean,0.130794532,0.250076632,0.965215627,1.897298054
255,AWIBEO_clean,0.025812643,0.051646643,0.200916054,0.396569571
256,AWIBIS_clean,0.029652395,0.055538681,0.208535905,0.407308944
257,AWOFOI_clean,0.104510219,0.204217914,0.917203334,2.272677609
258,AXIGAR_clean,0.098873358,0.197395045,0.919665937,2.527852596
259,AXINAX_clean,0.183114011,0.371735559,1.6365416,4.304569375
260,AXINAX01_clean,0.149960253,0.303524029,1.426029308,3.769224384
261,AXINIF_clean,0.215050392,0.412958393,1.789951082,4.228476234
262,AXUBAW_manual,0.088661062,0.176819219,0.851773658,2.293474261
263,AXUBOL_clean,0.118784985,0.229534077,0.976387326,2.352569599
264,AXUHAD_clean,0.097669339,0.196720605,0.916644164,2.430239704
265,AXUHEH_clean,0.108847351,0.20168405,0.71727931,1.436237194
266,AYOQEM_clean,0.114605504,0.22806443,1.090597389,2.995381539
267,AYOXUJ_clean,0.032325099,0.064779297,0.307905843,0.790271007
268,AYUJIP_clean,0.085855052,0.166257635,0.71653978,1.665690695
269,AZAFIS_clean,0.196213937,0.375745143,1.319648942,2.446949599
270,AZAVOO_clean,0.463221221,0.846733114,2.580239284,4.096006035
271,AZAVUU_clean,0.381757128,0.700035666,2.136200091,3.371168192
272,AZAWAB_clean,0.307624831,0.574644012,1.975640253,3.416289015
273,AZEBUE_clean,0.131868122,0.253080184,0.89755859,1.650592197
274,AZIVAI_clean,0.201668945,0.39845284,1.85320831,4.859294243
275,AZIXUD_clean,0.107102019,0.212296259,0.961803321,2.474591551
276,BABREE_clean,0.119098822,0.236922729,1.055610033,2.714785808
277,BACGAQ_clean,0.136088164,0.265920791,1.001856457,1.973211413
278,BAEDTA01_clean,0.031104815,0.060966686,0.250736592,0.531094934
279,BAFHAU_clean,0.056107051,0.114788809,0.558968105,1.561423108
280,BAKGIF_manual,0.112817004,0.225072592,1.024184376,2.62546656
281,BAKJEE_clean,0.168894074,0.330741784,1.447841608,3.562474333
282,BAKJII_clean,0.199746559,0.390455447,1.719224414,4.000433371
283,BAKJOO_clean,0.106139799,0.21033447,0.945042027,2.463905955
284,BAKYIY_clean,0.092871376,0.187252637,0.848008452,2.29410318
285,BAKYOE_clean,0.081716628,0.164460507,0.755514466,1.97167411
286,BAMKIM_clean,0.051131863,0.103000891,0.490461162,1.322961962
287,BAMKOS_clean,0.055529564,0.110003969,0.526529903,1.41134962
288,BAPDAA_clean,0.035447359,0.070730606,0.341758229,0.982213525
289,BARZUR_clean,0.30005529,0.568449733,2.2064744,4.239285667
290,BASJUB_clean,0.11831596,0.235003973,1.021085379,2.352906091
291,BAWROI_clean,0.117646919,0.233176463,1.1222808,2.970401415
292,BAXFIR01_clean,0.171100306,0.334790403,1.32772139,2.649451911
293,BAXGAK_clean,0.171844177,0.330261626,1.320168677,2.694510259
294,BAXSIE_clean,0.044610457,0.088384971,0.38930327,0.907640166
295,BAZFUF_clean,0.149882104,0.298742608,1.472076929,4.324048415
296,BAZFUF01_clean,0.149035678,0.300023287,1.458638635,4.305755317
297,BAZGAM_clean,0.260214597,0.524669899,2.606073766,7.551122761
298,BAZGEQ_clean,0.181973168,0.36469685,1.694137339,4.691155969
299,BAZJET_clean,0.184831311,0.368669947,1.657129539,4.323983768
300,BAZJIX_clean,0.180576074,0.354579919,1.526197818,3.737299777
301,BEDYEQ_clean,0.176252512,0.352985651,1.601261283,4.182237981
302,BEFLUV_clean,0.181243129,0.351636355,1.283120038,2.421018794
303,BEFMAC_clean,0.203419126,0.382462806,1.451110953,2.882189838
304,BEGDEY_clean,0.591474817,1.021218096,2.794974101,4.671091679
305,BEJZAS_clean,0.108801335,0.212961846,0.940976285,2.260839096
306,BELJIL_clean,0.029402684,0.057881754,0.275461052,0.728196662
307,BELTOD_clean,0.182860804,0.352951863,1.52196487,3.287992214
308,BELTUJ_clean,0.187723614,0.358270259,1.511543305,3.138544335
309,BENZOL_clean,0.210719598,0.392275363,1.426370857,2.701390544
310,BENZUR_clean,0.180885432,0.343742696,1.254933427,2.410814224
311,BEPBAB_clean,0.320595166,0.591648288,1.97478257,3.495910858
312,BEPLUF_clean,0.045177732,0.090332751,0.439918624,1.244066918
313,BEPMAM_clean,0.044714967,0.087967826,0.437178945,1.227163241
314,BEPMIU_clean,0.028989572,0.057971706,0.286947422,0.807505023
315,BEPNIV_clean,0.045341859,0.088745179,0.437913128,1.216550156
316,BEPNOB_clean,0.043554412,0.085877281,0.425791557,1.191163846
317,BEPNUH_clean,0.034695641,0.068676525,0.335601627,0.928391406
318,BEPPAP_clean,0.027953079,0.056734361,0.274720274,0.792446116
319,BEPPIX_clean,0.041283383,0.083361412,0.408560062,1.134178747
320,BEPPOD_clean,0.043563481,0.085976585,0.423992996,1.171254578
321,BEPREV_clean,0.271921676,0.529710262,2.348045789,5.393095087
322,BEPREV01_clean,0.28381598,0.557991569,2.422848453,5.451707399
323,BEPREV02_clean,0.243902065,0.481092312,2.16299958,5.220204877
324,BEPREV03_clean,0.275771479,0.528875256,2.328016223,5.407010349
325,BEPRIZ_clean,0.149394153,0.301919624,1.349060081,3.53216995
326,BEPROF_clean,0.189890219,0.369125316,1.709186941,4.514335737
327,BEPVEZ_clean,0.084218778,0.16319953,0.65457258,1.365808085
328,BEPVID_clean,0.089187597,0.174279652,0.670178317,1.346684615
329,BEPVOJ_clean,0.090825813,0.173339073,0.654204884,1.253109289
330,BEPVOJ01_clean,0.08958484,0.177339407,0.661786971,1.302067014
331,BEPWEA_clean,0.00837349,0.016555253,0.082100251,0.236805305
332,BERQIA_clean,0.261047575,0.471241507,1.616200624,3.187419109
333,BETDAH_clean,0.182719755,0.358343641,1.463440841,3.123652578
334,BETFOX_clean,0.194734207,0.36024438,1.200709988,2.154190559
335,BETFUD_clean,0.185539177,0.371580273,1.485289497,3.255294754
336,BETGEO_clean,0.107655269,0.209051109,0.836087333,1.8897348
337,BETGIS_clean,0.076734034,0.152842337,0.668248478,1.64036571
338,BETGOY_clean,0.099424645,0.195985821,0.846513717,2.042869383
339,BETGUE_clean,0.146972918,0.289667671,1.302891381,3.456971779
340,BETHEP_clean,0.074614829,0.148175542,0.666624506,1.719306215
341,BETHIT_clean,0.119605942,0.238744339,1.080010653,2.930796545
342,BETZOR_clean,0.22469115,0.424282317,1.488521572,2.873740784
343,BEVWAB_clean,0.126493834,0.249435782,1.038835792,2.347463866
344,BEWCUD_clean,0.147647594,0.286797806,1.45469302,4.077804758
345,BEWVEG_clean,0.076133401,0.151359821,0.681764687,1.747270241
346,BEWVOQ_clean,0.072210795,0.141237553,0.692289195,1.912811107
347,BEWWEH_clean,0.057813841,0.11668271,0.580486428,1.665141391
348,BEXPAX_clean,0.276636351,0.543090022,2.343536807,5.415954008
349,BEXQIF_clean,0.111563832,0.224649334,1.05029675,2.944476346
350,BEXQOL_clean,0.094970888,0.191935491,0.901387659,2.55523214
351,BEXQUR_clean,0.099016257,0.195568465,0.926945001,2.620679896
352,BEXRAY_clean,0.097767856,0.190478913,0.933751093,2.606723989
353,BEXREC_clean,0.100311772,0.198578165,0.956608876,2.670938464
354,BEXRIG_clean,0.101975145,0.201960798,0.992394414,2.724523866
355,BEXRUT_clean,0.060868556,0.122192861,0.556301896,1.426004607
356,BEXSAA_clean,0.067153618,0.133906292,0.605077644,1.525303687
357,BEXSEE_clean,0.059420541,0.118708274,0.556373994,1.438721858
