,Adsorbent,O2_20C_0.5bar,O2_20C_1bar,O2_20C_5bar,O2_20C_15bar
358,BEXSII_clean,0.138102578,0.27368458,1.2107687,3.074544338
359,BEXTUV_clean,0.159828063,0.307626732,1.215881868,2.497139709
360,BEXVAD_clean,0.167985688,0.319558342,1.226072949,2.445981322
361,BEXVAD01_clean,0.140902255,0.278818049,1.078868109,2.240585045
362,BEXVEH_clean,0.128103334,0.257395788,1.161461024,3.132552645
363,BEXVIL_clean,0.094559555,0.187551726,0.905050669,2.587447259
364,BEYSEF_clean,0.058300532,0.112978442,0.538126689,1.390239387
365,BIBXIV_clean,0.147012606,0.290201078,1.279005022,3.302881742
366,BIBXOB_clean,0.137711586,0.272178402,1.303425508,3.761298622
367,BIBXUH_clean,0.133075937,0.260944987,1.254392845,3.371948118
368,BICPOT_clean,0.135776762,0.267099604,1.14441104,2.553068873
369,BICPUA_clean,0.130173215,0.256803919,1.222913291,3.57479104
370,BIDPOV_clean,0.237488217,0.471972859,2.022090505,5.096944163
371,BIFGOO_clean,0.026939672,0.053405159,0.256476826,0.684250272
372,BIFKEI_clean,0.181033321,0.352578379,1.487634531,3.314818552
373,BIHBEB_clean,0.566285606,0.937161655,2.533941918,4.657135188
