,Adsorbent,CO2_10C_0.5bar,CO2_10C_1bar,CO2_10C_5bar
0,ABAYIO_clean,11.04971635,11.44493664,12.35409964
1,ABAYOU_clean,10.31571163,10.57938285,11.41101999
2,ABETIN_clean,0.87679378,1.880557747,12.87682372
3,ABEXIQ_clean,4.561809307,4.681793598,4.948910064
4,ABIYIV_clean,2.098793538,2.111806812,2.139426153
5,ABULOB_clean,8.646625905,8.646625905,8.646361703
6,ABUWOJ_clean,7.896473631,8.256659774,9.133497136
7,ac403674p_si_001_clean,0.061907175,0.1232953,0.660287003
8,ACAJIZ_clean,2.334076124,2.945546113,3.47969862
9,ACAJOF_clean,2.037320817,2.717072325,3.754624208
10,ACIBIY_clean,2.319230658,2.417568002,2.677733846
11,ACIBOE_clean,10.99602612,11.03266058,11.72444538
12,ACOGAB_clean,5.021435307,5.281881808,6.240749021
13,ACOGEF_clean,4.614903615,4.863547306,5.47262089
14,ACOLIP_clean,4.805211173,5.310280618,6.816878397
15,ACOLOV_clean,8.890817991,9.691254942,12.24972908
16,acs.cgd.5b01554_VAGNUP1452791_clean,1.159907741,1.638546128,3.305201535
17,acs.cgd.5b01686_WAHFUJ1434675_clean,3.584163271,3.960268297,4.453834749
18,acs.chemmater.5b03723_cm5b03723_si_004_clean,11.6203073,12.45046383,14.65814866
19,acs.chemmater.5b03723_cm5b03723_si_005_clean,13.21226967,15.00211631,19.02896208
20,acs.chemmater.6b02817_cm6b02817_si_004_clean,13.74185625,14.22166353,14.89644975
21,acs.chemrev.6b00346_cr6b00346_si_001_clean,7.41816594,8.057941453,10.81453357
22,acs.inorgchem.5b02973_ic5b02973_si_002_clean,1.081282253,1.347492089,2.568737571
23,acs.inorgchem.6b00081_ic6b00081_si_001_clean,0.634252113,1.235228811,2.838741057
24,acs.inorgchem.6b00136_ic6b00136_si_002_clean,8.056042256,8.369526492,9.391556428
25,acs.inorgchem.6b00276_ic6b00276_si_006_clean,12.07833208,12.80566474,14.46163029
26,acs.inorgchem.6b00433_ic6b00433_si_002_clean,1.818841778,2.800799887,4.557462869
27,acs.inorgchem.6b00894_ic6b00894_si_002_clean,4.783295566,5.119303772,6.039958496
28,acs.inorgchem.6b01211_ic6b01211_si_002_clean,15.4518779,16.29189929,18.16356002
29,acs.inorgchem.6b01416_ic6b01416_si_004_clean,3.389819562,3.791834339,4.4791759
30,acs.inorgchem.6b01569_ic6b01569_si_002_clean,3.654876609,4.210281744,5.255654808
31,acs.inorgchem.6b01740_ic6b01740_si_002_clean,0.978399215,1.994916004,10.40762286
32,acs.inorgchem.6b01762_ic6b01762_si_002_clean,4.483039486,4.586597849,4.83494082
