,Index,Adsorbent,Directory,Uptake (mol/kg)
0,0,ABAYIO_clean,MOF_no0000,0.0002638719
1,1,ABAYOU_clean,MOF_no0001,0.000286783
2,2,ABETIN_clean,MOF_no0002,0.0003550387
3,3,ABEXIQ_clean,MOF_no0003,0.0001011279
4,4,ABIYIV_clean,MOF_no0004,0.000188994
5,5,ABULOB_clean,MOF_no0005,0.0010267868
6,6,ABUWOJ_clean,MOF_no0006,0.0004401993
7,7,ac403674p_si_001_clean,MOF_no0007,8.90342e-05
8,8,ACAJIZ_clean,MOF_no0008,0.0001093561
9,9,ACAJOF_clean,MOF_no0009,8.71682e-05
10,10,ACIBIY_clean,MOF_no0010,2.68048e-05
11,11,ACIBOE_clean,MOF_no0011,0.0002494177
12,12,ACOGAB_clean,MOF_no0012,0.0007050113
13,13,ACOGEF_clean,MOF_no0013,0.0005377384
14,14,ACOLIP_clean,MOF_no0014,0.0005350434
15,15,ACOLOV_clean,MOF_no0015,0.0002121457
16,16,acs.cgd.5b01554_VAGNUP1452791_clean,MOF_no0016,4.15244e-05
17,17,acs.cgd.5b01686_WAHFUJ1434675_clean,MOF_no0017,0.0002029266
18,18,acs.chemmater.5b03723_cm5b03723_si_004_clean,MOF_no0018,0.0010993983
19,19,acs.chemmater.5b03723_cm5b03723_si_005_clean,MOF_no0019,0.0004157453
20,20,acs.chemmater.6b02817_cm6b02817_si_004_clean,MOF_no0020,0.0003311322
21,21,acs.chemrev.6b00346_cr6b00346_si_001_clean,MOF_no0021,0.0004163126
22,22,acs.inorgchem.5b02973_ic5b02973_si_002_clean,MOF_no0022,0.0005513654
23,23,acs.inorgchem.6b00081_ic6b00081_si_001_clean,MOF_no0023,0.0001711457
24,24,acs.inorgchem.6b00136_ic6b00136_si_002_clean,MOF_no0024,0.0013287594
25,25,acs.inorgchem.6b00276_ic6b00276_si_006_clean,MOF_no0025,0.0014452315
26,26,acs.inorgchem.6b00433_ic6b00433_si_002_clean,MOF_no0026,0.0003767189
27,27,acs.inorgchem.6b00894_ic6b00894_si_002_clean,MOF_no0027,0.000556668
28,28,acs.inorgchem.6b01211_ic6b01211_si_002_clean,MOF_no0028,0.0005788201
29,29,acs.inorgchem.6b01416_ic6b01416_si_004_clean,MOF_no0029,0.000317764
30,30,acs.inorgchem.6b01569_ic6b01569_si_002_clean,MOF_no0030,6.527e-05
31,31,acs.inorgchem.6b01740_ic6b01740_si_002_clean,MOF_no0031,0.0004754571
32,32,acs.inorgchem.6b01762_ic6b01762_si_002_clean,MOF_no0032,3.99732e-05
33,33,acs.inorgchem.6b02407_ic6b02407_si_002_clean,MOF_no0033,0.0006997214
34,34,acs.inorgchem.6b02407_ic6b02407_si_003_clean,MOF_no0034,0.0006670677
35,35,acs.inorgchem.6b02514_ic6b02514_si_002_clean,MOF_no0035,0.0001554668
36,36,acs.inorgchem.6b02696_ic6b02696_si_002_clean,MOF_no0036,0.0004354112
37,37,acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean,MOF_no0037,0.0002039766
38,38,acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,MOF_no0038,0.0001692301
39,39,acscombsci.5b00188_24205_clean,MOF_no0039,0.0005025092
40,40,acscombsci.5b00188_3001288_clean,MOF_no0040,0.0004597127
41,41,acscombsci.5b00188_34903_clean,MOF_no0041,0.0015234968
42,42,acscombsci.5b00188_5013797_clean,MOF_no0042,0.000300265
43,43,acscombsci.5b00188_5020072_clean,MOF_no0043,0.0002881079
44,44,acscombsci.5b00188_5024922_clean,MOF_no0044,0.0003201839
45,45,acscombsci.5b00188_5036495_clean,MOF_no0045,0.0003823186
46,46,acscombsci.5b00188_5040209_clean,MOF_no0046,0.0007873691
47,47,acscombsci.5b00188_8372_clean,MOF_no0047,0.0010405969
48,48,ACUBAB_clean,MOF_no0048,0.0001709881
49,49,ACUFEK_clean,MOF_no0049,0.000357184
50,50,ACUJOZ_manual,MOF_no0050,0.000262522
51,51,ACUTOI_clean,MOF_no0051,8.71734e-05
52,52,ADARAA_clean,MOF_no0052,0.0004929978
53,53,ADASEF_clean,MOF_no0053,0.0004264598
54,54,ADASIJ_clean,MOF_no0054,0.0003586742
55,55,ADASOP_clean,MOF_no0055,0.0003783585
56,56,ADASUV_clean,MOF_no0056,0.000320877
57,57,ADATAC_clean,MOF_no0057,0.0004675235
58,58,ADATEG_manual,MOF_no0058,0.0004479988
59,59,ADATIK_clean,MOF_no0059,0.00031939
60,60,ADAXEK_clean,MOF_no0060,0.0004773567
61,61,ADAXIO_clean,MOF_no0061,0.0002102121
62,62,ADIQEL_clean,MOF_no0062,0.0012864019
63,63,ADOBIF_clean,MOF_no0063,0.0004524208
64,64,ADOCEC_clean,MOF_no0064,0.000191633
65,65,ADOGEH_clean,MOF_no0065,0.0007517085
66,66,ADUROI_clean,MOF_no0066,0.0001955539
67,67,ADUWIH_clean,MOF_no0067,0.0003060631
68,68,ADUWON_clean,MOF_no0068,0.0004064965
69,69,AFEJOK_ion_b,MOF_no0069,0.0005917139
70,70,AFITEP_clean,MOF_no0070,0.0008001838
71,71,AFITUF_clean,MOF_no0071,0.0003131309
72,72,AFIXAO_clean,MOF_no0072,0.0002956582
73,73,AFIXES_clean,MOF_no0073,0.0002632868
74,74,AFOVEX_clean,MOF_no0074,0.000301822
75,75,AFOYAW_clean,MOF_no0075,0.0004405726
76,76,AFOYEB_clean,MOF_no0076,1.90096e-05
77,77,AFOYIE_clean,MOF_no0077,0.0003258075
78,78,AFOYOK_clean,MOF_no0078,0.000290113
79,79,AFUKET_clean,MOF_no0079,0.0004712604
80,80,AFUKIX_clean,MOF_no0080,0.0002858021
81,81,AGABIU_clean,MOF_no0081,0.0001723032
82,82,AGIREP_clean,MOF_no0082,0.0002608505
83,83,AGOFEJ_clean,MOF_no0083,0.0002963536
84,84,AGONAM_clean,MOF_no0084,0.0001045856
85,85,AGONEQ_clean,MOF_no0085,0.000191555
86,86,AGUBUA_clean,MOF_no0086,0.0029268828
87,87,AHAMAY_clean,MOF_no0087,0.0001684251
88,88,AHEQAH_clean,MOF_no0088,0.0003346222
89,89,AHIYOH_clean,MOF_no0089,0.0003928839
90,90,AHOKIR_clean,MOF_no0090,0.0002358943
91,91,AHOKIR01_clean,MOF_no0091,0.0004438866
92,92,AHOKOX_clean,MOF_no0092,0.0002835702
93,93,AJAKON_clean,MOF_no0093,0.000344465
94,94,AJAYIT_clean,MOF_no0094,3.81191e-05
95,95,AJIGIL_clean,MOF_no0095,0.0001096495
96,96,AJOTEY_clean,MOF_no0096,0.0002733553
97,97,AJOVEB_clean,MOF_no0097,0.0002563082
98,98,AKEDIF_clean,MOF_no0098,0.0005059555
99,99,AKOBAF_clean,MOF_no0099,0.0003712947
100,100,AKOXIJ_clean,MOF_no0100,0.002980167
101,101,AKUKUO_clean,MOF_no0101,0.0003708321
102,102,ALAMUW_clean,MOF_no0102,0.0004338711
103,103,ALANAD_clean,MOF_no0103,0.0003631738
104,104,ALEJEI_clean,MOF_no0104,0.0003565023
105,105,ALEJIM_clean,MOF_no0105,0.0003844592
106,106,ALICAA_clean,MOF_no0106,0.0001399152
107,107,ALIXAU_clean_h,MOF_no0107,0.0001241378
108,108,ALIXOJ_clean,MOF_no0108,0.0002343318
109,109,ALIXUP_clean,MOF_no0109,4.70221e-05
110,110,ALOLES_ion_b,MOF_no0110,1.32375e-05
111,111,ALOLIY_clean,MOF_no0111,3.44083e-05
112,112,ALONEV_clean,MOF_no0112,5.98373e-05
113,113,ALUJIB_clean,MOF_no0113,0.0001944417
114,114,ALUKIC_clean,MOF_no0114,0.0003139673
115,115,ALULEZ_clean,MOF_no0115,0.0001970738
116,116,ALULID_clean,MOF_no0116,0.0001872282
117,117,ALURAB_clean,MOF_no0117,0.0002384956
118,118,ALUREF_clean,MOF_no0118,0.0002156609
119,119,ALURIJ_clean,MOF_no0119,0.0002589065
120,120,am301365h_si_002_clean,MOF_no0120,0.0002540466
