,Index,Adsorbent,Directory,Uptake (mol/kg)
0,0,ABAYIO_clean,MOF_no0000,0.0001909224
1,1,ABAYOU_clean,MOF_no0001,0.0001932425
2,2,ABETIN_clean,MOF_no0002,0.000265628
3,3,ABEXIQ_clean,MOF_no0003,6.64272e-05
4,4,ABIYIV_clean,MOF_no0004,0.0001059677
5,5,ABULOB_clean,MOF_no0005,0.000628982
6,6,ABUWOJ_clean,MOF_no0006,0.0002954491
7,7,ac403674p_si_001_clean,MOF_no0007,5.4936e-05
8,8,ACAJIZ_clean,MOF_no0008,7.5638e-05
9,9,ACAJOF_clean,MOF_no0009,7.11577e-05
10,10,ACIBIY_clean,MOF_no0010,2.33085e-05
11,11,ACIBOE_clean,MOF_no0011,0.0001546389
12,12,ACOGAB_clean,MOF_no0012,0.0003739038
13,13,ACOGEF_clean,MOF_no0013,0.0003578107
14,14,ACOLIP_clean,MOF_no0014,0.0003682019
15,15,ACOLOV_clean,MOF_no0015,0.0001595081
16,16,acs.cgd.5b01554_VAGNUP1452791_clean,MOF_no0016,3.22968e-05
17,17,acs.cgd.5b01686_WAHFUJ1434675_clean,MOF_no0017,0.0001493448
18,18,acs.chemmater.5b03723_cm5b03723_si_004_clean,MOF_no0018,0.0006782578
19,19,acs.chemmater.5b03723_cm5b03723_si_005_clean,MOF_no0019,0.0003631193
20,20,acs.chemmater.6b02817_cm6b02817_si_004_clean,MOF_no0020,0.0002393332
21,21,acs.chemrev.6b00346_cr6b00346_si_001_clean,MOF_no0021,0.0002996733
22,22,acs.inorgchem.5b02973_ic5b02973_si_002_clean,MOF_no0022,0.0002829164
23,23,acs.inorgchem.6b00081_ic6b00081_si_001_clean,MOF_no0023,0.0001090364
24,24,acs.inorgchem.6b00136_ic6b00136_si_002_clean,MOF_no0024,0.0006688789
25,25,acs.inorgchem.6b00276_ic6b00276_si_006_clean,MOF_no0025,0.0008768932
26,26,acs.inorgchem.6b00433_ic6b00433_si_002_clean,MOF_no0026,0.0002421764
27,27,acs.inorgchem.6b00894_ic6b00894_si_002_clean,MOF_no0027,0.0003744858
28,28,acs.inorgchem.6b01211_ic6b01211_si_002_clean,MOF_no0028,0.000372725
29,29,acs.inorgchem.6b01416_ic6b01416_si_004_clean,MOF_no0029,0.0002365175
30,30,acs.inorgchem.6b01569_ic6b01569_si_002_clean,MOF_no0030,4.89525e-05
31,31,acs.inorgchem.6b01740_ic6b01740_si_002_clean,MOF_no0031,0.0003592343
32,32,acs.inorgchem.6b01762_ic6b01762_si_002_clean,MOF_no0032,3.38235e-05
33,33,acs.inorgchem.6b02407_ic6b02407_si_002_clean,MOF_no0033,0.0003825144
34,34,acs.inorgchem.6b02407_ic6b02407_si_003_clean,MOF_no0034,0.0004046722
35,35,acs.inorgchem.6b02514_ic6b02514_si_002_clean,MOF_no0035,0.0001091828
36,36,acs.inorgchem.6b02696_ic6b02696_si_002_clean,MOF_no0036,0.0002627926
37,37,acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean,MOF_no0037,0.0001135174
38,38,acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,MOF_no0038,0.0001051971
39,39,acscombsci.5b00188_24205_clean,MOF_no0039,0.0003708032
40,40,acscombsci.5b00188_3001288_clean,MOF_no0040,0.0002898189
41,41,acscombsci.5b00188_34903_clean,MOF_no0041,0.0008845778
42,42,acscombsci.5b00188_5013797_clean,MOF_no0042,0.0002124516
43,43,acscombsci.5b00188_5020072_clean,MOF_no0043,0.0002533961
44,44,acscombsci.5b00188_5024922_clean,MOF_no0044,0.000246999
45,45,acscombsci.5b00188_5036495_clean,MOF_no0045,0.0001998483
46,46,acscombsci.5b00188_5040209_clean,MOF_no0046,0.0005299599
47,47,acscombsci.5b00188_8372_clean,MOF_no0047,0.0005316504
48,48,ACUBAB_clean,MOF_no0048,0.0001073002
49,49,ACUFEK_clean,MOF_no0049,0.0003220512
50,50,ACUJOZ_manual,MOF_no0050,0..0002088243
51,51,ACUTOI_clean,MOF_no0051,6.65034e-05
52,52,ADARAA_clean,MOF_no0052,0.0002851654
53,53,ADASEF_clean,MOF_no0053,0.0003269526
54,54,ADASIJ_clean,MOF_no0054,0.0002070696
55,55,ADASOP_clean,MOF_no0055,0.0003048908
56,56,ADASUV_clean,MOF_no0056,0.0002950593
57,57,ADATAC_clean,MOF_no0057,0.0003707945
58,58,ADATEG_manual,MOF_no0058,0.0003661529
59,59,ADATIK_clean,MOF_no0059,0.000267597
60,60,ADAXEK_clean,MOF_no0060,0.0003372153
61,61,ADAXIO_clean,MOF_no0061,0.000192147
62,62,ADIQEL_clean,MOF_no0062,0.0006334259
63,63,ADOBIF_clean,MOF_no0063,0.0002990578
64,64,ADOCEC_clean,MOF_no0064,0.0001203646
65,65,ADOGEH_clean,MOF_no0065,0.000440772
66,66,ADUROI_clean,MOF_no0066,0.0002088871
