Adsorbent,O2_10C_0.001bar,O2_10C_0.5bar,O2_10C_1bar,O2_10C_5bar,RMSE_Freundlich-Langmuir,best_model,best_params
ABAYIO_clean,0.0002638719,0.132540072,0.252508328,1.090760451,1.324607740374061e-05,Freundlich–Langmuir,[0.10781329 2.6939607  0.10711606]
ABAYOU_clean,0.000286783,0.139225872,0.272784979,1.159416119,,Freundlich–Langmuir,"[nan, nan, nan]"
ABETIN_clean,0.0003550387,0.178893518,0.351670648,1.740057024,,Freundlich–Langmuir,"[nan, nan, nan]"
ABEXIQ_clean,0.0001011279,0.042123737,0.083814211,0.375028862,,Freundlich–Langmuir,"[nan, nan, nan]"
ABIYIV_clean,0.000188994,0.087102195,0.165457136,0.593435662,2.5171931849872233e-06,Freundlich–Langmuir,[1.4924899  0.12327077 0.91287585]
ABULOB_clean,0.0010267868,0.484422713,0.879297305,2.784901068,3.1451915266285004e-05,Freundlich–Langmuir,[2.28317045 0.47739552 0.55033999]
ABUWOJ_clean,0.0004401993,0.226331845,0.43520245,1.843864028,1.8121370263462036e-05,Freundlich–Langmuir,[0.67385283 0.70712497 0.16950358]
ac403674p_si_001_clean,8.90342e-05,0.046070456,0.092070821,0.438881712,,Freundlich–Langmuir,"[nan, nan, nan]"
ACAJIZ_clean,0.0001093561,0.053821417,0.104594534,0.471094146,1.4669345419732298e-06,Freundlich–Langmuir,[0.09378997 1.19737742 0.09031294]
ACAJOF_clean,8.71682e-05,0.049845954,0.101629175,0.474427808,,Freundlich–Langmuir,"[nan, nan, nan]"
ACIBIY_clean,2.68048e-05,0.015701763,0.029695013,0.143350696,,Freundlich–Langmuir,"[nan, nan, nan]"
ACIBOE_clean,0.0002494177,0.121054857,0.237797283,1.067869204,1.268672822599956e-06,Freundlich–Langmuir,[1.34314197 0.18381563 0.22238757]
ACOGAB_clean,0.0007050113,0.314520645,0.590743183,2.051323937,1.5528267372799984e-05,Freundlich–Langmuir,[3.19967263 0.21066319 0.69011353]
ACOGEF_clean,0.0005377384,0.286391699,0.536842845,1.892583569,3.931907506879027e-05,Freundlich–Langmuir,[2.14646173 0.28720386 0.54781206]
ACOLIP_clean,0.0005350434,0.252716906,0.493653268,1.818311367,0.0016074859726914906,Freundlich–Langmuir,[4.13003119e+03 1.28490543e-04 5.88384477e+02]
ACOLOV_clean,0.0002121457,0.11451881,0.228637254,1.051411713,,Freundlich–Langmuir,"[nan, nan, nan]"
acs.cgd.5b01554_VAGNUP1452791_clean,4.15244e-05,0.020703163,0.041219928,0.201352013,4.909780417420971e-08,Freundlich–Langmuir,[0.12253968 0.3396701  0.03328261]
acs.cgd.5b01686_WAHFUJ1434675_clean,0.0002029266,0.114344565,0.218781069,0.882580117,1.9083743052189236e-05,Freundlich–Langmuir,[0.56062561 0.43009361 0.27178684]
