,Adsorbent,O2_10C_0.001bar,O2_10C_0.5bar,O2_10C_1bar,O2_10C_5bar,RMSE_Langmuir,RMSE_Freundlich,RMSE_Quadratic,RMSE_Sips,best_model,best_params
4781,VAMQAE_clean,3.62327e-05,0.016470042,0.033501691,0.163813473,0.00014283187447569477,0.0001793274331421536,0.00013312504804968622,5.1326382109857694e-06,Sips,[1.60537536 0.02131315 1.03991398]
4782,VAMQIM_clean,8.01373e-05,0.045538471,0.089989746,0.437846213,0.0001686908587222032,1.1615917757413031e-05,0.00016107351171401637,,Freundlich,[0.08999541 1.01727419]
4783,VAMQOS_clean,7.74661e-05,0.044974838,0.090847215,0.429006178,0.00034103038123153417,0.0006375204813597469,0.0003073354010007048,2.092492584495508e-06,Sips,[3.23362651 0.02890663 1.03522606]
4784,VAMYEQ_clean,0.0002723552,0.148507421,0.294580051,1.394581726,7.76249662390825e-05,0.0009244088318900598,0.00010150149563848754,1.558060375064743e-05,Sips,[2.25226508e+01 1.32526346e-02 9.97584916e-01]
4785,VAMYUG_clean,0.0002622064,0.151578406,0.299944372,1.418500529,0.00022898678782530419,0.0008217193935471376,0.0002473882053677705,2.8233867494102003e-05,Sips,[2.61252503e+01 1.16143914e-02 9.92914455e-01]
4786,VAMZER_clean,0.0004909641,0.232095339,0.446108299,2.075774024,0.0030109165225149794,0.0008163744339108604,0.0028763480568469294,,Freundlich,[0.44707421 1.04826521]
4787,VANHEA_clean,0.0004667824,0.217299772,0.434526767,1.839167973,0.00215520795445681,0.006399494323410998,0.0016791701359787038,6.58693713381427e-05,Sips,[6.96537273 0.0665343  1.04694035]
4788,VAQSEO_clean,0.0001961194,0.083324185,0.157253616,0.572961003,0.0003656135285727905,0.0026304775169204548,0.0008188323478979724,2.109113548791229e-06,Sips,[1.85594172 0.09257362 0.97774967]
4789,VAQTUF_clean,0.0002774788,0.132321859,0.259582504,1.163133311,0.0002695711253164102,0.0014989399186990135,0.00034112614501809337,3.6674859496358013e-06,Sips,[10.33568354  0.02576221  0.99025179]
4790,VARHIH_clean,0.0005864682,0.299124092,0.585576601,2.587805867,0.0006249542163828641,0.003857292749575375,0.0008487528182471931,2.9879904011814815e-05,Sips,[20.25639665  0.02976884  0.98998213]
4791,VARHON_clean,0.000554294,0.27467927,0.539892641,2.416385435,0.00031198514895701206,0.0033850824552601813,0.0004845496137977036,1.09248419989286e-05,Sips,[19.88174999  0.02791319  0.99457637]
4792,VARJEF_clean,0.0007226552,0.331118725,0.641481291,2.847985927,0.0022641804418907334,0.0025868844087169945,0.002376109734729875,4.927311048769325e-05,Sips,[3.54008293e+01 1.84549810e-02 9.66901721e-01]
4793,VASFAZ_clean,9.13431e-05,0.040837512,0.08133677,0.378166241,9.460169723883095e-05,0.0004522976291781644,7.757340685769502e-05,7.058737444096404e-06,Sips,[3.52261937 0.02363554 1.0108761 ]
4794,VASFIH_clean,6.93784e-05,0.030730627,0.060842186,0.28964947,5.103951979443015e-05,0.00013719332671020275,5.0305589653322196e-05,2.2722350573842493e-06,Sips,[6.45515755 0.00951503 0.99216503]
4795,VASKOR_clean,0.0005010704,0.233331219,0.440757098,1.55390924,0.00033736296485997015,0.00880762422416662,0.0019541141682655914,7.6121404634196805e-06,Sips,[4.32622788 0.11343732 0.99264136]
4796,VATVIY_clean,0.0001080636,0.055974631,0.109301122,0.495569299,0.00026531908249773165,0.00041264352824110616,0.0002795545089521566,1.0989440901850033e-05,Sips,[6.60939364 0.01681538 0.9772735 ]
4797,VATVOE_clean,9.87678e-05,0.054335085,0.106815659,0.488028085,0.00012565660783114848,0.0004770747078862604,0.00014454628563416813,9.371183415127049e-06,Sips,[5.55956747 0.01958937 0.9890047 ]
4798,VATVUK_clean,0.0001741607,0.093270856,0.177551417,0.719181551,0.000779208482141511,0.001552423463505505,0.0009709474606579235,3.6324858140571054e-05,Sips,[4.21820349 0.04394166 0.95857532]
4799,VAXMUF_clean,0.0002204169,0.126669911,0.250621347,1.066819566,0.0006197174989428438,0.003032738449409884,0.000386042814771514,2.3201581852194697e-06,Sips,[4.78318737 0.05529349 1.02336044]
