Adsorbent,O2_30C_0.001bar,O2_30C_0.5bar,O2_30C_1bar,O2_30C_5bar,RMSE_Langmuir,RMSE_Freundlich,RMSE_Quadratic,RMSE_Sips,best_model,best_params
ABAYIO_clean,0.0001909224,0.089400148,0.176397522,0.774938251,0.0001505490691047428,0.0015373993934797553,5.7148666690789695e-05,8.761558512546271e-06,Sips,[4.68887824 0.03909097 1.008021  ]
ABAYOU_clean,0.0001932425,0.093240888,0.183430225,0.807701397,2.3612701130923075e-05,0.0014504739505501278,6.316567623873559e-05,2.435743977422813e-06,Sips,[5.34090714 0.03556587 1.00120458]
ABETIN_clean,0.000265628,0.137274123,0.267925776,1.328418684,0.0013803498853067488,0.0011465254438622827,0.0012870352713651484,,Freundlich,[0.26926402 1.00842563]
ABEXIQ_clean,6.64272e-05,0.028712393,0.056878497,0.264987823,6.198427802741486e-06,0.00024371757001531044,1.0840598924251625e-05,4.101938474717535e-06,Sips,[3.15921129 0.01833407 0.99923464]
ABIYIV_clean,0.0001059677,0.053813034,0.106680006,0.426303799,0.0005387784817372417,0.0019400358428494982,0.00035009361833980123,1.1391048777795918e-05,Sips,[1.33479847 0.08686436 1.04804954]
ABULOB_clean,0.000628982,0.300051429,0.564180331,2.045932797,0.0016741913142315058,0.009259841383721877,0.003352040489835059,6.018612216468992e-05,Sips,[6.71701619 0.09169479 0.97161404]
ABUWOJ_clean,0.0002954491,0.142436202,0.282843918,1.242418921,0.0006364969433953898,0.002832265489228625,0.00046049929849311473,2.0140617431296086e-05,Sips,[6.64012717 0.04449124 1.02119431]
ac403674p_si_001_clean,5.4936e-05,0.034795318,0.069575481,0.336848534,5.9363130958970035e-05,0.00019393278769780814,5.0079198056804185e-05,5.842890974235359e-06,Sips,[6.14437734 0.01145315 1.0079377 ]
ACAJIZ_clean,7.5638e-05,0.036709014,0.073767966,0.335435195,0.0002771648954266194,0.0006875004247301892,0.0002404239941256664,7.779841626679777e-06,Sips,[1.93162152 0.03970592 1.03533741]
ACAJOF_clean,7.11577e-05,0.035975543,0.071586403,0.340293806,2.219697871075296e-05,0.0002443101944271971,1.523235845581556e-05,5.611638024347074e-09,Sips,[5.07478153 0.01430814 1.00290133]
ACIBIY_clean,2.33085e-05,0.010586715,0.021447305,0.106228433,6.519733912344643e-05,7.334106928779446e-05,6.099856722465436e-05,2.7224562057952822e-06,Sips,[1.60131114 0.01357537 1.0284043 ]
ACIBOE_clean,0.0001546389,0.085158669,0.167536331,0.785648143,0.00030007435055428254,0.0003858983722860019,0.0003030835663326669,1.764533935965183e-05,Sips,[1.70845906e+01 9.90343171e-03 9.83279594e-01]
ACOGAB_clean,0.0003739038,0.196144062,0.388317087,1.494635279,0.002374138334475212,0.008279265889925844,0.0014543497994547684,4.366304837391085e-05,Sips,[4.08495099 0.10504585 1.05841974]
ACOGEF_clean,0.0003578107,0.180048309,0.359225605,1.365434328,0.0029622016621327686,0.00861577464212273,0.0020032711161306854,6.256848090654027e-05,Sips,[3.40328743 0.11800821 1.07899587]
