Adsorbent,O2_40C_0.001bar,O2_40C_0.5bar,O2_40C_1bar,O2_40C_5bar,RMSE_Freundlich-Langmuir,best_model,best_params
ABAYIO_clean,0.0001362103,0.0752126153,0.1442114173,0.657037656,,Freundlich–Langmuir,"[nan, nan, nan]"
ABAYOU_clean,0.0001613154,0.0783292913,0.1541352282,0.6849089753,1.0182719001112512e-06,Freundlich–Langmuir,[3.33966863 0.04769462 0.70526814]
ABETIN_clean,0.000239586,0.120539559,0.2412466546,1.156021767,,Freundlich–Langmuir,"[nan, nan, nan]"
ABEXIQ_clean,5.35383e-05,0.0237194505,0.0475420118,0.2227788214,,Freundlich–Langmuir,"[nan, nan, nan]"
ABIYIV_clean,7.64716e-05,0.0438291261,0.0845655241,0.3549176012,7.505635015429365e-06,Freundlich–Langmuir,[0.21719532 0.4212393  0.22392387]
ABULOB_clean,0.0004473428,0.2411898236,0.4538187611,1.7309674395,3.674285420787309e-05,Freundlich–Langmuir,[0.88385277 0.58937191 0.29761001]
ABUWOJ_clean,0.0002458771,0.1169343853,0.2307873755,1.0194599549,,Freundlich–Langmuir,"[nan, nan, nan]"
ac403674p_si_001_clean,8.14568e-05,0.0305804017,0.0610471428,0.2959155395,,Freundlich–Langmuir,"[nan, nan, nan]"
ACAJIZ_clean,7.01702e-05,0.0312175157,0.0627421396,0.288308192,,Freundlich–Langmuir,"[nan, nan, nan]"
ACAJOF_clean,6.58209e-05,0.0301833081,0.061384171,0.2980403765,,Freundlich–Langmuir,"[nan, nan, nan]"
ACIBIY_clean,1.63159e-05,0.0091252729,0.0176993002,0.0905336626,,Freundlich–Langmuir,"[nan, nan, nan]"
ACIBOE_clean,0.0001371797,0.0704854283,0.1423975256,0.6781067343,,Freundlich–Langmuir,"[nan, nan, nan]"
ACOGAB_clean,0.0003558843,0.1619971878,0.3137052646,1.2588776891,1.0416306529237373e-05,Freundlich–Langmuir,[3.90911866 0.08571624 0.80132019]
ACOGEF_clean,0.000300561,0.1495587465,0.2881664404,1.1450372372,5.390916484532061e-06,Freundlich–Langmuir,[1.96600417 0.15837639 0.52672849]
ACOLIP_clean,0.0002454679,0.1296281623,0.2518731095,1.0506084965,1.0953778230697583e-05,Freundlich–Langmuir,[1.85680511 0.14400664 0.4444228 ]
ACOLOV_clean,0.0001658884,0.0726224232,0.1456149052,0.6906156539,,Freundlich–Langmuir,"[nan, nan, nan]"
acs.cgd.5b01554_VAGNUP1452791_clean,3.22968e-05,0.0147891603,0.0291907591,0.1434134225,,Freundlich–Langmuir,"[nan, nan, nan]"
acs.cgd.5b01686_WAHFUJ1434675_clean,0.000121984,0.060891653,0.1207253516,0.5172643999,,Freundlich–Langmuir,"[nan, nan, nan]"
acs.chemmater.5b03723_cm5b03723_si_004_clean,0.000540833,0.1992526384,0.3680457382,1.3443380059,4.828924195314927e-05,Freundlich–Langmuir,[0.50104415 0.88689765 0.29682167]
acs.chemmater.5b03723_cm5b03723_si_005_clean,0.0003315437,0.149994587,0.2977262565,1.3610080024,,Freundlich–Langmuir,"[nan, nan, nan]"
acs.chemmater.6b02817_cm6b02817_si_004_clean,0.0002043621,0.0926372383,0.1842187877,0.8608355281,,Freundlich–Langmuir,"[nan, nan, nan]"
acs.chemrev.6b00346_cr6b00346_si_001_clean,0.0002458397,0.1240144888,0.2472968418,1.125743272,,Freundlich–Langmuir,"[nan, nan, nan]"
acs.inorgchem.5b02973_ic5b02973_si_002_clean,0.0002395144,0.1116330125,0.2152511329,0.7928570511,,Freundlich–Langmuir,"[nan, nan, nan]"
acs.inorgchem.6b00081_ic6b00081_si_001_clean,9.38541e-05,0.0441583476,0.0885416689,0.4153222743,,Freundlich–Langmuir,"[nan, nan, nan]"
acs.inorgchem.6b00136_ic6b00136_si_002_clean,0.0005509002,0.2489929137,0.4558854507,1.6469577778,7.68415701689717e-06,Freundlich–Langmuir,[0.49414725 1.14632286 0.28432002]
acs.inorgchem.6b00276_ic6b00276_si_006_clean,0.0007305785,0.3026545663,0.5364327042,1.8901617332,2.053512652456884e-05,Freundlich–Langmuir,[0.23287449 3.3162797  0.24918137]
acs.inorgchem.6b00433_ic6b00433_si_002_clean,0.0001897049,0.0976912766,0.1891276745,0.8095621336,6.736471691802817e-06,Freundlich–Langmuir,[0.44776812 0.4537957  0.19173999]
acs.inorgchem.6b00894_ic6b00894_si_002_clean,0.0002822701,0.1422348707,0.2790897415,1.1180863237,,Freundlich–Langmuir,"[nan, nan, nan]"
acs.inorgchem.6b01211_ic6b01211_si_002_clean,0.00034203,0.1410369635,0.2761256738,1.1689885123,2.692869593965596e-05,Freundlich–Langmuir,[2.58004188e+01 1.11698034e-02 3.84851868e+00]
acs.inorgchem.6b01416_ic6b01416_si_004_clean,0.000200408,0.0933594208,0.1848736439,0.7630596641,,Freundlich–Langmuir,"[nan, nan, nan]"
acs.inorgchem.6b01569_ic6b01569_si_002_clean,6.39102e-05,0.0234523095,0.0461240992,0.2270252093,,Freundlich–Langmuir,"[nan, nan, nan]"
acs.inorgchem.6b01740_ic6b01740_si_002_clean,0.0003064057,0.1418693653,0.2801323003,1.350520144,7.511134325264399e-06,Freundlich–Langmuir,[0.07961846 3.66011843 0.02565231]
acs.inorgchem.6b01762_ic6b01762_si_002_clean,2.07553e-05,0.0103669058,0.0214833098,0.1008148147,,Freundlich–Langmuir,"[nan, nan, nan]"
acs.inorgchem.6b02407_ic6b02407_si_002_clean,0.0003358663,0.1805234552,0.3569815291,1.543116585,,Freundlich–Langmuir,"[nan, nan, nan]"
acs.inorgchem.6b02407_ic6b02407_si_003_clean,0.0003102098,0.1685232333,0.3265832993,1.3511853387,1.9277841892011067e-05,Freundlich–Langmuir,[1.94030959 0.17975991 0.39794346]
acs.inorgchem.6b02514_ic6b02514_si_002_clean,0.0001008754,0.0471123818,0.0927211264,0.4314928321,2.3669950769344255e-06,Freundlich–Langmuir,[0.16659381 0.57712786 0.07961036]
acs.inorgchem.6b02696_ic6b02696_si_002_clean,0.000239605,0.1150490491,0.228491714,1.0326099802,,Freundlich–Langmuir,"[nan, nan, nan]"
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean,0.00010997,0.0515457668,0.099811945,0.4649442,,Freundlich–Langmuir,"[nan, nan, nan]"
acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,0.0001326398,0.0579978948,0.1174708355,0.5731411373,,Freundlich–Langmuir,"[nan, nan, nan]"
acscombsci.5b00188_24205_clean,0.0003100158,0.1474722772,0.2909650055,1.1858610112,,Freundlich–Langmuir,"[nan, nan, nan]"
acscombsci.5b00188_3001288_clean,0.0002798252,0.1575515542,0.3160025465,1.5720377154,,Freundlich–Langmuir,"[nan, nan, nan]"
acscombsci.5b00188_34903_clean,0.0006833028,0.3256309323,0.5840628555,1.8897945985,3.569718288726888e-05,Freundlich–Langmuir,[0.88849437 0.84970941 0.41731138]
acscombsci.5b00188_5013797_clean,0.0001586306,0.0887566296,0.1778135243,0.8489680825,,Freundlich–Langmuir,"[nan, nan, nan]"
acscombsci.5b00188_5020072_clean,0.0001805013,0.0968077267,0.1915015051,0.9419392849,,Freundlich–Langmuir,"[nan, nan, nan]"
acscombsci.5b00188_5024922_clean,0.0002149806,0.1162267687,0.227380909,1.1394019799,,Freundlich–Langmuir,"[nan, nan, nan]"
acscombsci.5b00188_5036495_clean,0.0002519827,0.1167896305,0.2297126302,1.1438015471,,Freundlich–Langmuir,"[nan, nan, nan]"
acscombsci.5b00188_5040209_clean,0.0004845348,0.1921907292,0.3699665481,1.3632356373,,Freundlich–Langmuir,"[nan, nan, nan]"
acscombsci.5b00188_8372_clean,0.0004370507,0.1956397844,0.3570344709,1.2008488177,1.3833325199835675e-06,Freundlich–Langmuir,[0.68553316 0.64174304 0.42116719]
ACUBAB_clean,8.03021e-05,0.0463772369,0.0900359706,0.3862060702,7.848559255093746e-06,Freundlich–Langmuir,[0.28010837 0.34274631 0.21784361]
ACUFEK_clean,0.0002371468,0.113760178,0.2286943789,1.0865888778,,Freundlich–Langmuir,"[nan, nan, nan]"
ACUJOZ_manual,0.0001551267,0.0829002808,0.1640926767,0.7808807295,6.375336085907863e-06,Freundlich–Langmuir,[0.37017407 0.45352116 0.06104054]
ACUTOI_clean,6.91995e-05,0.026727181,0.0532701295,0.2439974138,,Freundlich–Langmuir,"[nan, nan, nan]"
ADARAA_clean,0.0002867765,0.1208521261,0.2405829238,1.0996605808,,Freundlich–Langmuir,"[nan, nan, nan]"
ADASEF_clean,0.0002937835,0.1323589218,0.2576338716,1.2145671264,,Freundlich–Langmuir,"[nan, nan, nan]"
ADASIJ_clean,0.0002089185,0.1046903404,0.2082344024,0.9616997952,,Freundlich–Langmuir,"[nan, nan, nan]"
ADASOP_clean,0.0002057095,0.1225330456,0.2436702056,1.1419299623,,Freundlich–Langmuir,"[nan, nan, nan]"
ADASUV_clean,0.0002176063,0.100884477,0.2042511407,0.955586559,,Freundlich–Langmuir,"[nan, nan, nan]"
ADATAC_clean,0.0003707945,0.1529554191,0.3005316309,1.4645576762,,Freundlich–Langmuir,"[nan, nan, nan]"
ADATEG_manual,0.00029723,0.1441737682,0.2956964399,1.4345912399,,Freundlich–Langmuir,"[nan, nan, nan]"
ADATIK_clean,0.0002503327,0.1213336562,0.2418170446,1.1619708876,,Freundlich–Langmuir,"[nan, nan, nan]"
ADAXEK_clean,0.0002299195,0.11186788,0.2201271188,0.8714868718,,Freundlich–Langmuir,"[nan, nan, nan]"
ADAXIO_clean,0.0001231712,0.0649653969,0.1275774036,0.5545970367,4.588075120225908e-06,Freundlich–Langmuir,[6.43567722 0.02056538 1.80494621]
ADIQEL_clean,0.0005689103,0.2506782895,0.4789911716,1.7299447113,2.1751456206180758e-05,Freundlich–Langmuir,[8.98461736 0.05848418 1.62898843]
ADOBIF_clean,0.00020704,0.0939946355,0.1753015518,0.6069508548,1.696750344151999e-06,Freundlich–Langmuir,[0.64258927 0.31697034 0.54497855]
ADOCEC_clean,0.0001266995,0.0517535913,0.1021419952,0.4520211692,,Freundlich–Langmuir,"[nan, nan, nan]"
ADOGEH_clean,0.0003661026,0.1654499744,0.2961229842,1.1141467355,4.270018731352183e-05,Freundlich–Langmuir,[0.0523168  8.64215175 0.18674293]
ADUROI_clean,0.0001488876,0.0838015229,0.1672097158,0.8005377642,,Freundlich–Langmuir,"[nan, nan, nan]"
ADUWIH_clean,0.0001536998,0.085930212,0.1704597512,0.8058105833,9.813289302720315e-06,Freundlich–Langmuir,[2.11521537 0.08194397 0.21194964]
ADUWON_clean,0.0003122364,0.1260080163,0.2487228221,1.1961836302,2.685858975893519e-05,Freundlich–Langmuir,[0.0869803  2.97247459 0.02808405]
AFEJOK_ion_b,0.0003143943,0.1684026579,0.3330533456,1.3975540171,,Freundlich–Langmuir,"[nan, nan, nan]"
AFITEP_clean,0.0004322536,0.1923554271,0.3806944978,1.4801958653,0.0017611911500458757,Freundlich–Langmuir,[3.18200454e+03 1.26666375e-04 4.87327457e+02]
AFITUF_clean,0.0001694591,0.0753632397,0.1494186973,0.6450109715,,Freundlich–Langmuir,"[nan, nan, nan]"
AFIXAO_clean,0.0001855956,0.0757543138,0.1476456486,0.6335026654,1.4881561045747346e-05,Freundlich–Langmuir,[0.81175967 0.19198061 0.30765144]
AFIXES_clean,0.0001478291,0.0764449022,0.1464317236,0.6278657373,7.653195556402202e-06,Freundlich–Langmuir,[0.1257859  1.29714306 0.13008321]
AFOVEX_clean,0.0001436257,0.0874680272,0.1742470675,0.7905593469,,Freundlich–Langmuir,"[nan, nan, nan]"
AFOYAW_clean,0.0002209725,0.1151664926,0.2275001449,1.0049981815,,Freundlich–Langmuir,"[nan, nan, nan]"
AFOYEB_clean,1.06929e-05,0.0073400937,0.0143213807,0.0683099205,,Freundlich–Langmuir,"[nan, nan, nan]"
