Adsorbent,O2_20C_0.001bar,O2_20C_0.5bar,O2_20C_1bar,O2_20C_5bar,O2_20C_15bar,RMSE_Freundlich-Langmuir,best_model,best_params
ABAYIO_clean,0.0002279671,0.107577674,0.207035731,0.909236519,2.19816193,0.0007702870445626105,Freundlich–Langmuir,[1.97813985 0.1096291  0.40303166]
ABAYOU_clean,0.0002290903,0.114573175,0.218616597,0.954939269,2.278860175,0.0011580851414280497,Freundlich–Langmuir,[2.14085708 0.10739011 0.4316989 ]
ABETIN_clean,0.0002951422,0.157023479,0.307883694,1.513493696,4.284861006,,Freundlich–Langmuir,"[nan, nan, nan]"
ABEXIQ_clean,7.53502e-05,0.034678939,0.068649983,0.312973013,0.778791929,2.9741627310072135e-05,Freundlich–Langmuir,[1.89730337 0.03708093 0.68702915]
ABIYIV_clean,0.0001398337,0.067580099,0.128687427,0.497930336,1.007825192,0.00022537495157109685,Freundlich–Langmuir,[1.0466131  0.13401695 0.66788346]
ABULOB_clean,0.0007640855,0.37634139,0.696500728,2.3864042,3.976254502,0.0026254695291999908,Freundlich–Langmuir,[6.10988043 0.12958035 1.01341756]
ABUWOJ_clean,0.0003668328,0.179857109,0.353789373,1.488952345,3.388001899,0.0006566093388536392,Freundlich–Langmuir,[3.54128858 0.10507722 0.52757288]
ac403674p_si_001_clean,6.63021e-05,0.039870267,0.079437438,0.383578221,1.028045554,,Freundlich–Langmuir,"[nan, nan, nan]"
ACAJIZ_clean,9.11301e-05,0.043398872,0.088096347,0.389680367,0.997588082,0.0006004647966096078,Freundlich–Langmuir,[0.49618643 0.18321093 0.23655238]
ACAJOF_clean,9.2505e-05,0.042294345,0.083610272,0.398356692,1.034668217,,Freundlich–Langmuir,"[nan, nan, nan]"
ACIBIY_clean,2.91356e-05,0.012636697,0.024870156,0.119676265,0.334665598,5.10989436681349e-05,Freundlich–Langmuir,[0.30252112 0.08341573 0.15176059]
ACIBOE_clean,0.0001970399,0.100038926,0.201387294,0.928003268,2.327992028,0.0006673612733857951,Freundlich–Langmuir,[1.56143853e+01 1.31094307e-02 1.54197620e+00]
ACOGAB_clean,0.00050004,0.250968266,0.477301679,1.745369293,3.278811729,5.32554151910356e-05,Freundlich–Langmuir,[3.70944315 0.14265796 0.77273191]
ACOGEF_clean,0.0004763994,0.226430801,0.436136507,1.609583916,3.006540345,0.0008000843537011696,Freundlich–Langmuir,[4.02090771 0.1190826  0.8498472 ]
ACOLIP_clean,0.0004008031,0.198430139,0.386439396,1.530598022,3.111162193,0.0006050032088375606,Freundlich–Langmuir,[4.51812691 0.09155794 0.79875141]
ACOLOV_clean,0.0001706736,0.097239302,0.197646433,0.893275426,2.457220022,0.0015111784359878443,Freundlich–Langmuir,[0.29443375 0.69766629 0.09277963]
acs.cgd.5b01554_VAGNUP1452791_clean,3.87561e-05,0.018201547,0.035813446,0.177216163,0.495662485,,Freundlich–Langmuir,"[nan, nan, nan]"
acs.cgd.5b01686_WAHFUJ1434675_clean,0.0002074867,0.089362936,0.175583929,0.733831517,1.62927467,0.0003008491978681403,Freundlich–Langmuir,[2.08696081 0.08856521 0.62896294]
acs.chemmater.5b03723_cm5b03723_si_004_clean,0.0008201156,0.292320249,0.504743501,1.778285578,3.794519954,0.006249655410899954,Freundlich–Langmuir,[0.74459825 0.85858346 0.35243717]
acs.chemmater.5b03723_cm5b03723_si_005_clean,0.0003946949,0.213640455,0.423997049,1.788804647,4.300958743,0.0017725737768991205,Freundlich–Langmuir,[2.17348782 0.20589636 0.31613259]
acs.chemmater.6b02817_cm6b02817_si_004_clean,0.0002611901,0.126206175,0.251768664,1.167504381,3.09453095,0.0004210667511343855,Freundlich–Langmuir,[2.83615002 0.09058181 0.25562799]
acs.chemrev.6b00346_cr6b00346_si_001_clean,0.0002942899,0.170817352,0.340267333,1.532959767,3.895000625,0.000775262859802246,Freundlich–Langmuir,[3.42384241 0.1022642  0.32149928]
acs.inorgchem.5b02973_ic5b02973_si_002_clean,0.0003681128,0.179142324,0.329134617,1.085559755,2.146226085,0.000569839026131673,Freundlich–Langmuir,[0.69872538 0.57927104 0.45788977]
acs.inorgchem.6b00081_ic6b00081_si_001_clean,0.0001380207,0.063279737,0.126785829,0.56080577,1.357056936,0.0004747952110142433,Freundlich–Langmuir,[1.97335643 0.06618723 0.5325269 ]
acs.inorgchem.6b00136_ic6b00136_si_002_clean,0.0009458287,0.404352782,0.748397484,2.196252315,3.525545613,0.0036229618714791394,Freundlich–Langmuir,[2.9270798  0.31473696 0.78320694]
acs.inorgchem.6b00276_ic6b00276_si_006_clean,0.0010829283,0.446741757,0.777758494,2.46159452,4.896260157,0.0028929065376508203,Freundlich–Langmuir,[1.01368862 1.03825653 0.41693486]
acs.inorgchem.6b00433_ic6b00433_si_002_clean,0.0002623578,0.142824889,0.273052567,1.136461282,2.423638368,0.0010368967031983934,Freundlich–Langmuir,[4.32529479 0.06695747 0.83926283]
acs.inorgchem.6b00894_ic6b00894_si_002_clean,0.0004003512,0.216023188,0.403609073,1.553783093,2.97598223,0.0023861123970637084,Freundlich–Langmuir,[4.65384268 0.09479114 0.90339126]
acs.inorgchem.6b01211_ic6b01211_si_002_clean,0.0004231525,0.205991976,0.39891665,1.592972018,3.733792843,0.0010311703825106803,Freundlich–Langmuir,[1.10877265 0.3951988  0.29217146]
