Adsorbent,O2_30C_0.001bar,O2_30C_0.5bar,O2_30C_1bar,O2_30C_5bar,RMSE_Freundlich-Langmuir,best_model,best_params
GEDDAW_clean,0.0001248028,0.061912181,0.12210541,0.594810217,,Freundlich–Langmuir,"[nan, nan, nan]"
GEDDEA_clean,0.0001519913,0.075213029,0.140706615,0.602622849,3.9498400421548824e-05,Freundlich–Langmuir,[1.94234366e-03 1.14718376e+02 9.67197760e-02]
GEDPAH_clean,1.87952e-05,0.00814019,0.016090548,0.080873751,,Freundlich–Langmuir,"[nan, nan, nan]"
GEFYUN_clean,0.0001905315,0.114990427,0.224694387,0.918308586,,Freundlich–Langmuir,"[nan, nan, nan]"
GEFZAU_clean,0.000219195,0.107494231,0.20745217,0.857815441,2.353784535059868e-06,Freundlich–Langmuir,[0.74063771 0.30233684 0.28920787]
GEGDED_clean,0.0003199024,0.147342645,0.287802875,1.194174696,9.081193457046149e-06,Freundlich–Langmuir,[4.90692339e+01 6.14956709e-03 7.72145909e+00]
GEGGEG01_clean,0.0004266565,0.186198332,0.344650909,1.127088622,1.0203825678655502e-05,Freundlich–Langmuir,[1.51349286 0.26846821 0.69223614]
GEGGIK_clean,0.0004206189,0.19049106,0.359101886,1.153040205,8.048342449174044e-06,Freundlich–Langmuir,[12.78332688  0.03164837  3.82638915]
GEGGIK01_clean,0.000473951,0.202177825,0.370653812,1.170012882,1.366627870673185e-05,Freundlich–Langmuir,[1.43640169 0.31099568 0.68929411]
GEGGUW_clean,0.000426879,0.203579016,0.366859241,1.183787926,1.9759756161080316e-05,Freundlich–Langmuir,[0.65509862 0.71217624 0.44699313]
GEGHAD_clean,0.0004240799,0.200502137,0.364602911,1.175004411,1.327611808309732e-05,Freundlich–Langmuir,[0.87982905 0.51231524 0.51277088]
GERNOI_clean,0.0001642429,0.080494059,0.158564595,0.699459044,,Freundlich–Langmuir,"[nan, nan, nan]"
GERWEH_clean,0.0002540925,0.116783933,0.238597896,1.036796128,,Freundlich–Langmuir,"[nan, nan, nan]"
GESDUF_clean,6.13284e-05,0.025594399,0.052733934,0.251095638,,Freundlich–Langmuir,"[nan, nan, nan]"
GESFAN_clean,5.62398e-05,0.02559933,0.05079646,0.248481024,2.0719139454956537e-06,Freundlich–Langmuir,[0.01201222 4.33726589 0.0151324 ]
GEWXAJ_clean,6.93206e-05,0.041169813,0.081159525,0.331992682,,Freundlich–Langmuir,"[nan, nan, nan]"
GEZRAG_clean,0.0001069315,0.05630043,0.110697965,0.526687434,4.776196411635939e-06,Freundlich–Langmuir,[0.03622511 3.21588922 0.03547978]
