Adsorbent,O2_30C_0.001bar,O2_30C_0.5bar,O2_30C_1bar,O2_30C_5bar,RMSE_DSFL,model,fit_parameters
ABAYIO_clean,0.0001909224,0.089400148,0.176397522,0.774938251,,DSFL,"[nan, nan, nan, nan, nan, nan]"
ABAYOU_clean,0.0001932425,0.093240888,0.183430225,0.807701397,1.174532695210005e-11,DSFL,"[0.0004896766889582713, 8.039160715960461, 9.873211818479726, 10.784396215133695, 0.017582020176268406, 1.9015593831590585]"
ABETIN_clean,0.000265628,0.137274123,0.267925776,1.328418684,2.2393413429591147e-05,DSFL,"[0.11568742516990124, 0.3850222933164463, 9.166062634178807, 6.349280226339522, 0.04184428956184068, 5.398940261336006e-09]"
ABEXIQ_clean,6.64272e-05,0.028712393,0.056878497,0.264987823,4.419729585451543e-06,DSFL,"[1.0113810843258063e-08, 0.7018973380275989, 0.6305812421042413, 1.311181829255468, 0.044234335390036704, 0.4513478254610305]"
ABIYIV_clean,0.0001059677,0.053813034,0.106680006,0.426303799,0.0004511793329369077,DSFL,"[5e-324, 7.776488456422542, 11.421744270580803, 6691.549671774247, 1.67719885251289e-05, 3277.172739407819]"
ABULOB_clean,0.000628982,0.300051429,0.564180331,2.045932797,,DSFL,"[nan, nan, nan, nan, nan, nan]"
ABUWOJ_clean,0.0002954491,0.142436202,0.282843918,1.242418921,0.0005617523262473906,DSFL,"[9.022261062519339e-16, 1.3979790877525529, 0.00028795290486979125, 6769.751201048819, 4.304925326002906e-05, 740.7211523983747]"
ac403674p_si_001_clean,5.4936e-05,0.034795318,0.069575481,0.336848534,,DSFL,"[nan, nan, nan, nan, nan, nan]"
ACAJIZ_clean,7.5638e-05,0.036709014,0.073767966,0.335435195,0.0002673613598338828,DSFL,"[5.519135526543827e-16, 4.124367161650067, 2.378173068006903e-06, 3027.8075041030465, 2.4836822946070194e-05, 919.3055033531641]"
ACAJOF_clean,7.11577e-05,0.035975543,0.071586403,0.340293806,2.126010612149345e-05,DSFL,"[3.6204264062872404, 0.008392234576813921, 1.5741553501296117, 4.7323773203788395, 0.008897446904722052, 1.4219221587116602]"
ACIBIY_clean,2.33085e-05,0.010586715,0.021447305,0.106228433,,DSFL,"[nan, nan, nan, nan, nan, nan]"
ACIBOE_clean,0.0001546389,0.085158669,0.167536331,0.785648143,9.575339576795549e-06,DSFL,"[0.19534388627879573, 0.08496851624643965, 5.021260493375226, 1.519048137219077, 0.10348518839974748, 0.04425482219273773]"
ACOGAB_clean,0.0003739038,0.196144062,0.388317087,1.494635279,0.0019812074290956163,DSFL,"[2.501989133515579e-09, 0.736079381537911, 0.5647190831457379, 51.53184511495951, 0.00800328785864481, 8.201893725296275]"
ACOGEF_clean,0.0003578107,0.180048309,0.359225605,1.365434328,0.0025179047860449306,DSFL,"[5e-324, 8.731848770313215, 58.36430355518031, 20698.713566289236, 1.8422427546844365e-05, 3623.974282383246]"
ACOLIP_clean,0.0003682019,0.158539682,0.309941617,1.270752958,,DSFL,"[nan, nan, nan, nan, nan, nan]"
ACOLOV_clean,0.0001595081,0.083315843,0.167277694,0.777000432,,DSFL,"[nan, nan, nan, nan, nan, nan]"
acs.cgd.5b01554_VAGNUP1452791_clean,3.22968e-05,0.016318183,0.03208732,0.158660274,2.7079053614013757e-06,DSFL,"[0.002706555253324753, 1.2999125720944846, 2.6959252204240567, 0.30440734371493117, 0.10419862067827676, 0.00016885654560453754]"
acs.cgd.5b01686_WAHFUJ1434675_clean,0.0001493448,0.073526682,0.143478209,0.603297287,7.426533368394669e-07,DSFL,"[1.587603756153179e-35, 7.582178322443799, 10.31945920931954, 2.289069911953066, 0.06589483397632041, 0.7838707400598259]"
