Adsorbent,O2_20C_0.001bar,O2_20C_0.5bar,O2_20C_1bar,O2_20C_5bar,O2_20C_15bar,RMSE_Langmuir,RMSE_Freundlich,RMSE_Quadratic,RMSE_Sips,best_model,best_params
CAXWAB_clean,7.81223e-05,0.046342858,0.090947041,0.446615941,1.246566197,0.000491200626415572,0.003741536623471185,0.0003827801053869856,0.00035423739264191256,Sips,[1.10322879e+01 8.35689081e-03 1.00594187e+00]
CAXWEF_clean,9.26566e-05,0.046152094,0.091893593,0.451214254,1.257677727,0.0005598476730266101,0.004016168627892776,0.0003174391903765052,0.00012358004732276426,Sips,[1.04759185e+01 8.86591671e-03 1.00944400e+00]
CAXWIJ_clean,0.0001235422,0.046400996,0.093770344,0.456099621,1.266845285,0.00044344176621174925,0.004109938735708766,0.00025742252425110335,0.00019440815892573582,Sips,[1.04542685e+01 9.02494635e-03 1.00679628e+00]
CAXXEG_clean,0.0001396472,0.077982536,0.150544121,0.670536554,1.632298075,0.0017271561013994868,0.014104274375858646,0.0024048707129219163,0.00033108956530580094,Sips,[6.27387957 0.02466256 0.98129933]
CAXZOS_clean,0.0003234269,0.154491689,0.299899114,1.380471887,3.350060334,0.002120454530523303,0.03377431115524791,0.001567470799068424,0.0013939326072871002,Sips,[11.29736873  0.02744971  1.00867983]
CAXZUY_clean,0.0002987053,0.154897566,0.312704933,1.374202174,3.36076045,0.0044605229806553345,0.028071238715753573,0.006154768554582461,0.0022592910081177236,Sips,[13.31612532  0.02379938  0.97935209]
CAYDEN_clean,8.94484e-05,0.042240108,0.08336211,0.350120351,0.736800833,0.0006045059828904502,0.014534099042669836,0.0017439976300888521,8.056837348256384e-05,Sips,[1.60568109 0.05468196 1.01228838]
CAYDIR_clean,7.53923e-05,0.041210173,0.081819763,0.351934876,0.742901217,0.0014587745678325804,0.015155336103022587,0.001081123122351824,2.204454101653065e-05,Sips,[1.57673146 0.05475366 1.03005696]
CAYDUD_clean,8.43371e-05,0.041426127,0.082572408,0.34758896,0.733768531,0.0007379563287816817,0.014401285709801807,0.0016818184064031339,0.00021762880793337047,Sips,[1.60293894 0.05410002 1.01458939]
CAYQAV_clean,7.63845e-05,0.037704155,0.0745923,0.34852776,0.965684117,0.0012355932639843054,0.0018963304738055643,0.0009788276496939868,0.00016269052971752725,Sips,[1.29833282e+01 5.76085886e-03 9.73162149e-01]
CAYQIE_clean,0.0004233842,0.212812846,0.408868488,1.713148676,4.221330587,0.016979331228721577,0.023227050687069553,0.015043711752019519,0.0015048069508902422,Sips,[2.41261108e+01 1.71475609e-02 9.28742565e-01]
CAYQOK_clean,0.0004905982,0.225115379,0.429949305,1.801423812,4.34614976,0.015963467445900405,0.030403521328802863,0.015071627510404932,0.0007604445729588527,Sips,[20.30888205  0.02157307  0.9362228 ]
CAYQUQ_clean,0.0003573497,0.198661382,0.385533564,1.626594024,3.954515211,0.013128098576036046,0.027193393179159833,0.012694877690960643,0.0016256041301287445,Sips,[18.67991223  0.02094536  0.94204766]
CAYSIE_clean,9.40513e-05,0.038835458,0.075077568,0.367638633,0.936687251,0.0017757528025264967,0.007971704511895631,0.001051991559418508,0.0007215467960462368,Sips,[3.5002047  0.02221269 1.03407303]
CAYSOK_clean,9.51277e-05,0.041866538,0.084316251,0.406881953,1.02423813,0.001952915917179954,0.00949979786210607,0.0008571011202506264,0.00011082548628114576,Sips,[3.58694582 0.02411611 1.03682063]
CAYYEG_clean,9.15087e-05,0.038557748,0.075285321,0.367454097,0.953745902,0.0013635623421748653,0.00688893776603137,0.0007824763605119631,0.0005100604298378797,Sips,[4.0423996  0.01915597 1.02659029]
CAZNEY_clean,0.0002885275,0.125402769,0.252716123,1.16900422,3.091491879,0.0024221757303369484,0.014271934354284917,0.002755569865232053,0.0012123899186334002,Sips,[1.94155872e+01 1.30990701e-02 9.86399277e-01]
CEBDOD_clean,8.29582e-05,0.041680091,0.083250712,0.348082428,0.815406607,0.0021425458024563588,0.008032490969763028,0.002632994223733721,0.0007174473759679082,Sips,[2.90429957 0.02914037 0.95821757]
CECVAI_clean,0.0001766745,0.09402931,0.188651141,0.883061369,2.472124977,0.0031268284853852193,0.003993723691489426,0.0025593435011017017,0.0009064925711344606,Sips,[4.06097359e+01 4.63592887e-03 9.74055415e-01]
CEGWER_clean,0.0002298344,0.092148368,0.174946195,0.682930822,1.36518397,0.002310269583655592,0.029646046542469533,0.007260082246716226,0.0001865667819447056,Sips,[2.8407003  0.06573383 0.97650793]
CEHLAD_clean,0.0002320655,0.118571813,0.232175831,1.051373823,2.7934371,0.005292213481198662,0.009302487949209655,0.004415129106456818,0.00047035631478492833,Sips,[2.36643672e+01 9.88013437e-03 9.62368362e-01]
CEJCAW_clean,0.0001637834,0.090008488,0.175813838,0.729291195,1.6856071,0.004848109729806748,0.017476850326875827,0.005864313113627808,0.0008718850483976484,Sips,[5.78719271 0.03110445 0.95313581]
CEJZAU_clean,0.0003121367,0.159794188,0.307230809,1.307233001,2.961988329,0.003987722418257982,0.03798087479922585,0.007404368655277631,0.00042257571904335276,Sips,[8.62101994 0.03702838 0.97807779]
CEKHIL_clean,0.0003092902,0.143785586,0.280880193,1.342457009,3.688815081,0.0018632826795321423,0.011129652824410974,0.001610655038047872,0.0007271160580516708,Sips,[3.30345223e+01 8.60640468e-03 9.90162777e-01]
CEKROB_clean,0.000170328,0.092420339,0.178377893,0.732042479,1.613869044,0.003620625140348733,0.022558089455878012,0.0058912433533230635,0.00031638894585556197,Sips,[4.46303074 0.04152307 0.96494062]
CENJIQ_clean,0.0001349396,0.064520991,0.128059701,0.597024554,1.477551335,0.0011862666632349037,0.013672722274286316,0.0001015945175141587,0.00014755558395728328,Quadratic,[-0.00208939  0.12983507  0.0001334 ]
CENKAJ_clean,0.0001031891,0.057545803,0.115119387,0.539835945,1.353002049,0.0011248260006991558,0.011637917091129168,0.00016506773803540286,1.8686264226606398e-05,Sips,[5.08396481 0.02316296 1.01580839]
CENPUI_clean,0.0009910236,0.437170187,0.796132636,2.533142778,4.085879574,0.012003192604164136,0.16315366223815386,0.07060919410431156,0.0008558456129457981,Sips,[6.03850071 0.15214302 0.96798611]
CESFIQ_clean,0.0006693455,0.310995144,0.572206248,2.271968053,5.1856212,0.0289484224085303,0.04619281780468023,0.02788574938799593,0.001053470404534907,Sips,[20.40486508  0.02892917  0.91070708]
CESFOW_clean,0.0005111499,0.209705231,0.408659594,1.710637295,4.205858686,0.016235429254731756,0.024484463265015983,0.014813659033681068,0.002534045421809292,Sips,[2.29577734e+01 1.79603549e-02 9.32315369e-01]
