Adsorbent,O2_20C_0.001bar,O2_20C_0.5bar,O2_20C_1bar,O2_20C_5bar,O2_20C_15bar,RMSE_DSFL,model,fit_parameters
ACIBOE_clean,0.0001970399,0.100038926,0.201387294,0.928003268,2.327992028,0.000667378138547929,DSFL,"[7.54010976406283e-07, 0.40382750960503455, 0.7417030856540763, 15.499322486562892, 0.013207474360271502, 1.5318027604677193]"
ACOGAB_clean,0.00050004,0.250968266,0.477301679,1.745369293,3.278811729,,DSFL,"[nan, nan, nan, nan, nan, nan]"
ACOGEF_clean,0.0004763994,0.226430801,0.436136507,1.609583916,3.006540345,0.0008000843537011795,DSFL,"[1.6069072175323836e-18, 0.010373773947315701, 2.777423779882966, 4.0209077200802605, 0.11908259575873409, 0.8498471984635277]"
ACOLIP_clean,0.0004008031,0.198430139,0.386439396,1.530598022,3.111162193,0.0004794435472157547,DSFL,"[2.737833618127199, 0.04737268144270139, 4.533914276049319e-07, 13.318012105931766, 0.021218440948548373, 4.671940802897094]"
ACOLOV_clean,0.0001706736,0.097239302,0.197646433,0.893275426,2.457220022,0.0012713440886527563,DSFL,"[6.0948998719623395, 0.007027690612848293, 23.912963139195238, 2.281081041969562, 0.07010502714189747, 1.2766631514741492e-07]"
acs.cgd.5b01554_VAGNUP1452791_clean,3.87561e-05,0.018201547,0.035813446,0.177216163,0.495662485,,DSFL,"[nan, nan, nan, nan, nan, nan]"
acs.cgd.5b01686_WAHFUJ1434675_clean,0.0002074867,0.089362936,0.175583929,0.733831517,1.62927467,0.0002618113739605845,DSFL,"[0.786532641006821, 0.09233655600325834, 1.5706537147630315e-06, 5.799183971283251, 0.01927581571655112, 4.462093868168838]"
acs.chemmater.5b03723_cm5b03723_si_004_clean,0.0008201156,0.292320249,0.504743501,1.778285578,3.794519954,9.179740365162269e-10,DSFL,"[0.27885329332794556, 1.290233038101077, 1.9014844033022105, 3.392296518127511, 0.1359686039083259, 0.5444789320772178]"
acs.chemmater.5b03723_cm5b03723_si_005_clean,0.0003946949,0.213640455,0.423997049,1.788804647,4.300958743,0.0014958749371095285,DSFL,"[1.8562238470628714, 0.13410664925191976, 1.952153233576907e-07, 12.989166788072584, 0.015053455636345754, 8.072192937892392]"
acs.chemmater.6b02817_cm6b02817_si_004_clean,0.0002611901,0.126206175,0.251768664,1.167504381,3.09453095,0.00039964045810044195,DSFL,"[6.883915591539133, 0.012179692476596827, 5.474504714169855, 3.1974263813564314, 0.054056554200644806, 2.5042091542214165e-08]"
acs.chemrev.6b00346_cr6b00346_si_001_clean,0.0002942899,0.170817352,0.340267333,1.532959767,3.895000625,0.0007270174689836901,DSFL,"[8.667169394147699, 0.016250633403577845, 4.66814477770699, 3.914169219574337, 0.05334255136906314, 5.607877048476325e-07]"
acs.inorgchem.5b02973_ic5b02973_si_002_clean,0.0003681128,0.179142324,0.329134617,1.085559755,2.146226085,1.2316618639422579e-05,DSFL,"[1.0371635714091825, 0.3247092579873248, 0.7836408708368949, 1.5161059301589204, 0.03889042845425559, 0.0005061191183472842]"
acs.inorgchem.6b00081_ic6b00081_si_001_clean,0.0001380207,0.063279737,0.126785829,0.56080577,1.357056936,0.00047479521380396967,DSFL,"[1.32583287323835e-09, 0.36799059536166967, 0.8544998145865248, 1.9733688052628287, 0.06618679987372686, 0.5325290782762085]"
acs.inorgchem.6b00136_ic6b00136_si_002_clean,0.0009458287,0.404352782,0.748397484,2.196252315,3.525545613,0.000624503132234971,DSFL,"[20.095360506803953, 0.03469102305829729, 6.324591278492437, 2.136869081602723, 0.08693460116291317, 4.167144551157614e-07]"
acs.inorgchem.6b00276_ic6b00276_si_006_clean,0.0010829283,0.446741757,0.777758494,2.46159452,4.896260157,1.5207370749219747e-08,DSFL,"[1.7612489379312595, 0.23430339366416206, 4.507442812802072, 5.071790597427309, 0.13225894901164795, 0.660152973735267]"
acs.inorgchem.6b00433_ic6b00433_si_002_clean,0.0002623578,0.142824889,0.273052567,1.136461282,2.423638368,,DSFL,"[nan, nan, nan, nan, nan, nan]"
acs.inorgchem.6b00894_ic6b00894_si_002_clean,0.0004003512,0.216023188,0.403609073,1.553783093,2.97598223,,DSFL,"[nan, nan, nan, nan, nan, nan]"
acs.inorgchem.6b01211_ic6b01211_si_002_clean,0.0004231525,0.205991976,0.39891665,1.592972018,3.733792843,0.0002948127357181717,DSFL,"[11.244302737308004, 0.018072971999560795, 9.059059698043757, 2.4945304431599635, 0.09051310231753294, 8.337630371283247e-08]"
acs.inorgchem.6b01416_ic6b01416_si_004_clean,0.0002780435,0.13614562,0.26658232,1.032099239,2.147291955,0.0008718838900754382,DSFL,"[7.142596610336371, 0.02522389462960829, 4.942319486286425, 1.7500406190086606, 0.06072069701828253, 7.899077938928885e-07]"
acs.inorgchem.6b01569_ic6b01569_si_002_clean,8.97462e-05,0.031084815,0.063050773,0.300324725,0.778437999,,DSFL,"[nan, nan, nan, nan, nan, nan]"
acs.inorgchem.6b01740_ic6b01740_si_002_clean,0.0002993619,0.181103384,0.352944158,1.693314173,4.814686744,0.0012371909145756524,DSFL,"[1.2911144199701086, 8.080360029876717e-11, 0.3877863575069757, 1.0801511111446387, 0.33451760124250396, 0.06597797960914485]"
acs.inorgchem.6b01762_ic6b01762_si_002_clean,2.99799e-05,0.01574715,0.031024614,0.145875417,0.377381968,4.4393866334307054e-05,DSFL,"[2.2722613879565153e-11, 0.1720896141178398, 1.774229068962072, 2.91075812480516, 0.01085585817941706, 1.5106966956152204]"
acs.inorgchem.6b02407_ic6b02407_si_002_clean,0.0005807688,0.269642305,0.521971169,2.180705053,4.767952902,2.390321460682806e-10,DSFL,"[0.00870115276876356, 4.492917393564973, 1.0994357917269042, 8.64616274945562, 0.06267466704107778, 0.806688805577832]"
acs.inorgchem.6b02407_ic6b02407_si_003_clean,0.0005107966,0.249316564,0.48048702,1.889470512,3.757163363,3.562289921618323e-06,DSFL,"[0.8575385476549067, 0.21304337446698488, 0.6246742218007794, 8.755454424186322, 0.038388841608780803, 1.4239586907297985]"
acs.inorgchem.6b02514_ic6b02514_si_002_clean,0.0001305447,0.064328849,0.127997855,0.572936787,1.448135497,0.00029510232342998494,DSFL,"[1.599742466084705e-10, 0.4853300856284865, 0.7346473399042918, 1.152344423177786, 0.11459814501456175, 0.31316964967472705]"
acs.inorgchem.6b02696_ic6b02696_si_002_clean,0.0003426609,0.164673049,0.322741503,1.413214804,3.466305083,2.7904114726339187e-06,DSFL,"[1.3277469089715601, 0.09645911291290479, 1.9323825257593865e-08, 2.7165414525274976, 0.07670169532635283, 0.9199555470202923]"
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean,0.0001685024,0.072660003,0.14425578,0.649406423,1.575713704,0.00019152333498984275,DSFL,"[2.213898066971075e-18, 0.6883307448463155, 0.663398494382601, 4.192784587392698, 0.035330694698551234, 0.8082556091823314]"
acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,0.0001417874,0.071609482,0.141741632,0.702057873,2.017089986,,DSFL,"[nan, nan, nan, nan, nan, nan]"
acscombsci.5b00188_24205_clean,0.0004498268,0.215882426,0.419198068,1.624438105,3.268040453,0.0005968822271720186,DSFL,"[2.32537915071909, 0.06179968259619161, 6.29383704524324e-08, 11.802864126287211, 0.02600788925521982, 4.312520267663457]"
acscombsci.5b00188_3001288_clean,0.0004397252,0.182066236,0.364842029,1.811897839,5.186559189,,DSFL,"[nan, nan, nan, nan, nan, nan]"
acscombsci.5b00188_34903_clean,0.0011095929,0.48879992,0.88423405,2.423953643,3.600257312,,DSFL,"[nan, nan, nan, nan, nan, nan]"
acscombsci.5b00188_5013797_clean,0.0002832689,0.11764722,0.234107543,1.098233342,2.998046721,0.00023019072386297205,DSFL,"[0.7695143148086055, 0.0006389997628627658, 0.6191713686736197, 1.7213011851238822, 0.1383696387809122, 0.15825103279778135]"
acscombsci.5b00188_5020072_clean,0.0002915791,0.119835532,0.241403182,1.168201182,3.255702616,,DSFL,"[nan, nan, nan, nan, nan, nan]"
acscombsci.5b00188_5024922_clean,0.0003018877,0.142376648,0.28129531,1.36634378,3.879440047,2.6177728942414033e-09,DSFL,"[25.574867544228177, 0.01100375934403365, 0.5529091300413129, 0.012109567022596213, 1.698287078773065, 2.58955238678187]"
acscombsci.5b00188_5036495_clean,0.0003649404,0.139190022,0.28607855,1.401423432,3.96695474,,DSFL,"[nan, nan, nan, nan, nan, nan]"
acscombsci.5b00188_5040209_clean,0.0005965835,0.293410049,0.549895519,1.821078629,3.452716263,3.8178648921889564e-05,DSFL,"[11.49467738781606, 0.03814404763689404, 5.295289879726827, 2.7430788060482847, 0.06935287747160125, 8.386947758738145e-08]"
acscombsci.5b00188_8372_clean,0.000677334,0.322700449,0.535160064,1.579544732,2.998646451,,DSFL,"[nan, nan, nan, nan, nan, nan]"
ACUBAB_clean,0.0001419132,0.065659435,0.129699674,0.519081831,1.082470351,0.0005284616375477067,DSFL,"[1.5180899853993586e-09, 0.4558240730338046, 0.6058674987201186, 1.460184118107058, 0.0944425267629994, 0.7339331997481428]"
ACUFEK_clean,0.0002927738,0.149976294,0.300754788,1.393778834,3.798932962,0.0009197095130533366,DSFL,"[0.9602582442027987, 0.0006656351810667807, 0.6464424978873913, 1.4353844175172785, 0.2138374301714067, 0.13552669486095267]"
ACUJOZ_manual,0.0002073327,0.106628693,0.214058376,1.016518118,2.841753249,0.00047683698677172364,DSFL,"[2.8345183521965436, 0.01399416341210803, 6.110395398771817, 2.6926285220630906, 0.06576060101231399, 5.143056324226399e-07]"
ACUTOI_clean,8.35786e-05,0.039152534,0.076553512,0.327168015,0.755094088,1.0878636537577977e-05,DSFL,"[4.742301892185092e-16, 0.6627000361849171, 0.622399130850927, 0.8525110257283619, 0.09416843431785762, 0.5299617312211653]"
ADARAA_clean,0.0003367207,0.175855213,0.343690351,1.500736842,3.642867038,,DSFL,"[nan, nan, nan, nan, nan, nan]"
ADASEF_clean,0.0002985219,0.169896865,0.342257721,1.548949555,3.993967068,0.0014372453810394736,DSFL,"[7.991174044766197, 0.01621217824926969, 4.7967958123073675, 3.7977230968579434, 0.058103747588013475, 3.081416480557751e-07]"
ADASIJ_clean,0.0002643836,0.139962434,0.27501436,1.26561516,3.470664583,2.561967648475449e-05,DSFL,"[0.8725858160107689, 1.202177567746171e-07, 0.6123676724056925, 0.645114515113728, 0.44287323586445365, 0.10369997224617841]"
ADASOP_clean,0.0003379513,0.170261314,0.338054115,1.477537604,3.801786378,0.0012075869575115493,DSFL,"[0.9888103924974941, 0.0015717020615875939, 0.6489506387657695, 1.1042897453379572, 0.3199711571090503, 0.19246913269873503]"
ADASUV_clean,0.0002471122,0.135494938,0.272774985,1.266011115,3.369135088,0.0009060869688075622,DSFL,"[7.704995171294229, 0.011495844651407041, 5.680009958718481, 3.512381000346534, 0.053731786769446926, 3.754255936568796e-08]"
ADATAC_clean,0.0004030375,0.200626695,0.394009462,1.833406851,4.802874318,,DSFL,"[nan, nan, nan, nan, nan, nan]"
ADATEG_manual,0.0003446145,0.174142304,0.347974454,1.67887551,4.9899485,0.0005863766571479131,DSFL,"[1.0196014336193244, 0.021385635521342605, 18.73028071115275, 6.997303112798098, 0.047524464068712885, 6.940919117610505e-08]"
ADATIK_clean,0.0003409704,0.158430369,0.309247171,1.481231365,3.994118198,,DSFL,"[nan, nan, nan, nan, nan, nan]"
ADAXEK_clean,0.00037663,0.175443906,0.336214569,1.207320431,2.347210948,0.00044603506026047083,DSFL,"[0.9102951447827464, 0.1389848264157431, 1.349153674148702e-07, 14.189343715721368, 0.017229999013882398, 9.131546208308135]"
ADAXIO_clean,0.0001905047,0.09381701,0.18306519,0.747893645,1.655926221,0.00017066627940943562,DSFL,"[0.5195961331670028, 0.16436024976921054, 1.029675298289078e-07, 6.646937128816528, 0.016346142746503922, 6.701214202521377]"
ADIQEL_clean,0.0009579589,0.41736118,0.756367189,2.395421152,3.832441587,7.673240757089821e-09,DSFL,"[11.512583199619014, 0.037424111135608555, 2.9672453746178857, 0.4378407109577662, 1.2046070558564197, 0.4483615388228085]"
ADOBIF_clean,0.0003742057,0.144986292,0.262480737,0.832176657,1.659056156,2.115362357507829e-05,DSFL,"[0.7096693382079329, 0.3817294244580638, 0.841220153171612, 1.5415827912603246, 0.03638606371841779, 1.1474458074351962e-07]"
ADOCEC_clean,0.0001599582,0.07707766,0.149253633,0.623429799,1.436227885,4.268481024511839e-08,DSFL,"[0.0832341147619576, 0.5292106811186928, 0.3560879281732259, 1.6093648246817178, 0.07208959040603542, 0.5850942167893479]"
ADOGEH_clean,0.0005733936,0.243684493,0.447376312,1.542368691,3.291897982,1.3791036006032876e-05,DSFL,"[0.8877447389738482, 0.5213141256831344, 0.549441542892281, 2.7496720389922245, 0.029056380447759128, 0.012734466906855882]"
ADUROI_clean,0.0002244426,0.101628041,0.200533882,0.968329697,2.845945141,7.0281992460507634e-06,DSFL,"[0.014975126688144621, 2.0595867965520442, 0.27684388151135764, 5.09304397160249, 0.034930605734569777, 3.3569680023712376e-08]"
ADUWIH_clean,0.0002151797,0.113406389,0.226823469,1.063529047,2.982405453,0.0005721029950807142,DSFL,"[0.7722649044305756, 0.0003594088293670918, 0.6004186742317228, 0.5738818116890119, 0.40425273734162465, 0.07962636641830946]"
ADUWON_clean,0.0003829315,0.164124425,0.325556547,1.556145097,4.119470636,,DSFL,"[nan, nan, nan, nan, nan, nan]"
AFEJOK_ion_b,0.0005160813,0.246634943,0.469080802,1.92541173,3.929500643,,DSFL,"[nan, nan, nan, nan, nan, nan]"
AFITEP_clean,0.0005994946,0.296543984,0.566931478,2.078560928,3.812366159,9.786229352629688e-06,DSFL,"[0.2272368807473256, 0.589471511471705, 9.101165034752812e-09, 11.26465828560879, 0.04327574991169846, 2.7986682057755]"
AFITUF_clean,0.0001491977,0.114062535,0.21930583,0.882863361,1.930043082,4.004054630021392e-05,DSFL,"[0.2523044795004106, 0.3853028552620372, 0.484912438095206, 3.473216020639177, 0.04075153432048662, 0.9435661304703842]"
AFIXAO_clean,0.0002287574,0.109308279,0.20975113,0.853858644,1.90106802,7.535335452786845e-07,DSFL,"[0.09265534012567982, 0.748366470158422, 0.424141320245369, 3.5136339037685778, 0.04585864322553016, 0.859316037558577]"
AFIXES_clean,0.0002373898,0.108659774,0.211039509,0.849890997,1.905233132,0.00015441377324020765,DSFL,"[3.78334885291834, 0.03314189665234892, 3.816825039196693, 1.6384954229485071, 0.061118439394100305, 8.490937215581921e-07]"
AFOVEX_clean,0.0002393761,0.127152422,0.248432843,1.08900098,2.684284494,9.885167457599924e-06,DSFL,"[0.013920724766322716, 0.5443199762356132, 1.5254350994283592, 2.296660280836139, 0.11055973031250994, 0.35934128874631593]"
AFOYAW_clean,0.000310185,0.163575948,0.321823849,1.395850556,3.224425724,0.00019628323888206466,DSFL,"[3.8679225706567864, 0.035377187835112435, 4.7150403943168985e-08, 15.087776907057826, 0.013098699180521929, 5.1737059906666]"
AFOYEB_clean,1.90096e-05,0.009573725,0.019223489,0.092907195,0.243938712,0.00020194877110295598,DSFL,"[5e-324, 0.8429055656623022, 1.118201390727751, 2434.9633194883704, 8.13836880596534e-06, 1618.692661507565]"
AFOYIE_clean,0.0002379811,0.126979941,0.248480649,1.195727774,3.29401888,,DSFL,"[nan, nan, nan, nan, nan, nan]"
AFOYOK_clean,0.0002605384,0.122161519,0.244044192,1.118881385,2.87525372,0.000511319639183483,DSFL,"[170.418828414795, 0.0005553097749473912, 112.84527099726365, 4.13390149995216, 0.03739100000948895, 4.7001496256045225e-32]"
AFUKET_clean,0.0003751481,0.17755047,0.327912004,1.204346355,2.629011615,8.967883724098996e-06,DSFL,"[0.3185733240816705, 0.40017504779223995, 1.7272202591872212, 3.7266580793184363, 0.07186465805095556, 0.6146238034745439]"
AFUKIX_clean,0.0002416538,0.120803661,0.239915745,1.072545509,2.819765174,0.0006427027942378294,DSFL,"[0.49845541707398944, 0.0013954574853721187, 0.5556042071239304, 0.8585787969444937, 0.28993234916079536, 0.1696451153985196]"
AGABIU_clean,0.0001866618,0.067004415,0.13399806,0.667398573,1.854162125,0.0017852920102088257,DSFL,"[5e-324, 0.6783343523770071, 0.0006878321030191203, 21344.931880567667, 6.480093659945752e-06, 1155.8190151036729]"
AGIREP_clean,0.0002211558,0.106099707,0.212975484,0.980480958,2.561919236,0.0006307991660895699,DSFL,"[7.05841954172237, 0.011260507583029194, 5.593634299087535, 3.0401777524612688, 0.04525898308013765, 1.0516064861033596e-08]"
AGOFEJ_clean,0.0002324342,0.125866038,0.249718615,1.167217854,3.157058201,0.00011970101079091308,DSFL,"[0.8005543367940886, 0.0008598401705059101, 0.6254311181415672, 2.0307345530298484, 0.12522021707542322, 0.18196695804725774]"
AGONAM_clean,9.02588e-05,0.047361518,0.094435068,0.434018786,1.077019663,0.00015799468844820692,DSFL,"[4.046523189953815e-09, 0.1557474644795419, 0.5272045726675587, 6.025476105277942, 0.016009902640766325, 1.3719932459025612]"
AGONEQ_clean,0.0001340885,0.077018532,0.151640711,0.720105174,1.917638281,,DSFL,"[nan, nan, nan, nan, nan, nan]"
AGUBUA_clean,0.0021831074,0.851294956,1.398866752,2.926626046,3.856635827,3.914254930158709e-06,DSFL,"[3.9462607318576106, 0.5386310039197139, 1.0554006298842606, 2.668897279358442, 0.018728519442649732, 0.004169407407830612]"
AHAMAY_clean,0.000118193,0.058556775,0.11192586,0.397531476,0.709966914,8.638530208669227e-05,DSFL,"[0.17943074989288335, 0.18011237222290252, 6.054722791190078e-07, 4.250051633339979, 0.021459668514445047, 6.464988810398125]"
AHEQAH_clean,0.0002649092,0.144054855,0.285932342,1.311242635,3.642053538,0.0007575569338624619,DSFL,"[0.8908783047886721, 0.0004437897907521472, 0.648659876832418, 0.36946119330879595, 0.8077045924394533, 0.08076061919570919]"
AHIYOH_clean,0.0002720634,0.135496261,0.253589158,0.907021973,1.669261891,9.893394126807228e-06,DSFL,"[0.15476816718995243, 0.45979869599400586, 1.2126770380218677, 3.9510495219599107, 0.056460384548210056, 1.2208768267562926]"
AHOKIR_clean,0.0002123049,0.094415627,0.183436779,0.753457159,1.601305284,,DSFL,"[nan, nan, nan, nan, nan, nan]"
AHOKIR01_clean,0.0003713014,0.169774066,0.323956265,1.121064947,1.964958998,0.0007906993711781773,DSFL,"[2.427450795146859e-10, 0.4079050080226886, 1.1022364227531085, 2.4232273631851053, 0.15050873245126611, 0.8670190104181448]"
AHOKOX_clean,0.0002225094,0.101214891,0.198874806,0.866389698,1.967007332,3.4624871190642554e-05,DSFL,"[2.539064561810926, 0.03917959177280968, 0.6314930882640254, 3.777344224459801, 0.028311503391182647, 1.7857261802427655]"
AJAKON_clean,0.0002564519,0.124603752,0.239472955,0.997675249,2.117055888,,DSFL,"[nan, nan, nan, nan, nan, nan]"
AJAYIT_clean,3.70602e-05,0.013775824,0.027524117,0.132313559,0.348307041,0.00018751567574005793,DSFL,"[5e-324, 0.8429463948270098, 0.014383429529049334, 3496.4023720810937, 8.067578631198582e-06, 1607.4533283132603]"
AJIGIL_clean,8.45867e-05,0.047309047,0.093026609,0.427531633,1.115198798,,DSFL,"[nan, nan, nan, nan, nan, nan]"
AJOTEY_clean,0.0002283517,0.11517092,0.227313263,1.005254097,2.500844255,0.00021224064629279732,DSFL,"[4.553214457513586, 0.02231547112895141, 3.9092477728485755, 2.1205171313413747, 0.06312534372294164, 1.1562340393184475e-07]"
AJOVEB_clean,0.0001924169,0.094970724,0.186486116,0.71597498,1.40239354,0.0007839289447742908,DSFL,"[8.447037408433131e-09, 0.3193208224796288, 0.21954466696136832, 2.0067278235796997, 0.10011904066036392, 0.834219891939207]"
AKEDIF_clean,0.0003600068,0.20020515,0.391930679,1.632545837,3.564186807,0.0003171852378773005,DSFL,"[3.8205616799212914, 0.03943671871359062, 5.930102937337985e-06, 14.601295073559841, 0.017910769764799658, 4.6278992879746985]"
AKOBAF_clean,0.0002768539,0.146974479,0.289212687,1.092368374,2.182851814,0.0014058898299418676,DSFL,"[1.2237556636167737, 0.08770896727493233, 5.81338889155468e-07, 10.153993141285932, 0.020148752893012305, 6.355926078171649]"
AKOXIJ_clean,0.0020003861,0.648543,1.034988154,2.486202719,3.792426896,1.803471692584024e-09,DSFL,"[0.5952457869319983, 2.8314822274507847, 0.5828761174444996, 2.245311584840217, 0.14153929701615844, 1.3824186802632261]"
AKUKUO_clean,0.0002877812,0.145895388,0.276938178,1.056071851,2.046334526,1.1807501380487262e-05,DSFL,"[0.03244648925315406, 1.498708944252801, 0.5928160980427876, 4.352432822088952, 0.06102685952404881, 1.112027932816652]"
ALAMUW_clean,0.0003558367,0.168922562,0.330790817,1.427385971,3.679601478,0.000678796009136027,DSFL,"[0.9651337077028179, 0.0015611041596537588, 0.6441335501736299, 0.7120997819038861, 0.4941774112164839, 0.17228443904973467]"
ALANAD_clean,0.0002747084,0.15148071,0.293835515,1.336146558,3.602017961,0.000636313265790283,DSFL,"[0.8878722964717772, 4.3021773733073806e-11, 0.6508405131819983, 0.7223552042679229, 0.42634186640254534, 0.12434961653903309]"
ALEJEI_clean,0.0002589686,0.150847554,0.301315063,1.381863413,3.742645117,0.0008519840417845363,DSFL,"[0.9330757059477531, 0.0007311313852101075, 0.6535475423499671, 1.1238523391849202, 0.2753336557297563, 0.1333056484643759]"
ALEJIM_clean,0.0004279198,0.161609928,0.322832054,1.475220061,3.877896101,0.00081546196396805,DSFL,"[0.9814700233063037, 0.0012795292116565696, 0.6501791476258203, 2.4543674418077224, 0.1343827778253836, 0.22500796096935383]"
ALICAA_clean,0.0001227714,0.054862783,0.108616199,0.458836028,1.100477581,0.00032788388608067753,DSFL,"[2.471692351244315, 0.020916063108185317, 5.620647700163458, 1.1288909271741572, 0.05510948158873697, 3.803331716459164e-07]"
ALIXAU_clean_h,0.0001278434,0.048450814,0.094374404,0.42974853,1.003780435,0.00031634170193952445,DSFL,"[5e-324, 0.5987853024416365, 4.704920893763422, 8691.305439487345, 1.1202759790500146e-05, 2231.725411667616]"
ALIXOJ_clean,0.0002168117,0.109218332,0.214941397,0.959759568,2.429701089,2.7406948903524856e-05,DSFL,"[3.424675260990416, 0.02634113545864214, 3.32564943931266, 2.0980235753421397, 0.06299847936514258, 6.293326700238376e-08]"
ALIXUP_clean,3.87241e-05,0.018694048,0.037255328,0.186008339,0.531658069,0.0003167511480851516,DSFL,"[1.1785166243266338e-16, 0.8272536911053101, 1.2811056480063407e-05, 3352.01940611723, 1.1350102846177775e-05, 415.8794322771589]"
ALOLES_ion_b,1.56444e-05,0.005027857,0.010070155,0.047578112,0.134054124,2.187499675742624e-05,DSFL,"[0.02341213693565745, 0.08385912008183107, 1.2967423802634577, 1.2487511584177127, 0.0066282490745816, 0.029303654035239095]"
ALOLIY_clean,1.72041e-05,0.011299675,0.023137839,0.11312578,0.329209697,0.00011865727125186941,DSFL,"[0.13540482685866273, 0.030681782639437046, 0.8606147726702518, 1.0664585998639877, 0.017772959464274856, 0.0013564168487143096]"
ALONEV_clean,5.33096e-05,0.024017589,0.048330013,0.226633089,0.596121659,0.00013694277701416916,DSFL,"[2.8477803234281686e-12, 0.6689266683326505, 0.39726813338121447, 1.9925459211484544, 0.024569909611272162, 0.6646725742279025]"
ALUJIB_clean,0.0002069288,0.091995914,0.181926107,0.746713337,1.701015522,0.0006440301419876574,DSFL,"[5.212030675650378, 0.01926943953707038, 6.025376444980292, 1.1485300804239826, 0.07979770200424684, 5.813619213224661e-07]"
ALUKIC_clean,0.0001872282,0.125664696,0.248408632,1.201270615,3.45538884,0.0002644904642399442,DSFL,"[0.8383051695317723, 9.147374127823141e-10, 0.6493660614635024, 0.8523919618809596, 0.29588857706745875, 0.053519280931930195]"
ALULEZ_clean,0.0001970738,0.106038039,0.208744299,1.032463651,2.883399563,0.0016217821454425625,DSFL,"[7.496481956665752e-16, 0.4412446776168414, 0.01103009120983798, 7560.242483494394, 2.826464120925972e-05, 249.60421381687476]"
ALULID_clean,0.0002160326,0.106325462,0.208874675,0.971927576,2.543731465,,DSFL,"[nan, nan, nan, nan, nan, nan]"
ALURAB_clean,0.000156037,0.088682309,0.176073189,0.787308259,1.985678924,0.0003073449101134473,DSFL,"[3.6433978114717562, 0.020696001749165773, 3.8990605603451463, 1.7885817343312969, 0.059321589751387384, 2.2312513867332598e-07]"
ALUREF_clean,0.0001737973,0.091966698,0.179148261,0.80728734,2.009500575,,DSFL,"[nan, nan, nan, nan, nan, nan]"
ALURIJ_clean,0.0001789501,0.093545219,0.185025532,0.811118671,2.016348946,0.00031117060236388175,DSFL,"[3.1912175125438074, 0.025459524462405743, 3.8282664274804556, 1.3851874029728999, 0.080040693528448, 5.2670905233722815e-06]"
am301365h_si_002_clean,0.0001882666,0.099023717,0.196253231,0.93722537,2.455291892,,DSFL,"[nan, nan, nan, nan, nan, nan]"
AMAFOK_clean,0.0001808651,0.085335433,0.163693361,0.662028972,1.374619449,4.037089104926292e-09,DSFL,"[0.022886295832004817, 0.7891036923141276, 1.2977601215227685, 4.3356223125089075, 0.03755883187306253, 1.30266363355153]"
AMAGAX_clean,0.0001572293,0.077208836,0.151967586,0.640381496,1.456405779,0.0002511560019213022,DSFL,"[0.3203831733499171, 0.2179509851129979, 7.862106573971392e-07, 4.870004549494828, 0.018368443436462878, 4.88204785122535]"
