Adsorbent,O2_20C_0.001bar,O2_20C_0.5bar,O2_20C_1bar,O2_20C_5bar,O2_20C_15bar,RMSE_DSFL,model,fit_parameters
ABAYIO_clean,0.0002279671,0.107577674,0.207035731,0.909236519,2.19816193,,DSFL,"[nan, nan, nan, nan, nan, nan]"
ABAYOU_clean,0.0002290903,0.114573175,0.218616597,0.954939269,2.278860175,,DSFL,"[nan, nan, nan, nan, nan, nan]"
ABETIN_clean,0.0002951422,0.157023479,0.307883694,1.513493696,4.284861006,,DSFL,"[nan, nan, nan, nan, nan, nan]"
ABEXIQ_clean,7.53502e-05,0.034678939,0.068649983,0.312973013,0.778791929,2.974162731010437e-05,DSFL,"[6.332066538574049e-16, 0.8575121084370739, 0.7490503062799782, 1.897303319341843, 0.0370809262668168, 0.6870291388077178]"
ABIYIV_clean,0.0001398337,0.067580099,0.128687427,0.497930336,1.007825192,1.5884405392325596e-06,DSFL,"[0.0794904248055526, 0.387068860416399, 1.1438509639819248, 3.198888523167435, 0.03521101648239043, 1.3419432904412687]"
ABULOB_clean,0.0007640855,0.37634139,0.696500728,2.3864042,3.976254502,2.777994777011624e-05,DSFL,"[20.48833874491508, 0.03274379048072365, 2.3244110117063985, 2.350848407790936, 0.0661489750898866, 11.585124965578173]"
ABUWOJ_clean,0.0003668328,0.179857109,0.353789373,1.488952345,3.388001899,0.0005655912673163198,DSFL,"[2.5993918893784955, 0.06129607948086239, 2.2747455472007917e-08, 9.279770143596782, 0.022822310286752932, 3.9328079772213895]"
ac403674p_si_001_clean,6.63021e-05,0.039870267,0.079437438,0.383578221,1.028045554,0.00040319340612848993,DSFL,"[5e-324, 0.5539270422377545, 0.0011358075222777458, 10797.763647404456, 7.508398876782358e-06, 1491.4531127468204]"
ACAJIZ_clean,9.11301e-05,0.043398872,0.088096347,0.389680367,0.997588082,0.0005675376929971887,DSFL,"[2.4034125776396325, 0.013054026302118379, 8.158069858164712, 1.092004883542586, 0.05422248004547985, 1.0594407316551482e-07]"
ACAJOF_clean,9.2505e-05,0.042294345,0.083610272,0.398356692,1.034668217,0.0003472268787889924,DSFL,"[5e-324, 0.6458109268189086, 8.382728198933972, 10075.848767791222, 8.490263505239328e-06, 1690.277391079571]"
ACIBIY_clean,2.91356e-05,0.012636697,0.024870156,0.119676265,0.334665598,5.046514396273832e-07,DSFL,"[0.0012109586047292578, 2.5764552322264547, 2.2885272324436428, 1.1803949341237814, 0.021102079839552125, 0.4006168884995765]"
