Adsorbent,O2_40C_0.001bar,O2_40C_0.5bar,O2_40C_1bar,O2_40C_5bar,RMSE_DSFL,model,fit_parameters
FUDGES_clean,0.0001607539,0.0923101902,0.1804605972,0.8535020575,1.4983754143882268e-05,DSFL,"[0.16573850021212053, 0.13003724834325098, 5.298018589843835, 0.9630313003402825, 0.17567795726971305, 1.825640528081285e-08]"
FUDHAP_clean,0.0002218815,0.1049091989,0.2079188205,0.95971676,8.224644361517366e-05,DSFL,"[2.6592765796488376e-10, 1.127282975423741, 0.9619800880313072, 5.003324297230012, 0.042460233531563016, 0.5270507523328412]"
FUDHET_clean,0.0002190514,0.1013936223,0.2015561419,0.9234849816,,DSFL,"[nan, nan, nan, nan, nan, nan]"
FUHJOJ_clean,0.0001460406,0.0702879581,0.1371033957,0.5895520908,1.1019989586567551e-10,DSFL,"[0.00022632849322343863, 7.681884853668596, 10.268563593927915, 0.8190150112578385, 0.1763600628064465, 0.32100663538679386]"
FUHMOM_clean,0.0002450794,0.1378478468,0.2676871817,1.1039492278,1.9654873383248832e-05,DSFL,"[1.6302577053618706e-72, 1.780856502305924, 3.0311912127723364, 2.498053886199491, 0.11385135421315272, 0.5619022625469939]"
FUHNED_clean,0.0001809545,0.0849658031,0.1696601744,0.7314233533,0.000629434284133625,DSFL,"[0.0008357497138430807, 7.701757513526381, 15.687903306599651, 9799.1470609316, 1.7884619734143832e-05, 2020.373413489731]"
FUMJAA_clean,0.0001405428,0.0732184392,0.1440027354,0.6709280262,4.561279930122795e-06,DSFL,"[2.3076489831950984e-12, 7.860087933983906, 9.913678956504642, 0.21202273287219645, 0.7059279293130679, 0.07230527612558632]"
FUNBAS_clean,0.0002129122,0.0953698171,0.1886278421,0.8173897914,,DSFL,"[nan, nan, nan, nan, nan, nan]"
FUNCAT_clean,0.0001785934,0.0970734371,0.1883505003,0.8298060755,1.1706850743299192e-05,DSFL,"[8.219292907101091e-08, 7.7561535951486595, 10.00213993083324, 0.27742879224965256, 0.7282039014094841, 0.12810712821226808]"
FUNCEX_clean,0.0002702258,0.1429919016,0.2786259412,1.2324148536,1.2479265921122806e-05,DSFL,"[4.076049093890686e-07, 2.7390637703406986, 2.9784002855976253, 0.6165591775096098, 0.47875856315207455, 0.14755338323126463]"
FUNFOL_clean,0.000157236,0.0807940556,0.1570872294,0.7487299547,1.0927894830237911e-05,DSFL,"[0.0320125172916336, 0.700445537021476, 4.5698533175744585, 2.017649270308538, 0.07768055679475895, 0.13942325070053355]"
FUNLAD_clean,0.0003370196,0.1466542153,0.2842640779,1.1890363612,1.519626666160735e-05,DSFL,"[0.011314275184166714, 4.453371687865452, 0.11878448426598225, 3.333192285156638, 0.07688801762397107, 0.7144399200399962]"
FUQJUX_clean,0.0001417093,0.0761984087,0.1523023446,0.7323075006,,DSFL,"[nan, nan, nan, nan, nan, nan]"
FURFOP_clean,0.000269715,0.1259073453,0.240607759,0.9378759661,6.450331007074221e-08,DSFL,"[0.0009029563085747967, 5.652709046725335, 11.019233300350875, 0.9769345118540789, 0.2713347247512439, 0.4034264095755905]"
FURSES_clean,8.43895e-05,0.043885487,0.0878035454,0.4074027656,,DSFL,"[nan, nan, nan, nan, nan, nan]"
FUSGOR_clean,8.34809e-05,0.0462863563,0.0911064846,0.4245200331,5.667960794352179e-06,DSFL,"[0.005580277634088457, 0.9859389453732396, 0.86941469802933, 1.9530182581621494, 0.04573464096707078, 0.3136638549125868]"
FUSQUH_clean,0.0001765385,0.0802881196,0.1581512418,0.691166008,,DSFL,"[nan, nan, nan, nan, nan, nan]"
FUTCAZ_clean,0.0001241326,0.0551473944,0.1099815017,0.5447973821,3.2395739016807456e-10,DSFL,"[0.0018806361044784762, 7.6426690539494535, 10.007613442590761, 0.06151459113526806, 1.8014497481787932, 0.007332978832806484]"
FUTDII_clean,0.0001605734,0.0732712099,0.1416845101,0.6810594918,9.50160658881093e-06,DSFL,"[0.04033082421991366, 0.47571761564512416, 7.225161597371848, 1.4681586947242065e-05, 11476.810751625731, 0.019414246887050363]"
FUTKEL_manual,0.0001765427,0.078251496,0.1574223061,0.6940347497,0.000741367206069032,DSFL,"[0.0018035247259857348, 9.72464450082139, 15.865514002692567, 4803.09221125459, 3.3625277009188636e-05, 900.751216809145]"
FUTTIZ_clean,0.0001551588,0.0818231099,0.1618623477,0.7573281086,5.2184370480365076e-06,DSFL,"[2.5526187838049627e-29, 7.476176603618615, 9.673052371104582, 0.9604041962857663, 0.1724270139362741, 0.14349511206094165]"
FUTYEA_clean,0.0002344326,0.1005843431,0.2010591144,0.9235907011,,DSFL,"[nan, nan, nan, nan, nan, nan]"
FUTYOK_clean,0.0001630836,0.0813685112,0.1602474498,0.7656034877,5.786608489842065e-06,DSFL,"[0.01477812056866344, 0.8561297889816889, 5.398718381986392, 1.1356579693105693, 0.14270256775332205, 0.10539235716000951]"
FUTYUQ_clean,0.0002108293,0.100744695,0.2025189741,0.9300582566,0.0006940652295322465,DSFL,"[1.4357890204907038e-16, 1.0827194062390608, 0.00012395948123009037, 6409.01072475577, 3.214130491780616e-05, 634.87149492601]"
FUTZAX_clean,0.0001477945,0.0753981235,0.1525417509,0.7340697496,,DSFL,"[nan, nan, nan, nan, nan, nan]"
FUTZEB_clean,0.0001930247,0.1063508764,0.2090342835,0.9367278475,1.1828394766501658e-05,DSFL,"[2.7040440100244726e-32, 6.282311233084564, 9.048337082493427, 1.5382099232467374, 0.14087121634155142, 0.2729070438055269]"
FUTZIF_clean,0.0002253047,0.1197933455,0.2357297807,1.0111081529,0.0002182438815352235,DSFL,"[3.2836982511166752, 0.0307835900166687, 1.3362425218658416, 4.793179030581789, 0.030097207179146112, 1.388865414580749]"
FUTZOL_clean,0.000160257,0.0767541213,0.1512964976,0.7036823015,4.710398089093376e-10,DSFL,"[0.0005607211831150107, 7.919516380059883, 9.83277060752977, 0.4025276275291052, 0.38793475428715957, 0.09640794812549436]"
FUVBAB_clean,0.0001962099,0.1006200176,0.1994741459,0.9258381966,,DSFL,"[nan, nan, nan, nan, nan, nan]"
FUVBOP_clean,0.0001136732,0.0629103627,0.1246851895,0.5611904449,,DSFL,"[nan, nan, nan, nan, nan, nan]"
FUVDEH_clean,9.27971e-05,0.0452903502,0.0902184346,0.398244806,0.00024153806470221124,DSFL,"[2.1416073365401295e-10, 0.7600077666297181, 0.5414823748649154, 4.827327610804982, 0.019243771325862746, 1.6745502357307505]"
FUVDEH01_clean,8.20898e-05,0.0441833281,0.0885284563,0.3911719996,0.00034898998264398204,DSFL,"[4.509954957632213e-10, 0.6611911222172779, 0.7767563838552417, 3.960525095960241, 0.022979491265367236, 1.3906079968437912]"
FUVDEH02_clean,8.09001e-05,0.0371938011,0.0732276382,0.3283638128,1.8710272692253173e-10,DSFL,"[0.0012878300903789025, 4.23413410705938, 6.808932651037912, 1.019969458748009, 0.0741241286952454, 0.44670394479188813]"
FUVDEH03_clean,6.12699e-05,0.0342522512,0.0680024463,0.3033859203,0.00011878075815877133,DSFL,"[1.9940073645658027, 0.03509568622362363, 0.8823479638500679, 0.4291424131400159, 1.0726878181334193e-06, 0.028660780980776235]"
FUVDEH04_clean,6.60287e-05,0.0322826918,0.0637284249,0.2866705409,1.9519558984861204e-05,DSFL,"[1.0899547588834905e-09, 1.514282705885073, 0.7189682894495278, 1.5063684482945043, 0.043542323684725805, 0.6830244641631062]"
FUVDEH05_clean,7.18923e-05,0.031206857,0.0611089456,0.2548361986,,DSFL,"[nan, nan, nan, nan, nan, nan]"
FUVDEH06_clean,1.82295e-05,0.0085759441,0.0172015129,0.0798657585,,DSFL,"[nan, nan, nan, nan, nan, nan]"
FUVDEH07_clean,1.67103e-05,0.0086544321,0.0172389846,0.0795513005,,DSFL,"[nan, nan, nan, nan, nan, nan]"
FUVDEH08_clean,1.2153e-05,0.0082154061,0.0163097889,0.0752050955,1.221128058503047e-05,DSFL,"[4.396486196237749e-09, 0.688837483199188, 0.8214668706908559, 0.5790170313486296, 0.02875808495658676, 0.7570685398246813]"
FUVDEH09_clean,8.80383e-05,0.0434278643,0.0850265545,0.3861538166,8.015724137297025e-07,DSFL,"[0.006606749927518688, 1.049705339384313, 0.7944481549945464, 1.641131682952313, 0.05040035829779616, 0.3993569555506501]"
FUVDEH10_clean,8.20898e-05,0.0384293115,0.0765445405,0.3482033621,,DSFL,"[nan, nan, nan, nan, nan, nan]"
FUVDEH11_clean,9.22023e-05,0.0417676286,0.0825031866,0.3767539439,7.578107253889063e-10,DSFL,"[0.001066821329470996, 7.712676830022598, 10.32480167382777, 1.8583988414744044, 0.04552516326793007, 0.5647792567179167]"
FUVDEH12_clean,8.86332e-05,0.0401430841,0.0800672621,0.3504774864,,DSFL,"[nan, nan, nan, nan, nan, nan]"
FUVDEH13_clean,0.0001058839,0.0408307345,0.0834603056,0.3721140877,0.0006522097174565438,DSFL,"[8.760764104837005e-16, 3.5099942353092692, 4.582171238028121e-05, 3220.68982773131, 2.640908404044928e-05, 1011.068227072471]"
FUVFUZ_clean,1.56976e-05,0.0081050167,0.0163037124,0.0756005733,,DSFL,"[nan, nan, nan, nan, nan, nan]"
FUVGAG_clean,1.36721e-05,0.0080938764,0.0163811876,0.0753068766,8.08698794855924e-05,DSFL,"[1.1488553211832223e-07, 0.469168348421821, 1.307300723464054e-06, 1.0506661829477926, 0.015836845269783625, 1.307088839596758]"
FUVGAG01_clean,1.41785e-05,0.0079642448,0.0159138047,0.0712098074,4.72091014551909e-05,DSFL,"[3.8915697873441073e-07, 0.39966018006322596, 0.003311573861249294, 0.8014187353753428, 0.02036762255038948, 1.4062311751384926]"
FUVGAG02_clean,1.56976e-05,0.0080918509,0.0161193924,0.0737442075,2.7221621321526654e-05,DSFL,"[0.06931855445187018, 0.020869990279058726, 0.11122182002492012, 0.6627851597442688, 0.022664598811975745, 1.1212876120303064]"
FUWFIO_clean,0.0001758724,0.0935943806,0.1881762413,0.8565763477,0.0006972092002103488,DSFL,"[2.7695610171601714e-17, 1.5321876940028587, 0.00034566265392832474, 6268.1005473255955, 3.059335419040594e-05, 737.0206885218927]"
FUWFUA_clean,0.0002178206,0.1053162447,0.2083881597,0.9386264285,,DSFL,"[nan, nan, nan, nan, nan, nan]"
FUWQIZ_clean,0.0003006515,0.1549662542,0.3014489066,1.3055661819,9.681865650240089e-06,DSFL,"[2.095458723188267e-12, 4.104538964347701, 4.132712588433637, 0.9495270293396458, 0.33704897281836627, 0.2060017950615742]"
FUWXOL_SL,0.0009344211,0.4000490464,0.7084153195,2.082595474,1.771475993619522e-08,DSFL,"[0.07028508621454625, 0.2576444309659142, 6.421563556422978, 1.617941422541223, 0.5665732777124433, 0.5872542526758885]"
FUWYAY_clean,7.53243e-05,0.0358492646,0.0707233851,0.3148076208,,DSFL,"[nan, nan, nan, nan, nan, nan]"
FUXXIH_clean,0.0001302567,0.074215611,0.1473682781,0.634619355,,DSFL,"[nan, nan, nan, nan, nan, nan]"
FUYCAE_clean,0.0002308895,0.1275552855,0.2599766297,1.1619775575,0.0018895779622392413,DSFL,"[1.37922050108998e-07, 1.1489341261924642, 8.72437025831934e-31, 12.087812448528235, 0.021949720040827007, 1.2721207217024741]"
FUYCEJ_clean,0.0004417289,0.203955004,0.4031726251,1.7874231072,,DSFL,"[nan, nan, nan, nan, nan, nan]"
FUYCIN_clean,0.0002116183,0.1084924879,0.2188641467,1.0726848748,,DSFL,"[nan, nan, nan, nan, nan, nan]"
FUYKER_clean,0.0001905676,0.1104585345,0.2149510725,0.877003019,1.828917867282389e-05,DSFL,"[7.865437596636388e-36, 8.017206616691928, 10.234941310056957, 6.339732667868029, 0.035830894720684486, 1.569043050938278]"
FUZPUN_clean,0.0002193782,0.1211624587,0.237014088,1.0464468851,1.4497658448648919e-05,DSFL,"[2.4477452777325735e-08, 0.5658491209518, 0.7852717500562799, 1.0204011092968068, 0.2434198666929727, 0.21510399790880902]"
GABYUG_clean,0.0002074853,0.1023865758,0.2037044377,0.8910694147,,DSFL,"[nan, nan, nan, nan, nan, nan]"
GACBIY_clean,0.0003143944,0.1538976962,0.3034898442,1.3333961413,,DSFL,"[nan, nan, nan, nan, nan, nan]"
GACBOE_clean,0.0002160633,0.1127352868,0.2220259966,0.9913340435,9.32264893018394e-06,DSFL,"[1.415535792810375e-10, 0.9249785939197873, 0.9566344923244683, 4.972732290952915, 0.04607192516141589, 0.6973219958152831]"
GACPUX_clean,0.0002505093,0.1152609076,0.2294291685,1.0015706497,0.0006146586354192321,DSFL,"[0.0016367780593385206, 9.80981428860498, 14.333328944295156, 8891.586086095127, 2.6604616559887165e-05, 1250.1515331800922]"
GACQAE_clean,0.0001619967,0.09877591,0.1982902725,0.8764778865,,DSFL,"[nan, nan, nan, nan, nan, nan]"
GACVIS_clean,0.0001557684,0.0677317774,0.1328635964,0.6360757918,9.496785758112637e-10,DSFL,"[0.003205022150461173, 2.4145884113910276, 4.912236725205381, 0.002587478418061754, 57.33149641581232, 0.027138922904701143]"
GACYER_clean,0.000258501,0.1388055561,0.2766271844,1.2459409219,,DSFL,"[nan, nan, nan, nan, nan, nan]"
GADNUX_clean,0.0002850773,0.1340883359,0.2615508764,1.1959380814,2.708274834311068e-06,DSFL,"[0.024212466405256164, 1.3715441719184907, 0.6368862792483022, 1.80606490849743, 0.13647672590760454, 0.13095280569480597]"
GADRAH_clean,0.0001139494,0.0537503914,0.1085231172,0.5096938523,,DSFL,"[nan, nan, nan, nan, nan, nan]"
GAFROX_clean,0.0002698506,0.1426787338,0.2745501425,1.2426409339,1.5741898811131432e-05,DSFL,"[0.32914525890739627, 0.17213108771519392, 3.982428140571557, 0.9966206792587189, 0.2455463570131231, 0.004944221072664183]"
GAFRUD_clean,0.0002487368,0.1229620775,0.2435458485,1.1175074481,,DSFL,"[nan, nan, nan, nan, nan, nan]"
GAGQAI_clean,0.000276153,0.1283446943,0.2548269133,1.1262536057,,DSFL,"[nan, nan, nan, nan, nan, nan]"
GAGSUF_clean,4.84328e-05,0.0227243339,0.0453221177,0.2188316639,,DSFL,"[nan, nan, nan, nan, nan, nan]"
GAGZEV_clean,0.0003104307,0.1633974417,0.3271552047,1.5687229821,0.00047119886808233565,DSFL,"[6.079909494719034, 0.02401638244666509, 0.46268357415321304, 7.435455936280619, 0.02477172424821557, 0.42882275751585425]"
GAHWIX_clean,0.0002221679,0.1253138144,0.2523049965,1.1588167539,0.0009747213686819857,DSFL,"[3.170146102134908e-07, 0.9628498286364188, 8.9475405570316e-34, 12.664817038856196, 0.02027199444782438, 1.0599300196050903]"
GAJYUN_clean,5.43595e-05,0.0291575324,0.0563731569,0.2656550753,3.738592807864497e-06,DSFL,"[0.029425009077516266, 0.3087084971217959, 3.4273379191220177, 0.43557920846478576, 0.12112777107915706, 5.253684103724922e-06]"
GALCAZ_clean,0.0001291283,0.059833379,0.1203425855,0.5631874021,,DSFL,"[nan, nan, nan, nan, nan, nan]"
GAMFEI_clean,0.0001348111,0.0688453319,0.1333677212,0.6031700205,5.391472160345079e-06,DSFL,"[2.574825701274053e-26, 7.7853468608706855, 10.266206354285224, 0.06697985509503454, 2.1740455373196284, 0.07607837499584547]"
GAMXAV_clean,0.0002638417,0.1363245143,0.2661327093,1.117302964,7.8193274979504e-06,DSFL,"[8.856955324753468e-37, 8.320459663941733, 11.716299205554154, 5.499000187972652, 0.050826367149838965, 0.9880893122271924]"
