Adsorbent,O2_10C_0.001bar,O2_10C_0.5bar,O2_10C_1bar,O2_10C_5bar,RMSE_DSFL,model,fit_parameters
ABAYIO_clean,0.0002638719,0.132540072,0.252508328,1.090760451,1.4735868233969938e-05,DSFL,"[0.03463934411717737, 2.8795156111519282, 0.3473836017694218, 1.7212074282818974, 0.11253781345888617, 0.1696903032071004]"
ABAYOU_clean,0.000286783,0.139225872,0.272784979,1.159416119,7.643868239581465e-05,DSFL,"[1.1420155868322128e-07, 1.183666309390835, 1.9206984181289243e-09, 8.17732571030116, 0.03484800099052218, 1.283304196192827]"
ABETIN_clean,0.0003550387,0.178893518,0.351670648,1.740057024,1.2889984720881813e-05,DSFL,"[0.9503893792064969, 0.36613112331450387, 2.2094150193955852e-07, 0.0606250735026834, 0.5431015855473561, 5.036361469673756]"
ABEXIQ_clean,0.0001011279,0.042123737,0.083814211,0.375028862,,DSFL,"[nan, nan, nan, nan, nan, nan]"
ABIYIV_clean,0.000188994,0.087102195,0.165457136,0.593435662,8.403438069023423e-12,DSFL,"[0.0006931133120114645, 7.86232826500842, 10.115196359787465, 1.4925489650267236, 0.12326579980384605, 0.9129034830773479]"
ABULOB_clean,0.0010267868,0.484422713,0.879297305,2.784901068,2.6954999933055905e-05,DSFL,"[7.3711571591443725, 0.08986502615088625, 4.218370383593203, 2.0802583718248315, 0.20119509206490685, 1.3887037136885342e-09]"
ABUWOJ_clean,0.0004401993,0.226331845,0.43520245,1.843864028,1.8103932272557454e-05,DSFL,"[0.6285945020567044, 0.6900225988911852, 0.18981986557232117, 1.500186789701759, 0.028475602037493695, 0.11594277019612932]"
ac403674p_si_001_clean,8.90342e-05,0.046070456,0.092070821,0.438881712,,DSFL,"[nan, nan, nan, nan, nan, nan]"
ACAJIZ_clean,0.0001093561,0.053821417,0.104594534,0.471094146,5.903419106353479e-06,DSFL,"[0.008547638570102838, 1.616810478931633, 3.254680430296863, 0.7683427524384796, 0.1397994593422226, 0.2474936508097484]"
ACAJOF_clean,8.71682e-05,0.049845954,0.101629175,0.474427808,0.0006209501412836318,DSFL,"[3.328897986977074e-10, 0.4900607985827652, 0.5661768435879703, 4.229306855717281, 0.0242831360031737, 0.6904197294954472]"
ACIBIY_clean,2.68048e-05,0.015701763,0.029695013,0.143350696,6.068478960293718e-06,DSFL,"[0.011824026307055705, 0.8722313485967448, 3.6476000039305756, 0.24460970265026272, 0.11712064419849022, 9.699899246096722e-05]"
ACIBOE_clean,0.0002494177,0.121054857,0.237797283,1.067869204,1.4296187451970778e-06,DSFL,"[4.3979608997688467e-10, 1.880899151985996, 2.6767554329457512, 1.3386815864185753, 0.18443318444894122, 0.22188270565001153]"
ACOGAB_clean,0.0007050113,0.314520645,0.590743183,2.051323937,9.406220193324929e-11,DSFL,"[0.013311610783846942, 3.029132557167198, 2.430839977727806, 4.402762396037759, 0.1510574935067585, 0.8588261823621185]"
ACOGEF_clean,0.0005377384,0.286391699,0.536842845,1.892583569,3.848446455342326e-05,DSFL,"[6.265013350547183, 0.05347880086169785, 5.02776789909295, 2.041550971243508, 0.1370290234413518, 0.02080561430386665]"
ACOLIP_clean,0.0005350434,0.252716906,0.493653268,1.818311367,0.0017899591075582176,DSFL,"[6.029787580050283e-09, 0.7694391563605988, 0.21718146314187486, 26.454556180649934, 0.02012401508455015, 3.9748679479874456]"
ACOLOV_clean,0.0002121457,0.11451881,0.228637254,1.051411713,,DSFL,"[nan, nan, nan, nan, nan, nan]"
acs.cgd.5b01554_VAGNUP1452791_clean,4.15244e-05,0.020703163,0.041219928,0.201352013,5.201510884841339e-07,DSFL,"[0.07521866424271016, 0.4988621484944102, 0.02013805529721373, 0.06741981075249397, 0.06078557605070733, 0.405256813703264]"
acs.cgd.5b01686_WAHFUJ1434675_clean,0.0002029266,0.114344565,0.218781069,0.882580117,1.9083748695339524e-05,DSFL,"[1.8338728178176963e-09, 6.608098764539872, 10.838038813139915, 0.5606257306593185, 0.4300935126502007, 0.2717868688651073]"
acs.chemmater.5b03723_cm5b03723_si_004_clean,0.0010993983,0.349759376,0.610086248,2.018233685,2.888239812120889e-10,DSFL,"[0.16215311975978794, 2.776439706661844, 1.819289952436091, 2.626023828063714, 0.24811378540210605, 0.603740410794465]"
